document_id,text
strong-desire-and-the-red-sorcerer,"There was a man called Odshedoph, or the Child of Strong Desires, who had a wife and one son."
strong-desire-and-the-red-sorcerer,"He had withdrawn his family from the village, where they had spent the winter, to the neighborhood of a distant forest, where game abounded."
strong-desire-and-the-red-sorcerer,"This wood was a day's travel from his winter home, and under its ample shadow the wife fixed the lodge, while the husband went out to hunt."
strong-desire-and-the-red-sorcerer,"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water."
strong-desire-and-the-red-sorcerer,"The son replied that it was dark, and he was afraid."
strong-desire-and-the-red-sorcerer,"His father still urged him, saying that his mother, as well as himself, was tired, and the distance to the water very short."
strong-desire-and-the-red-sorcerer,But no persuasion could overcome the young man's reluctance.
strong-desire-and-the-red-sorcerer,He refused to go.
strong-desire-and-the-red-sorcerer,"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the river, you will never kill the Red Head."""
strong-desire-and-the-red-sorcerer,The stripling was deeply vexed by this observation; it seemed to touch him to the very quick.
strong-desire-and-the-red-sorcerer,He mused in silence.
strong-desire-and-the-red-sorcerer,"He refused to eat, and made no reply when spoken to."
strong-desire-and-the-red-sorcerer,"He sat by the lodge door all the night through, looking up at the stars, and sighing like one sorely distressed."
strong-desire-and-the-red-sorcerer,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows."
strong-desire-and-the-red-sorcerer,"As soon as these were in readiness, he left the lodge one morning, at sunrise, without saying a word to his father or mother."
strong-desire-and-the-red-sorcerer,"As he passed along, he fired one of his arrows into the air, which fell westward."
strong-desire-and-the-red-sorcerer,"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer."
strong-desire-and-the-red-sorcerer,"He refreshed himself with a meal of the venison, and the next morning he fired another arrow."
strong-desire-and-the-red-sorcerer,"Following its course, after traveling all day he found that he had transfixed another deer."
strong-desire-and-the-red-sorcerer,"In this manner he fired four arrows, and every evening he discovered that he had killed a deer."
strong-desire-and-the-red-sorcerer,"By a strange oversight, he left the arrows sticking in the carcasses, and passed on without withdrawing them."
strong-desire-and-the-red-sorcerer,"Having in this way no arrow for the fifth day, he was in great distress at night for the want of food."
strong-desire-and-the-red-sorcerer,"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further."
strong-desire-and-the-red-sorcerer,"But he had not lain long before he heard a hollow rumbling noise, in the ground beneath him, like that of an earthquake moving slowly along."
strong-desire-and-the-red-sorcerer,"He sprang up, and discovered at a distance the figure of a human being, walking with a stick."
strong-desire-and-the-red-sorcerer,"He looked attentively, and saw that the figure was walking in a wide beaten path in a prairie, leading from a dusky lodge to a lake, whose waters were black and turbid."
strong-desire-and-the-red-sorcerer,"To his surprise, this lodge, which had not been in view when he cast himself upon the ground, was now near at hand."
strong-desire-and-the-red-sorcerer,"He approached a little nearer, and concealed himself; and in a moment he discovered that the figure was no other than that of the terrible witch, the little old woman who makes war."
