question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the king love to do?,explicit,hunting wild beasts,,,,,,
2,local,1,feeling,,How did the king feel about hunting wild beasts?,explicit,joy,,,,,,
3,local,1,character,,Who did the king camp in the forest with?,explicit,hawk and hound,,,,,,
4,local,1,character,,Who did the king see running through the forest before him?,explicit,a dwarf,wild man,,,,,
5,local,1,action,,What did the king do when he saw the dwarf?,explicit,"spurred on his horse, rode after the dwarf, and seized him",,,,,,
6,local,1,feeling,,How did the king feel about the dwarf's appearance?,explicit,surprised,,,,,,
7,local,1,character,,What did the dwarf look like?,explicit,"small and ugly, like a troll, and his hair was stiff as bean straw",,,,,,
8,local,1,causal relationship,,Why did the king get angry?,explicit,"The dwarf would return no answer, nor say a single word one way or another.",his ill-success at the hunt,,,,,
9,local,1,action,,What did the king order his people to do?,explicit,seize the wild man and guard him carefully lest he escape,,,,,,
10,local,2,causal relationship,,Why did the king's people say that only the king should guard him?,explicit,He should guard him so he does not escape.,The dwarf is of a sly and treacherous disposition.,,,,,
11,local,3,action,,What did the king have built?,explicit,a small house or cage built,,,,,,
12,local,3,character,,Who took and kept the key?,explicit,the king,,,,,,
13,local,4,action,,What did the king ask the queen to do?,explicit,rule the kingdom in his stead,guard the wild man securely,,,,,
14,local,4,setting,,Where did the king go?,explicit,"far, far away to the other country",,,,,,
15,local,4,causal relationship,,Why did the king have to leave?,explicit,A war broke out in the land and the king had to take the field.,,,,,,
16,local,5,causal relationship,,Why did the wild man keep the apple of gold?,implicit,to get the little fellow to help him escape,ask the little fellow to free him,,,,,
17,local,5,feeling,,How did the little fellow feel when the wild man would not give the apple back?,implicit,sad,upset,,,,,
18,local,5,causal relationship,,Why did the little fellow throw the apple in the cage again?,explicit,It seemed like a merry game to the fellow.,,,,,,
19,summary,"5,6,7",causal relationship,,Why did the little fellow agree to set the wild man free?,explicit,The wild man had his apple.,He wanted his apple back.,,,,,
20,local,7,prediction,action,When will the dwarf return?,implicit,When the prince is in need.,When the prince needs help.,,,,,
21,local,8,setting,,Where did the queen send people to look for the wild man?,explicit,over hill and dale,,,,,,
22,local,8,causal relationship,,Why did the queen grow more and more unhappy?,explicit,She expected her husband to return every day.,the wild man had broken out,,,,,
23,local,7,feeling,prediction,How will the king feel when he finds out the wild man had escaped?,explicit,upset,angry,unhappy,,,,
24,local,8,action,,What did the king order?,explicit,a great investigation at his court,,,,,,
25,local,8,causal relationship,,Why did the little prince come foward?,explicit,He could not hide the truth.,,,,,,
26,local,8,causal relationship,,Why did the queen and the others turn white?,implicit,The little prince confessed.,They were fond of the little prince.,,,,,
27,local,8,action,,What were the men ordered to bring back as a sign that his command had been obeyed?,explicit,the boy's heart,,,,,,
28,summary,"8,9",causal relationship,,Why did the people plead for the little prince?,implicit,They liked him.,They did not want him to die.,,,,,
29,local,9,causal relationship,,Why did the serving-men buy a pig?,explicit,all will believe it is the heart of the prince,,,,,,
30,local,9,outcome resolution,,What happened after the serving-men went back to the king's castle?,implicit,many people grieved,people were sad,,,,,
31,local,10,causal relationship,,Why did the king's son climb the fir-tree?,explicit,see whether he could find a path anywhere.,,,,,,
32,local,10,action,,What did the king's son see gleaming in the sun?,explicit,a large and splendid royal castle rising in the distance,,,,,,
33,local,10,feeling,,How did he feel when he saw the castle?,explicit,very happy,,,,,,
34,local,10,character,,Who did the king's son meet on the way to the castle?,explicit,a farm-hand,,,,,,
35,local,10,action,,What job was the prince given when he reached the king's castle?,explicit,herdsman,,,,,,
36,local,10,character,,What did the prince become when he grew up?,explicit,tall and brave,,,,,,
37,local,11,character,,What kind of disposition did the king's only daughter have?,explicit,kind and cheerful,,,,,,
38,local,11,outcome resolution,,What happened because the princess had a swarm of suitors?,implicit,She said no to them all.,She wanted to marry the one who can ride up the hihg Glass Mountain in full armor.,,,,,
39,local,11,prediction,character,Who will be the one to ride up the high Glass Mountain in full armor successfully?,explicit,the prince,,,,,,
40,local,12,causal relationship,,Why was there no one who would not have liked to risk his life for the princess?,explicit,She looked so immeasurably lovely.,,,,,,
