question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the poor woman live?,explicit,in a wretched hut far away from the village,,,explicit,lived in a wretched hut far away from the village,,
2,local,1,causal relationship,,Why did the woman have but little to bite and less to burn?,explicit,She was a poor woman.,,,explicit,she was a poor woman,,
3,local,1,character,,Who did the woman send to gather wood?,explicit,her little boy,,,explicit,her little boy,,
4,local,1,action,,What did the boy do when he saw the white stone?,explicit,took off his jacket and laid it over the stone,,,explicit,"took off his jacket, and laid it over the stone",,
5,local,1,causal relationship,,Why did the woman send her son back to get her jacket?,implicit,It was foolish to give his jacket to the stone.,His clothes cost enough as it was.,,explicit,clothes cost enough as it is,charity begins at home,
6,local,2,action,,What did the boy see under the stone?,explicit,a chest full of bright silver coins,,,explicit,a chest full of bright silver coins,,
7,local,2,causal relationship,,Why did the boy keep the four-shilling piece?,explicit,It was honest.,,,explicit,because it was honest,,
8,local,2,action,outcome resolution,What did the woman do because the boy threw the money in the river?,implicit,kicked him out,made him leave and earn his own living,,explicit,"tolds him to ""get out and earn your own living""",,
9,local,2,outcome resolution,,What happened because the boy thought the money was stolen?,explicit,"He took the whole chest, and carried it down to the pond nearby, and threw in the whole pile of money.",,,implicit,He threw the chest into a pond,His mom got very angry,He got kicked out of his home
10,local,3,causal relationship,,Why could the boy not find work?,explicit,People found him too small or weak and said they could make no use of him.,,,explicit,people found him too small or too weak,they could make no use of him,
11,local,3,character,,Who did the boy give the four-shilling piece to?,explicit,the merchant,,,explicit,His master,The merchant,
12,local,3,action,,What did the merchant ask his servants?,explicit,what he should buy and bring back home for them,,,explicit,What he should buy nad bring back home for them,,
13,local,4,causal relationship,,Why did the woman agree to give the merchant the cat?,implicit,The woman wanted to get rid of the cat.,The man offered her four shillings.,,explicit,She can feed her no longer,,
14,local,4,outcome resolution,,What happened because the man forgot to buy something for the boy?,implicit,He bought him a cat.,He used the money and bought a cat.,,implicit,He saved a cat from being drowned,He bought a cat from an old woman,
15,local,5,setting,,Where did the merchant come to after he drifted and drifted?,explicit,"a land where he had never yet been, and went up into a city",,,explicit,he came to a land where he had never yet been,,
16,local,5,feeling,,How did the merchant feel when he came to the tavern?,implicit,confused,surprised,uneasy,implicit,Confused,,
17,local,6,causal relationship,,Why did the people beg the merchant for the cat?,implicit,The cat would scare the mice away.,The cat would make it easier for them to eat.,,explicit,the people had been able to eat in such comfort,,
18,local,6,action,,What did the mice do when the they saw the cat?,explicit,hurried into their holes,,,explicit,the mice had to hurry into their holes,,
19,local,6,outcome resolution,,What happened because the mice went into their holes?,explicit,The people were able to eat in such comfort.,,,explicit,the people had been able to eat in such comfort,,
20,local,7,character,,What was different about the mice compared to the ones he had first seen?,explicit,They were twice the size.,,,explicit,they were twice the size of those he had first seen,,
21,local,7,prediction,action,What will the merchant do because of the mice at the tavern?,implicit,sell the cat,offer to sell the cat,,implicit,Sell them the cat he found,,
22,local,8,action,,What did the man see after he had sailed off and was out at sea a way?,explicit,the cat,,,explicit,the cat up in the mast,,
23,local,8,outcome resolution,,"What happened because there were great, ugly rats by the thousands?",explicit,Only with toil and trouble could one manage to shove a bite of something into one's mouth once in a while.,,,explicit,only with toil and trouble could one manage to shove a bite of something into one's mouth once in a while,,
24,local,8,action,,How much did the merchant want in exchange for the cat?,explicit,three hundred dollars,,,explicit,three hundred dollars,,
25,local,9,outcome resolution,,What happened because the merchant did not want to give all the money to the boy?,explicit,Such a storm and tempest arose that all the thought the ship would sink.,,,explicit,a storm and tempest arose that all thought the ship would sink,,
26,local,9,action,,How did the boy live after he got the six hundred dollars?,explicit,in splendor and happiness,,,explicit,he lived in splendor and happiness,,
