question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did Jaim Riou live?,explicit,france,,,,,,
2,local,1,character,,How does the story describe Jaim Riou?,explicit,"He had a large farm, plenty of money, and above all, a daughter called Barbaik.",,,,,,
3,local,1,character,,How does the story describe Barbaik?,explicit,the most graceful dancer and the best-dressed girl in the whole country side,,,,,,
4,local,1,causal relationship,,Why did Barbaik not care if women were whispering behind her back?,explicit,She did not care as long as she knew that her clothes were finer than anyone else's and that she had more partners than any other girl.,,,,,,
5,local,2,causal relationship,,Why did Barbaik dislike her father's head man?,explicit,His manners were rough and he was exceedingly ugly.,,,,,,
6,local,5,action,,Whose voice was coming out of the gorse?,explicit,the brownie of the lake,,,,,,
7,local,5,character,,What is the brownie of the lake capable of?,implicit,can turn into any shape that he chooses to be. Can also be invisible if he wants,,,,,,
8,local,5,action,,What did the brownie of the lake turn himself into from a frog?,explicit,"a little dwarf, all dressed in green",,,,,,
9,local,6,feeling,,How did Jegu respond to brownie's transformation?,explicit,frightened,,,,,,
10,summary,"6,7",causal relationship,,Why did brownie begin to take interest in Jegu?,implicit,Jegu helped brownie escape from a net.,,,,,,
11,local,7,action,,Why does brownie decide to help Jegu with?,implicit,to marry Barbaik,,,,,,
12,local,8,causal relationship,,Why did Barbaik wake up earlier than usual?,explicit,She wished to get through her work as soon as possible and be ready to start for a dance.,,,,,,
13,local,8,action,,What did she find surprising at the cow-house?,explicit,"She found fresh straw put down, the tracks filled with hay, the cows milked, and the pails standing neatly in a row.",,,,,,
14,local,9,outcome resolution,,How did Jegu respond to Barbaik's expression of gratitude?,explicit,Jegu only replied roughly.,,,,,,
15,local,10,action,,What did Barbaik find to be done at her house?,explicit,"The house was swept, the furniture polished, the fire lit, and the food ready.",,,,,,
16,local,11,action,,What did Barbaik have to do for a wish to be satisfied?,explicit,to express it,,,,,,
17,local,12,action,,"After all, how did Barbaik begin to think of Jegu?",explicit,She could no longer do without him.,,,,,,
18,local,13,outcome resolution,,How did Barbaik respond when Jegu asked her to marry him?,explicit,She did not turn rudely aways but listened patiently to the end.,,,,,,
19,local,13,causal relationship,,Why did Barbaik think that Jegu would certainly make a most useful husband?,implicit,She can sleep every morning till breakfast time. She can wear beautiful dresses and visit her neighbours and dance as much as she wished. He can carry on the farm as well.,,,,,,
20,local,14,outcome resolution,,What occurred to Jaim Riou a few days after the marriage?,explicit,He died suddenly.,,,,,,
21,local,14,action,,Who did the brownie bring to get some help in taking care of the farm?,explicit,"his friends, dwarfs",,,,,,
22,local,15,action,,What did the brownie ask as a payment?,explicit,a bowl of broth,,,,,,
23,local,15,causal relationship,,Why was Barbaik surprised and enraged?,implicit,things ceased to be done for her since the very day of her marriage,,,,,,
24,local,16,causal relationship,,Why was Barbaik furious?,implicit,"Each morning, she milk the cows and go to market. Each evening, she had to sit up till midnight to churn the butter.",,,,,,
25,local,18,action,,What did Barbaik ask for from brownie?,explicit,a horse to ride to the dance,,,,,,
26,local,19,causal relationship,,Why did the people make fun of Barbaik?,implicit,because her hose had no tail,,,,,,
27,local,19,causal relationship,,Why did the horse have no tail?,explicit,because she didn't ask for one,,,,,,
28,local,20,outcome resolution,,What happened when Barbaik tried to urge the hose to gallop?,explicit,He declined to move out of a walk and she was forced to hear all the jokes that were made upon her.,,,,,,
30,local,21,action,,What did the brownie ask of Jegu?,implicit,If he might bring his friends to have supper in the great barn and dance there.,,,,,,
31,local,21,action,,What did Jegu ask Barbaik to do?,explicit,to spread her best table-cloths in the barn and to make a quantity of little loaves and pancakes and to keep all the milk given by the cows,,,,,,
32,local,22,causal relationship,,Why did the drawfs sprang from their seats screaming?,explicit,Barabik placed pans of hot coals under their feet and all their poor little toes were burnt.,,,,,,
32,local,22,action,,What did the dwarfs bring with them?,explicit,large pots of water,,,,,,
33,local,23,outcome resolution,,What occurred to Jegu after the dwarfs left?,explicit,grew poorer and pooere and died to misery,,,,,,
