question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why was the fisherman at the dragon-castle?,explicit,He slipped and fell into the hole.,,,,,,
2,local,1,causal relationship,,Why wasn't the fisherman able to get into the castle?,explicit,The hornless dragon would not let him in.,,,,,,
3,local,2,action,,What did the fisherman eat in the cave?,explicit,green slime,,,,,,
4,local,2,action,,What did the emperor do when the district mandarin reported the fisherman to him?,explicit,sent for a wise man and questioned him concerning it,,,,,,
5,local,3,character,,Who guarded the Dragon-King's pearls and treasure?,explicit,the seventh daughter of the Dragon-King of the Eastern Sea,,,,,,
6,summary,"3, 4",action,,How did the fisherboy bring up the pearl without being harmed?,explicit,The dragon was asleep.,,,,,,
7,summary,"4, 5",prediction,action,What will the emperor do after he finds out about the dragon-king's treasure?,explicit,The emperor will announce a large reward for the man who is competent to go to the dragon-castle as his messenger.,,,,,,
8,local,5,causal relationship,,Why didn't the wise man allow Pi-Lo to go to the dragon-castle?,explicit,The dragons were the enemies of his family.,,,,,,
9,local,6,action,,What did Lo-Dsi-Tschun and his two brothers bring with them?,explicit,the stone which compelled the dragons to do their will,,,,,,
10,local,7,causal relationship,,Why couldn't Lo-Dsi-Tschun and his two brothers use their stone?,explicit,This stone was only obeyed by the dragons who made clouds and send down the rain.,,,,,,
11,local,8,action,,What did the messengers receive from the holy man?,explicit,two fragments of dragon-stone from him,,,,,,
12,summary,"9, 10",prediction,action,What will the little dragon do when the messengers reach the the dragon-castle?,explicit,crouched down and did them no harm,smelled the tree-wax,,,,,
13,local,10,action,,What did the messengers give the little dragon as a bribe?,explicit,a hundred roasted swallows as a bribe,,,,,,
14,local,10,action,,What did the messengers do when they met the daughter of the Dragon-King?,explicit,"offered her the jade caskets, the vases and the four hundred roasted swallows as gifts",unfolded the emperor's letter,,,,,
15,local,11,setting,,Where did the messengers hand over their treasure of gems?,explicit,"Nanking, the imperial capital",,,,,,
16,summary,"11, 12",prediction,feeling,How will the emperor feel when he receives gifts from the dragon's daughter?,explicit,pleased,,,,,,
17,summary,"12, 13, 14",causal relationship,,Why did people acknowledge the truth of the wise man's words?,explicit,"snatched at the serpent-pearl, and wound himself about it in many coils",,,,,,
18,local,15,causal relationship,,Why wasn't the fisherman destroyed by the dragons?,implicit,The dragons had dreaded the odor of his fishing clothes.,The dragons disliked the smell of oil and tree-wax on his clothes.,,,,,
