question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived in a castle in the middle of a thick wood?,explicit,an old woman,,,,,,
2,local,1,setting,,What was the castle in the middle of?,explicit,a thick wood,,,,,,
3,local,1,causal relationship,,Why did the old woman live alone?,explicit,She was an enchantress.,,,,,,
4,local,1,action,,What did the old woman change herself into during the day,explicit,a cat or night-owl,,,,,,
5,local,1,outcome resolution,,What happened when a boy came within a hundred paces of the castle?,explicit,"He was obliged to stand still, and could not stir from the spot till she set him free.",,,,,,
6,local,1,outcome resolution,,What happened when a pretty girl came within this boundary?,explicit,"The old enchantress changed her into a bird, and shut her up in a wicker cage.",,,,,,
7,local,1,action,,What did the old woman put in the cages?,explicit,very rare birds,,,,,,
8,local,2,character,,Who was more beautiful than other maidens?,explicit,Jorinde,,,,,,
9,local,2,character,,Who was engaged to Jorinde?,explicit,Joringel,,,,,,
10,local,2,setting,,Where did Jorinde and Joringel go one evening for a walk?,explicit,in the wood,,,,,,
11,local,2,action,,What was singing on the old maybushes?,explicit,the turtle-dove,,,,,,
12,local,3,outcome resolution,,What happened when Jorinde wept and lamented?,explicit,Joringel lamented too.,,,,,,
13,local,3,feeling,,How did Jorinde and Joringel feel when they sat down?,explicit,sad,confused,,,,,
14,local,3,causal relationship,,Why were Jorinde and Joringel confused?,explicit,They did not remember which was their way home.,,,,,,
15,local,3,setting,,Where was half the sun?,explicit,above the mountain,behind the mountain,,,,,
16,local,3,action,,What did Joringel see when he looked through the trees?,explicit,the old wall of the castle,,,,,,
17,local,3,feeling,,How did Joringel feel when he saw the old wall of the castle?,explicit,terrified,,,,,,
18,summary,"1,4",causal relationship,,"Why did Jorinde sing 'jug, jug'?",explicit,She had been changed into a nightingale.,,,,,,
19,local,4,character,,Who came out of a bush?,explicit,"an old, bent woman",,,,,,
20,local,4,character,,How did the old woman look?,explicit,"yellow-skinned and thin, and had large red eyes and a hooked nose, which met her chin",,,,,,
21,local,5,action,,What did the old woman say about when Zachiel would be freed?,explicit,when the young moon shines in the basket,,,,,,
22,local,5,action,,What did the old woman call Joringel?,explicit,Zachiel,,,,,,
23,local,5,action,,What did Joringel do to the old woman after he fell on his knees?,explicit,implored her to give him back his Jorinde,,,,,,
24,local,5,setting,,Where did Joringel come to?,explicit,a strange village,,,,,,
25,local,5,action,,What did Joringel dream about finding one night?,explicit,"a blood-red flower, which had in its centre a beautiful large pearl",,,,,,
26,local,6,outcome resolution,,What happened when Joringel touched everything with the flower?,explicit,Everything which he touched with the flower was freed from the enchantment.,,,,,,
27,local,6,setting,,Where did Joringel go the next morning?,explicit,mountain and valley,,,,,,
28,local,6,causal relationship,,Why was Joringel seeking the mountain and valley?,explicit,to find such a flower,,,,,,
29,local,6,outcome resolution,,What happened to Joringel when he was within a hundred paces of the castle?,explicit,"He did not cease to be able to move, but he went on till he reached the gate.",,,,,,
30,summary,"6,7",feeling,,How did Joringel feel when he was able to reach the gate?,explicit,delighted,,,,,,
31,local,7,causal relationship,,Why did Joringel stop?,explicit,to listen for the singing of the birds,,,,,,
32,local,7,setting,,Where did Joringel find the enchantress?,explicit,the hall,,,,,,
33,local,7,feeling,,How did the enchantress feel when she saw Joringel?,explicit,furious,,,,,,
34,local,7,action,,What did the enchantress do when she saw Joringel?,explicit,breathed out poison and gall at him,,,,,,
35,local,8,action,,What did the old woman do while Joringel was looking at the nightingales?,explicit,took up a cage secretly and went with it towards the door,,,,,,
36,local,8,action,,What did Joringel do after he sprang after the old woman?,explicit,"touched the cage with the flower, and the old woman as well",,,,,,
37,local,8,outcome resolution,,What happened after Joringel saved Jorinde?,explicit,"He turned all the other birds again into maidens, and he went home with his Jorinde.",,,,,,
38,local,8,outcome resolution,,What happened because Joringel touched the old woman with the flower?,explicit,She could no longer work enchantments.,,,,,,
39,local,1,causal relationship,,Why did the old woman prefer to live alone?,implicit,She did not want people to visit her.,She did not want to be bothered.,She liked being alone.,,,,
40,local,1,causal relationship,,Why would the old woman change into a cat or night-owl?,implicit,so she could hunt,so she could be in disguise,,,,,
41,local,1,character,,Who were the birds in the old woman's cages?,implicit,prisoners,pretty girls,,,,,
42,local,2,causal relationship,,Why did Joringel warn Jorinde about the castle?,implicit,He knew the old woman lived there.,He did not want to lose his beloved.,He did not want her to be turned into a bird.,,,,
43,local,2,causal relationship,,What made Joringel terrified?,implicit,The sight of the wall.,The thought of the old woman.,The danger he and Jorinde was in.,,,,
44,local,3,causal relationship,,"Why did Jorinde's song suddenly end with 'jug, jug'?",implicit,She was no longer human.,She was turned into a nightingale.,,,,,
45,summary,"1,4",character,,Who was the night-owl?,explicit,the old woman,the enchantress,,,,,
46,summary,"1,2,4",causal relationship,,Why did the night-owl turn Jorinde into a nightingale?,implicit,Jorinde was a pretty girl.,Jorinde crossed the enchantress' boundary.,,,,,
47,summary,"1,4",causal relationship,,Why was Joringel unable to move?,implicit,Joringel came within a hundred paces of the castle.,The old woman enchanted him.,,,,,
48,summary,"1,2,4",action,prediction,What will the old woman do when Jorinde is within the boundary?,implicit,keep her in a cage,turn her into a bird,,,,,
49,local,4,feeling,,How did Joringel feel when Jorinde was taken away?,implicit,sad,upset,devastated,,,,
50,summary,"5,6",causal relationship,,Why did Joringel go look for the blood-red flower?,implicit,He saw it in his dream.,He was able to free everything he touched with it in his dream.,He thought it would free everything he touched with it as it happened in his dream.,,,,
51,summary,"6,7,8",action,prediction,What will Joringel do with the blood-red flower he finds?,implicit,save Jorinde,touch everything with it,free everything he touches with it,,,,
52,local,6,feeling,prediction,How will Joringel feel when he finds the flower?,implicit,happy,excited,proud,,,,
53,local,7,causal relationship,,Why did Joringel stop to listen for the singing of birds?,implicit,to know where Jorinde was,to know where the old woman hid the birds,,,,,
54,local,7,causal relationship,,Why was the old woman furious when she saw Joringel?,implicit,She did not know how he was able to get in.,She did not like company.,She knew Joringel was going to try to save Jorinde.,,,,
55,local,8,causal relationship,,Why did Joringel spring after the old woman?,implicit,She was trying to take Jorinde away from him.,He needed to save Jorinde.,,,,,
56,local,8,feeling,,How did Jorinde feel when she turned back to a human?,implicit,happy,pleased,thankful,,,,
57,summary,"6,8",causal relationship,,Why did Joringel touch the other birds with the flower?,implicit,He wanted to free all of the prisoners.,He had the blood-red flower.,He freed everyone in his dream.,,,,
