question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was a governor on the Yellow River?,explicit,Si-Men Bau,,,,,,
2,local,1,action,,What did the river-god do every year?,explicit,looked for a bride,,,,,,
3,local,1,prediction,action,What will the river-god do when he cannot find a bride?,explicit,"Wind and rain will not come at the proper seasons, and there will be scanty crops and floods.",,,,,,
4,local,1,action,,What did the parents do when they wanted to protect their daughter from the river-god?,explicit,"bribe them with large sums of money to look for some one else, till the sorcerers would give in, and order the rich folk to share the expense of buying some poor girl to be cast into the river",,,,,,
5,local,1,outcome resolution,,What happened when parents could not pay the sorcerers to bribe them?,explicit,"Their daughter was chosen to be the bride of the river-god, and was forced to accept the wedding gifts which the sorcerers brought her.",,,,,,
6,local,3,action,,How did Si-Men prepare for the festival procession?,explicit,"dressed himself in his robes of ceremony, entered his chariot and drove to the river in festival procession",,,,,,
7,local,2,action,,What did Si-Men do when he entered into office?,implicit,told the sorcerers he would be present to honor the god,told the sorcerers he wanted to be present at the festival procession,,,,,
8,local,4,feeling,,How did the river-bride's parents feel when they said farewell to their daughter?,implicit,sad,upset,,,,,
9,summary,"4, 5",setting,,Where did Si-Men order the witch to go when the river-bride arrived?,explicit,to the river-god's castle,,,,,,
10,local,5,character,,Who did Si-Men order to go to the river-god's castle?,explicit,a witch,,,,,,
11,local,3,action,,How did the sorcerers prepare the river-bride?,explicit,placed the river-bride on a couch,adorned her with her bridal jewels,,,,,
12,local,6,feeling,,How did the sorcerer feel when Si-Men ordered him to go to the river-god's castle?,implicit,scared,,,,,,
13,local,5,character,,Who did Si-Men order to go to the river-god's castle after the witch did not come back?,explicit,a sorcerer,,,,,,
14,local,5,outcome resolution,,What happened to the witch when she went to the river-god's castle?,implicit,She did not come back.,,,,,,
15,local,6,causal relationship,,Why did the sorcerer fling himself on the ground and beg for mercy?,implicit,The other sorcerer and witch did not come back from the river-god's castle.,He did not want to go into the river.,,,,,
16,local,6,action,,How was the evil custom came to an end?,explicit,The sorcerers and witches took an oath that they would never again seek a bride for the river-god.,,,,,,
17,local,6,action,,What did Si-Men do after the sorcerers and witches pleaded for grace?,explicit,sent the girl back to her home,,,,,,
