question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the woman do because her children were hungry?,explicit,baked pancakes for them,,,,,,
2,local,1,character,,How many children did the woman have?,explicit,seven,,,,,,
3,local,1,action,,What was the dough made with?,explicit,new milk,,,,,,
4,local,1,causal relationship,,Why did the children stand around the dough?,explicit,It was a pleasure to watch it.,,,,,,
5,local,2,action,,What did the children do while the mother made pancakes?,explicit,begged around the pancake,,,,,,
6,local,2,causal relationship,,Why did the children have to wait for pancakes?,implicit,The pancakes weren't ready yet.,The pancakes were still cooking.,,,,,
7,local,3,causal relationship,,Why was the pancake frightened?,implicit,It did not want to be eaten.,It heard that the children would eat it.,,,,,
8,local,3,feeling,,How did the woman feel when the pancake leaped out on the floor and rolled out of the door?,implicit,frustrated,annoyed,,,,,
9,local,3,character,,Who was running after the pancake?,explicit,the woman,the children,the grandfather,,,,
10,local,4,causal relationship,,Why was the pancake able to get away from the woman and children?,explicit,It had nimbler legs than all of them.,,,,,,
11,local,4,outcome resolution,,What happened when the pancake got so far ahead?,explicit,They could no longer see it.,,,,,,
12,local,4,action,outcome resolution,What did the man want to do when he saw the pancake?,implicit,eat it,eat the pancake,,,,,
13,local,4,prediction,action,What will the hen ask the pancake to do?,implicit,stop rolling so she can eat it,slow down so she can eat it,,,,,
14,local,5,character,,Who did the pancake meet after it rolled away from hen?,explicit,a rooster,Rooster Booster,,,,,
15,local,5,action,,What did the pancake do after the rooster wanted to eat it?,explicit,rolled and rolled as fast as ever it could,,,,,,
16,local,9,setting,,What was the forest said to be?,explicit,haunted,,,,,,
17,local,9,setting,,Where did the pig and the pancake come to after a while?,explicit,a brook,,,,,,
18,local,10,outcome resolution,,What happened because the pancake could not get across?,implicit,The pig offered to carry it over and ate it.,The pig tricked the pancake and ate it.,,,,,
19,local,10,causal relationship,,Why could the pancake not get across the brook?,implicit,It could not swim.,It did not have arms.,,,,,
