question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why was it impossible to grind flour in the mill?,explicit,Such strange things kept happening there.,,,explicit,Because such strange things kept happening there,,
2,local,1,action,outcome resolution,What did the poor woman do because she was in urgent need of a little meal one evening?,explicit,asked whether they would not allow her to grind a little flour during the night,,,explicit,She asked whether they would not allow her to grind a little flour during the night,,
3,local,1,causal relationship,,Why did the mill-owner think it would be impossible for the woman to grind meal?,explicit,There are ghosts enough in the mill as it is.,,,explicit,There are ghosts enough in the mill as it is,,
4,local,1,action,,What did the woman not have?,explicit,a pinch of flour in the house,,,explicit,She did not have a pinch of flour,,
5,local,1,action,,What did the woman do when she entered the mill?,explicit,"lit a fire under a big tar-barrel, got the mill going, sat down by the fire, and began to knit",,,explicit,She lit a fire under a big tar-barrel,,
6,local,1,character,,Who came in after a time in?,explicit,a girl,,,explicit,A girl,,
7,local,1,action,,What did the woman do after greeting the girl?,explicit,kept her seat and went on knitting,,,explicit,Went on knitting,,
8,local,1,outcome resolution,,What happened after the girl pulled apart the fire on the hearth?,explicit,The woman built it up again.,,,explicit,The woman built it up again,,
9,local,2,feeling,,How did the woman feel when the girl began to pull apart the fire?,explicit,angry,,,explicit,Angry,,
10,local,2,action,,What did the woman say her name was?,explicit,Self,,,explicit,Self,,
11,local,2,feeling,,How did the girl feel about the woman's name?,explicit,curious,,,explicit,Curious,,
12,local,2,action,,What did the woman do to the girl?,explicit,upset the tar-barrel on the girl from underground,,,explicit,The woman upset the tar-barrel on the girl,,
13,local,2,outcome resolution,,What happened after the woman upset the tar-barrel on the girl?,explicit,The girl screamed and ran away crying.,,,explicit,"The latter screamed and ran away, crying",,
14,local,2,character,,Who did the girl's father think burned the girl?,explicit,the girl,,,implicit,The girl did it herself,,
15,local,2,causal relationship,,Why did the girl's father think the girl burned herself?,implicit,The woman told the girl her name was Self.,"The girl said ""Self burned me.""",,implicit,"Because she shouted ""self burned me""",Because the woman was named Self,
