question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What was the lad who tended the cattle in the wood doing?,explicit,eating his noon-tide meal,,,,,,
2,local,1,setting,,Where did the lad eat his noon-tide meal?,explicit,in a clearing in the forest,,,,,,
3,local,1,action,,What did the lad see as he was sitting there?,explicit,rat run into a juniper-bush,,,,,,
4,local,1,causal relationship,,Why did the lad look for the rat?,explicit,his curiousity,,,,,,
5,local,1,action,,What did the lad dream of?,explicit,He was going to find the princess on the Mount of the Golden Queen.,,,,,,
6,local,2,action,,What did the lad need in order to get the princess on the Mount of the Golden Queen?,explicit,seventy pounds of iron and a pair of iron shoes,,,,,,
7,local,2,outcome resolution,,What happened because the lad had a dream?,explicit,He had made up his mind to find the Mount of the Golden Queen.,,,,,,
8,local,3,action,,What did the princess lay in the lad's pocket?,explicit,a letter and a band of gold in his pocket,,,,,,
9,local,3,feeling,,How did the lad feel when he found in his pocket both of the things of which he had dreamed?,explicit,surprise,,,,,,
10,local,3,causal relationship,,Why did the lad drive the cattle straight home?,explicit,He had no time to attend to the cattle any longer.,,,,,,
11,summary,"2,3",causal relationship,,Why did the lad buy seventy pounds of iron and a pair of iron shoes?,implicit,He needed it to save the princess.,He dreamed he would need it.,,,,,
12,local,3,setting,,Where did the lad end up after walking all around the meadow?,explicit,a mount of earth from which smoke was rising,,,,,,
13,local,3,action,,What did the lad ask the woman who was nine yards long?,explicit,tell him the way to the Mount of the Golden Queen,,,,,,
14,local,4,character,,Who is nine yards taller than the woman?,explicit,her sister,,,,,,
15,local,4,outcome resolution,,What happened when the giant whistled in every direction?,explicit,"All the animals came from the woods, foremost among them a bear.",,,,,,
16,local,4,prediction,action,How will the giant help the lad?,explicit,ask a bear about the Mount of the Golden Queen,,,,,,
17,summary,"4,5",setting,,Where did the animals come from when the giant blew his whistle?,explicit,the woods,the waters,the air,,,,
18,local,5,character,,Who knew where the Mount of the Golden Queen was?,explicit,the eagle,,,,,,
19,local,5,causal relationship,,Why did the eagle agree to take the lad to the Mount of the Golden Queen?,implicit,The giant asked him to.,He promised the giant.,,,,,
20,local,6,action,,What did the lad and the eagle do when they reached the great iron door?,explicit,knocked,,,,,,
21,local,6,character,,Who appeared to open the door and admit them?,explicit,a serving-maid,,,,,,
22,local,7,causal relationship,,Why did the youth drop his golden band into the beaker?,implicit,He wanted the princess to know he was there.,He was sending a signal to the princess.,,,,,
23,local,7,outcome resolution,,What happened when the youth handed the princess the letter?,explicit,"The mountain turned into a most handsome castle, with all sorts of precious things, servants, and every sort of convenience, each for its own purpose.",,,,,,
24,local,7,feeling,,How did the princess feel when the youth handed her the letter?,implicit,happy,excited,joyful,,,,
25,summary,"1,2,3",action,,What did the lad see everytime before falling asleep?,explicit,a rat,,,,,,
