question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,How many tin soldiers are there?,explicit,25,,,,,,
2,local,1,character,,What are all the tin soldiers made from?,explicit,the same old tin spoon,,,,,,
3,local,1,action,,What was the first thing the tin soldiers heard?,explicit,"""tin soldiers!""",,,,,,
4,local,1,causal relationship,,Why did one of the tin soldiers only have one leg?,implicit,they ran out of melted tin,there wasn't enough tin for a second leg,,explicit,There was not enough of the melted tin to finish him,,
5,local,2,setting,,What else was on the table where the tin soldiers stood?,explicit,other playthings like a paper castle,,,,,,
6,local,2,setting,,What surrounded the little trees?,explicit,a piece of looking-glass,,,,,,
7,local,2,character,,Who stood at the door of the castle?,explicit,a tiny little lady,,,,,,
8,local,2,character,,What did the tiny little lady look like?,implicit,made of paper,wearing a clear dress,a blue ribbon on her shoulders,explicit,"She, also, was made of paper, and she wore a dress of clear musclin, with a narrow blue ribbon over her shoulders just like a scarf.",,
9,local,3,causal relationship,,Why did the tin soldier think that the little lady had one leg?,implicit,because she was dancing,she had one leg up so high that he couldn't see it,She had raised one of her legs so high that the tin soldier could not see it at all,,,,
10,local,3,causal relationship,,Why does the tin soldier think she is the wife for him?,implicit,he thinks she only has one leg like him,he thinks they both only have one leg,,explicit,"He thought that she, like himself, had only one leg",,
11,local,4,outcome resolution,,What happens when the people go to bed?,implicit,the playthings begin to play games together,,,explicit,"The playthings began to have their own games together, to pay visits, to have sham fights, and to give balls.",,
12,local,4,action,,What did the canary do when it woke up?,explicit,began to talk in poetry,,,,,,
13,local,5,action,,What did the goblin tell the tin soldier?,explicit,don't wish for what does not belong to you,,,,,,
14,local,5,outcome resolution,,What happened when the window flew open?,explicit,the tin soldier fell out,,,,,,
15,local,5,causal relationship,,Why didn't the tin soldier call out for help?,explicit,he was too proud,,,,,,
16,local,6,character,,Who found the tin soldier?,explicit,two boys,,,,,,
17,local,6,feeling,,What shows that the tin soldier was scared?,implicit,he trembled,he was shaking,He trembled,,,,
18,local,6,action,,What did the tin soldier do to hide his fear?,implicit,stood up straight,looked straight ahead,shouldered his musket,,,,
19,local,7,character,,Who appeared in the drain?,explicit,a great water rat,,,,,,
20,local,7,causal relationship,,Why did the water rat want to stop the tin soldier?,explicit,he did not pay the toll,,,,,,
21,local,8,outcome resolution,,What happened when the tin soldier reached the end of the tunnel?,implicit,he went over a waterfall,the boat turned in circles,the boat filled with water,,,,
22,local,8,action,,What did the tin soldier think about once he was under water?,explicit,the little dancer,,,,,,
23,local,9,outcome resolution,,What happened after the boat fell to pieces?,explicit,the soldier was swallowed by a fish,,,,,,
24,summary,"9,10",causal relationship,,How did the soldier return home?,implicit,the fish that swallowed him was caught and sold,the cook bought the fish who swallowed him,,,,,
25,local,10,action,,What did the cook do when she found the soldier?,implicit,brough him back to the play room,,,,,,
26,local,11,action,,What did the little boy do to the soldier?,explicit,threw him in the stove,,,,,,
27,local,12,outcome resolution,,What happened to the little dancer?,implicit,she fluttered into the stove and burned,some wind blew her into the stove and she caught on fire,,,,,
