document_id,text
the-fire-god,"Long before the time of Fu Hi, Dschu Yung, the Magic Welder, was the ruler of men."
the-fire-god,"He discovered the use of fire, and succeeding generations learned from him to cook their food."
the-fire-god,"Hence his descendants were intrusted with the preservation of fire, while he himself was made the Fire-God."
the-fire-god,"He is a personification of the Red Lord, who showed himself at the beginning of the world as one of the Five Ancients."
the-fire-god,The Fire-God is worshiped as the Lord of the Holy Southern Mountain.
the-fire-god,"In the skies the Fiery Star, the southern quarter of the heavens and the Red Bird belong to his domain."
the-fire-god,When there is danger of fire the Fiery Star glows with a peculiar radiance.
the-fire-god,"When countless numbers of fire-crows fly into a house, a fire is sure to break out in it."
the-fire-god,In the land of the four rivers there dwelt a man who was very rich.
the-fire-god,One day he got into his wagon and set out on a long journey.
the-fire-god,"And he met a girl, dressed in red, who begged him to take her with him."
the-fire-god,"He allowed her to get into the wagon, and drove along for half-a-day without even looking in her direction."
the-fire-god,"Then the girl got out again and said in farewell: ""You are truly a good and honest man, and for that reason I must tell you the truth. I am the Fire-God. To-morrow a fire will break out in your house. Hurry home at once to arrange your affairs and save what you can!"""
the-fire-god,"Frightened, the man faced his horses about and drove home as fast as he could."
the-fire-god,"All that he possessed in the way of treasures, clothes and jewels, he removed from the house."
the-fire-god,"And, when he was about to lie down to sleep, a fire broke out on the hearth which could not be quenched until the whole building had collapsed in dust and ashes."
the-fire-god,"Yet, thanks to the Fire-God, the man had saved all his movable belongings."
