question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who were fighting when the son of the king of Tethertown reached the great battle?,explicit,a snake and a great black raven,,,explicit,A snake and a great black rave,,
2,local,1,action,,How did the snake prove to be stronger?,explicit,twisted himself round the neck of the raven,,,explicit,He would have twisted himself around the neck of the raven,,
3,local,1,action,,How was the snake defeated?,explicit,"The king's son drawn his sword, and cut off the head of the snake at a single blow.",,,explicit,The king's son drew his sword and cut off the head of the snake,,
4,local,1,action,,How did the black raven show his kindness to the son of the king of Tethertown?,explicit,showed him a sight,,,explicit,He will show him a sight,,
5,local,1,setting,,Where did the black raven take the son of the king of Tethertown to?,implicit,his sister's house,the house of the raven's sister,,explicit,Over seven bens and seven glens and seven mountain moors,,
6,local,2,action,,What did the king's son do after he went into the sister's house?,explicit,"had meat of each meat, and drink of each drink, warm water for his feet, and a soft bed to lie in",,,explicit,"He had meat of each meat, and drink of each drink, warm water for his feet, and a soft bed to lie in",,
7,local,2,character,,Who was waiting for the king's son on the fourth meeting?,explicit,the handsomest youth that ever was seen,,,explicit,The handsomest youth,,
8,local,2,character,,Who was the handsomest youth that ever was seen?,implicit,the great black raven,the raven,,explicit,That raven,,
9,local,2,action,,What did the raven tell the king's son to do?,explicit,"Go back by the road he came, and lie as before, a night in each house",,,implicit,"Go back from where he came and sleep at each house, but only unravel the bundle where he wishes to live",,
10,local,2,causal relationship,,Why did the king's son want to untie the bundle?,explicit,The bundle seemed to grow heavier.,,,explicit,The string was easy to untie,,
11,local,3,action,,What did the king's son see after he unfastened the bundle?,explicit,a great castle with an orchard,,,explicit,A great castle with an orchard all about it,,
12,local,3,action,,What did the king's son see after he looked up?,explicit,a huge giant coming towards him,,,explicit,A huge giant coming towards him,,
13,local,3,action,,What did the giant want as a reward?,explicit,The first boy he had when he was seven years old,,,explicit,The first boy when he is seven years old,,
14,local,3,outcome resolution,,What happened after the king's son made a promise to the giant?,explicit,The castle and the orchard were tied up in the bundle again.,,,explicit,The castle and the orchard were tied up in the bundle again,,
15,local,3,action,,What did the king's son wish he did instead?,explicit,had left the bundle unloosed till he had reached the green valley close to his father's palace,,,explicit,He had left the bundle unloosed till he had reached the green valley close to his father's palace,,
16,local,4,outcome resolution,,What happened after the king's son opened the castle door?,explicit,There stood within the most beautiful maiden that ever was seen.,,,explicit,There stood within the most beautiful maiden that ever was seen,,
17,local,4,action,,What did the king's son and the maiden do?,implicit,got married,had a wedding,,implicit,They got married right away,They got married,
18,local,4,causal relationship,,Why did the king's son forget about the giant?,implicit,He was happy with his wife.,He was happy being the king.,,explicit,He was so happy that he forgot all about the giant,,
19,local,4,outcome resolution,,What happened after the king's son saw the giant one morning?,explicit,"He remembered his promise, and remembered, too, that he had told the queen nothing about it.",,,explicit,He remembered his promise,,
20,local,4,action,,What did the queen tell the king's son to do after she heard about the giant?,explicit,leave the matter between her and the giant,,,explicit,Leave the matter between me and the giant,,
21,local,5,character,,Who did the queen give to the giant?,explicit,the cook's son,,,explicit,The cook's son,,
22,local,5,action,,How did the giant know the queen tricked him?,implicit,The cook's son gave him the wrong answer.,He heard the cook's son's answer.,,implicit,He asked the boy what would his father do with a stick,,
23,local,5,feeling,,How did the king and queen feel after the giant threatened them?,implicit,scared,terrified,afraid,implicit,Afraid,Scared,
24,local,5,character,,Who was the second person the queen gave to the giant?,explicit,the butler's son,,,explicit,The butler's son,,
25,local,5,action,,What did the giant do after he walked away with the butler's son?,implicit,asked him a question,tested him,,implicit,He asked the boy what would his father do with a stick,,
26,local,6,feeling,,How did the giant feel after he was tricked again?,implicit,mad,angry,furious,implicit,Angry,Infuriated,
27,local,6,outcome resolution,,What happened after the giant realized he was tricked again?,implicit,The king and queen gave him their son.,The king and queen decide to give their son to the giant.,,explicit,He strode back angrily to the castle,,
28,local,6,action,,How did the giant treat the king's and queen's son?,explicit,like his own son,,,explicit,The giant treated him like his own son,,
29,local,6,setting,,Where did the boy wander to?,explicit,the top of the castle,,,explicit,The top of the castle,,
30,local,6,causal relationship,,Why did the boy come back to the top of the castle?,implicit,He needed to talk to the girl.,The girl told him to come back later.,,implicit,The maiden told him to,He was told by the maiden to come back when the giant is asleep,
31,local,7,character,,Who did the boy need to choose as his wife?,explicit,one of his two elder daughters,,,implicit,Herself,The girl playing the harp,The girl at the top of the castle
32,local,7,character,,Who did the boy ask for as his wife?,explicit,the youngest,,,explicit,The youngest,,
33,local,7,feeling,,How did the giant feel after the boy wanted to marry the youngest daughter?,implicit,mad,upset,,implicit,Angry,Rage,
34,local,7,action,,What was the first thing the boy needed to do for the giant?,implicit,clean the byre,sweep the byre,,implicit,Clean the byre,,
35,local,7,setting,,Where did the giant lead the boy to?,explicit,the byre,,,explicit,The Byre,,
36,local,8,outcome resolution,,What happened after the boy fell asleep?,explicit,"The girl had disappeared, and the byre was so clean that a golden apple could roll from end to end of it.",,,explicit,The byre was so clean,,
37,local,8,action,,What did the boy need to do after he cleaned the byre?,explicit,thatch this byre with a feather from every different bird,,,explicit,Thatch the byre with a freather from every different bird,,
38,local,8,causal relationship,,Why did the boy need to kill birds?,implicit,He needed their feathers.,He had to get feathers.,,implicit,To use their feathers to thatch the roof,To get their feathers,He needed feathers
39,local,8,outcome resolution,,What happened after the boy went to the moor?,explicit,Never a bird was to be seen that day.,,,explicit,Never a bird was to be seen that day,,
40,local,8,setting,,When did the youngest daughter visit the boy at the moor?,explicit,midday,,,explicit,At midday,,
41,local,9,outcome resolution,,What happened after the boy returned to the byre?,implicit,The byre was thatched.,The byre was beautifully thatched with feathers.,,explicit,It was beautifully thatched,,
42,local,9,action,,What did the boy need to do after he thatched the byre?,implicit,collect five eggs,bring the giant five eggs,,explicit,Bring 5 magpie eggs for breakfast,,
43,local,9,setting,,Where did the boy go to collect the eggs?,explicit,the loch,,,explicit,To the loch,,
44,local,9,causal relationship,,Why was it difficult to climb the tree?,explicit,The bark was quite smooth.,,,explicit,The bark was quite smooth,,
45,local,9,causal relationship,,Why wasn't the tree hard to find?,explicit,The rising sun shone red on the trunk.,,,explicit,The rising sun shone red on the trunk,,
46,local,10,outcome resolution,,What happened after the boy tried to get the eggs?,implicit,He could not climb the tree.,He could not reach the nest.,,explicit,Try he did till his hands and knees were sore,"He had struggled up a few feet, he slid back again",
47,local,10,action,,What did the youngest daughter do to help the boy?,explicit,laid a finger against the tree and bade him put his foot on it,,,explicit,She laid a finger against the tree and bade him put his foot on it,,
48,local,10,causal relationship,,Why did the youngest daughter tell the boy to hurry?,explicit,Her father's breath was burning her back.,,,explicit,Her father's breath is burning her back,,
49,local,10,action,,What did the youngest daughter leave behind?,explicit,her little finger,,,explicit,Her little finger,,
50,local,10,character,,Who did the boy need to choose when the giant told him to go to his wife?,explicit,the one whose right hand has no little finger,,,explicit,The one whose right hand has no little finger,,
51,local,11,outcome resolution,,What happened after the boy did these three things for the giant?,implicit,The giant allowed him to marry the youngest daughter.,The giant prepared a wedding for him.,,explicit,His three daughters were sent for,,
52,local,11,character,,What were the three daughters dressed in?,explicit,"green silk of the same fashion, and with golden circlets round their heads",,,explicit,"In green silk of the same fashion, and with golden circlets round their heads",,
53,local,11,action,,What did the boy give to the giant?,explicit,the eggs,,,explicit,The eggs,,
54,local,11,action,,What didn't the boy see after he looked at the hand of the middle daughter?,explicit,little finger,,,explicit,No little finger,,
55,local,11,causal relationship,,Why were the king's son and his bride left alone?,explicit,Everyone grew tired and the guests went away.,,,explicit,Everyone grew tired,,
56,local,12,outcome resolution,prediction,What would happen if the king's son stayed until dawn?,explicit,Her father would kill him.,,,implicit,The giant would kill him,He would be killed by the giant,
57,local,12,action,,What did the bride do to save her husband?,explicit,"cut an apple into nine pieces, and put two pieces at the head of the bed, and two pieces at the foot, and two pieces at the door of the kitchen, and two at the big door, and one outside the house",,,explicit,She cut an apple into nine pieces,"She put two pieces at the head of the bed, two pieces at the foot, and two pieces at the door of the kitchen and two at the big door, and one outside",
58,local,12,action,,What did the king's son and the bride do after she heard the giant snoring?,explicit,crept out softly and stole across to the stable,,,explicit,Crept out softly and stole across to the stable,,
59,local,12,action,,What did the king's son and the bride ride on to escape?,explicit,the blue-grey mare,,,explicit,The blue-grey mare,,
60,local,12,causal relationship,,Why did the bride place apples throughout the house?,implicit,She needed to trick the giant.,She needed the giant to stay asleep.,,implicit,The apples were used to stall the giants,The apples tricked the giant into thinking the son was awake,
61,local,13,action,,What did the bride tell the king's son to do after she knew the giant was chasing them?,explicit,"put his hand into the ear of the mare and whatever he found there, throw it behind him",,,implicit,Put his hand in the ear of the mare and throw whatever he finds in there,,
62,local,13,outcome resolution,,What happened after the king's son threw the twig of slow tree?,explicit,There sprung up twenty miles of thornwood.,,,explicit,There sprung up twnety miles of thornwood,,
63,local,13,causal relationship,,Why did the giant go back for his big axe and wood-knife?,implicit,He needed to cut through the thornwood.,He could not get through the thornwood without his weapons.,,implicit,He would cut through the forest very quickly,He could cut everything down,He would get through it fast
64,local,13,character,,Who planned to steal the giant's big axe and wood-knife?,explicit,the hoodie,,,explicit,A hoodie crow,,
65,local,13,action,,What did the boy use next to throw behind him?,explicit,a splinter of grey stone,,,explicit,A splinter of grey stone,,
66,local,14,feeling,,How did the giant feel after he was tricked by his daughter again?,implicit,frustrated,mad,upset,implicit,Frusturated,Angry,Annoyed
67,local,14,causal relationship,,Why did the giant let the hoodie take his lever and crowbar?,implicit,He was too focused on chasing his daughter and the king's son.,He had to chase after his daughter and the king's son.,,explicit,There is no time to go back,,
68,local,14,causal relationship,,Why did the giant need a lever and crowbar?,implicit,He had to break the rock.,He needed to get through the rock to chase after them.,,implicit,He would be able to break through all the rock,To quickly get through all the rocks,
69,local,14,action,,What did the boy throw behind him after the giant broke through the rock?,explicit,a tiny bladder full of water,,,explicit,A tiny bladder full of water,,
70,local,14,outcome resolution,,What happened after the tiny bladder full of water turned into a great lock?,explicit,"The giant could not stop himself, and he walked right into the middle and was drowned.",,,explicit,The giant who was striding on so fast could not stop himself and he walked right into the middle and was drowned,,
71,local,15,outcome resolution,,What happened after the king's son went into his father house?,implicit,The king's son never returned back to his wife.,The wife waited for her husband to come back.,,explicit,All who met him bade him welcome,after that he did not remember the giant's daughter,
72,local,16,character,,Who dwelled near the well?,explicit,the wife of a shoemaker,,,implicit,The wife of a shoemaker,,
73,local,16,causal relationship,,Why was the wife of the shoemaker forced to return to her husband without water?,explicit,The jug struck against the stones and broke in pieces.,,,explicit,The jug struck against the stones and broke in pieces,,
74,local,16,causal relationship,,Why did the shoemaker go to the well himself?,implicit,His wife and daughter could not bring back water.,The wife's and daughter's jugs broke.,,explicit,The samething befell his daughter as had befallen the mother,,
