question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did the old goat have to go into the wood?,implicit,to fetch food for her seven little goats,to get food for her little goats,,,,,
2,local,1,causal relationship,,Why did the old goat warn the little goats to be on their guard against the wolf?,explicit,"For if he were once to get inside, he would eat up the skin and bones of the little goats.",,,,,,
3,local,2,causal relationship,,Why did the little goats not open the door?,implicit,Their mother has a delicate and sweet voice and the voice of the wolf is hoarse.,They knew it was not their mother at the door.,,,,,
4,local,3,action,,What did the wolf eat to make his voice soft?,explicit,big lump of chalk,,,,,,
5,local,3,causal relationship,,Why did the little goats not open the door?,implicit,Their mother has no black paws like the wolf.,,,,,,
6,local,4,action,,How did the wolf threaten the miller?,implicit,He threatened to eat him up.,,,,,,
7,local,4,feeling,,How did the miller feel after the wolf threatened him?,explicit,afraid,,,,,,
8,local,5,feeling,,How did the little goats respond after seeing the wolf?,explicit,terrified,,,,,,
9,local,5,action,,Where did the youngest goat hide itself?,explicit,in the clock-case,,,,,,
10,local,7,action,,What did the mother goat notice about the wolf's body?,explicit,something inside his body was moving and struggling,,,,,,
11,local,8,action,,"What did the mother goat do with a pair of shears, needle, and thread?",explicit,She cut open the wolf's body open.,,,,,,
12,local,8,causal relationship,,Why did the mother goat command the little goats to fetch some stones?,implicit,to fill the wolf's body with them as he lies asleep,for filling the wolf's body with,,,,,
13,local,9,outcome resolution,,How did the wolf feel after waking up?,explicit,very thirsty,,,,,,
14,local,10,outcome resolution,,What happened when the wolf come to the brook?,explicit,The heavy stones weighed him down so he fell over into the water and was drowned.,,,,,,
