question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,action,,What did the girl do daily?,get wood for the lodge-fire,,,,,,
2,local,1,explicit,causal relationship,,Why did the girl make her brother a bow and arrows?,so he could shoot snow birds and bring them home,,,,,,
3,local,2,explicit,feeling,,How did the boy feel when he killed a bird?,triumph,,,,,,
4,local,2,explicit,action,,What did the boy want his sister to make once he had killed more birds?,a coat,,,,,,
5,local,3,explicit,causal relationship,,Why did the girl warn her brother not to go to a certain other quarter of the earth?,The people who lived in a certain other quarter of the earth had killed off all of their kinsfolk.,,,,,,
6,local,4,explicit,outcome resolution,,What happened to the boy's bird-skin coat after the boy slept?,"not only singed his bird-skin coat, but it so shrivelled and shrunk and tightened it upon the little boy's body",,,,,,
7,local,4,implicit,feeling,prediction,How will the boy feel when the sun seared its fiery beams on the coat the boy was so proud of?,angry,furious,vengeful,,,,
8,local,4,explicit,causal relationship,,Why didn't the boy eat?,bitterly bewailed the spoiling of his new coat,,,,,,
9,local,5,explicit,action,,What did the girl make a cord out of?,her own beautiful hair,,,,,,
10,local,5,explicit,causal relationship,,Why was the boy vexed when his sister made a string out of the bird-skin?,The sun has had enough of his bird-skins.,,,,,,
11,local,6,explicit,action,,How did the boy catch the sun?,fixed his snare firmly on a spot just where the sun must strike the land as it rose above the earth,,,,,,
12,local,6,explicit,causal relationship,,Why were the animals immediately put into great commotion?,They had no light.,,,,,,
13,local,6,explicit,action,,What did the council propose someone to do?,cut the cord,,,,,,
14,local,7,explicit,character,,Who undertook the task of cutting the cord?,the venerable dormouse,,,,,,
15,local,7,explicit,causal relationship,,Why did the dormouse undertake the task?,was the largest animal in the world,,,,,,
16,local,7,explicit,outcome resolution,,What happened to the dormouse after it cut the cord?,shrunk away to a very small size,,,,,,
17,local,7,explicit,action,,What did the boy do after he discovered the sun had escaped his snare?,went out and shot ten more snow-birds and he had a new bird-skin coat made,and he had a new bird-skin coat made,,,,,
18,local,1,implicit,prediction,feeling,How will the boy feel when he comes home unsuccessful?,sad,disappointed,unfulfilled,,,,
19,local,3,implicit,causal relationship,,Why did the boy go in the direction his sister warned him against?,to see the world,to learn about the other peoples,to see if his sister was telling the truth,,,,
20,summary,"4,5",implicit,causal relationship,,Why did the boy want to catch the sun?,The sun seared his coat.,The boy wanted to teach the sun a lesson.,The boy wanted to test his powers.,,,,
21,local,7,implicit,prediction,feeling,How will the boy feel when he discovers that the sun had escaped his snare?,surprised,furious,defeated,,,,
22,local,7,implicit,action,,What did the boy learn when the sun escaped his snare?,He could not control nature.,The sun was a powerful force.,He was a subject to the sun.,,,,
23,summary,"5,6",implicit,causal relationship,,Why was the girl's hair strong enough to catch the sun?,It was in a tight braid.,The hair was special since it came from the only girl.,The hair was healthy and strong.,,,,
