question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who ran with his house on his back?,explicit,the snail,,,,,,
2,local,1,character,,Who witnessed the distribution of prizes?,explicit,the fence-rail,,,,,,
3,local,1,causal relationship,,Why does the fence-rail believe the hare deserved second prize?,implicit,because he worked hard,he carried his house on his back,he gave his whole self to the race,,,,
4,local,2,action,,What did the swallow do a lot of this year?,explicit,flying,,,,,,
5,local,2,causal relationship,,Why doesn't the fence-rail consider the swallow?,implicit,because the swallow flies too much,the swallow flied too far,the swallow doesn't love its fatherland,,,,
6,local,3,action,,What does the snail ask for instead of second prize?,explicit,first prize,,,,,,
7,local,3,action,,What did the snail do after speaking?,explicit,spat,,,,,,
8,local,4,character,,Who was a member of the committee of judges?,explicit,the old boundary post,,,,,,
9,local,4,action,,How many times has the boundary post been present at the distribution of prizes?,explicit,seven,,,,,,
10,local,5,causal relationship,,Why did the mule vote for the hare?,implicit,because of the beauty of his ears,for his beautiful ears,because of how long his ears are,,,,
11,local,6,action,,What was the first thing the fly said?,explicit,buz,,,,,,
12,local,6,character,,Who did the fly conquer?,explicit,a young hare,,,,,,
13,local,7,causal relationship,,Why does the rose think the sunbeam should have won?,implicit,it travels from the sun to Earth so quickly,it travels at the speed of light,it's quicker than all the others,,,,
14,local,8,character,,Who overslept the time?,explicit,the earthworm,,,,,,
15,summary,"4,5,8",character,,Who was on the committee?,explicit,mule and boundary-post,,,,,,
16,local,8,action,,What did the mule propose as one of the prizes?,explicit,free admission to a cabbage garden,,,,,,
