question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What were the names of the sons?,explicit,Gintscha,Mutscha,Notscha,,,,
2,summary,"1, 2",prediction,feeling,How will the oldest daughter of the Ruler of Heaven feel after her dream?,explicit,frightened,,,,,,
3,local,2,causal relationship,,Why didn't Li Dsing slay Notscha?,explicit,Li Dsing took pity on him.,,,,,,
4,local,2,action,,What did Li Dsing's friends do when three days had passed?,explicit,came to wish Li Dsing joy,,,,,,
5,local,3,action,,What did Notscha do after he turned seven years old?,explicit,ran away from home,,,,,,
6,local,3,setting,,Where did Notscha go when he ran away from home?,explicit,to the river of nine bends,,,,,,
7,local,2,causal relationship,,Why did the Taoist priest want to take Notscha as his pupil?,implicit,The Taoist priest wanted to gentle his savage ways.,,,,,,
8,local,3,action,,How did Notscha shake the castle of the Dragon-King?,explicit,whisked about his scarf in the water,,,,,,
9,local,3,action,,What did Notscha do when he saw the Triton?,explicit,threw his golden armlet at him,,,,,,
10,local,3,causal relationship,,Why did the Dragon-King send out a Triton?,implicit,He wanted to find out what was the matter.,,,,,,
11,local,4,character,,Who did the Dragon-King send out to capture Notscha?,explicit,his son,,,,,,
12,local,5,feeling,,How did the Dragon-King's son feel when he met Notscha?,implicit,angry,furious,mad,,,,
13,local,5,action,,How did Notscha defeat the Dragon-King's son?,explicit,took his golden armlet and struck him on the forehead with it,cast his crimson cloth into the air,,,,,
14,summary,"5, 6",prediction,action,What will the Dragon-King do after his son is defeated?,explicit,hasten to Notscha's father Li Dsing and demand that Notscha be delivered up to him,,,,,,
15,local,6,feeling,,How did the Dragon-King feel when Notscha came home with his son's dragon sinew?,implicit,angry,mad,,,,,
16,local,7,action,,What did Notscha's master do when Nostcha came to him for help?,implicit,told him to prevent the Dragon-King from accusing him in Heaven,,,,,,
17,local,7,setting,,Where was Notscha after his master did some magic?,explicit,by the gate of Heaven,,,,,,
18,local,7,action,,What did Notscha do when he saw the Dragon-King?,explicit,"threw the dragon to the ground with his armlet, and began to pitch into him",,,,,,
19,local,8,action,,What did the Dragon-King promise to Notscha?,explicit,promised Notscha that he would not complain of him,,,,,,
20,local,8,action,,What did the Dragon-King do before he disappeared in a flash of lightning?,explicit,swore that would punish Li Dsing in a terrible manner,,,,,,
21,local,9,character,,Who came to punish Notscha's parents?,explicit,all the Dragon Kings of the four seas,,,,,,
22,local,9,feeling,,How did Nostcha's mother feel when her son destroyed himself?,implicit,sad,upset,,,,,
23,local,9,causal relationship,,Why did Notscha destroy himself?,implicit,He wanted to save his parents.,He did not want his parents to be punished.,,,,,
24,local,10,action,,How did Notscha give his mother a message?,explicit,appeared to his mother in a dream,,,,,,
25,summary,"9, 10",outcome resolution,,What happened to Notscha after he destroyed himself?,explicit,"The spiritual part of Notscha, his soul fluttered about in the air, and was driven by the wind to the cave of the Great One.",,,,,,
26,local,10,action,,What did Notscha's mother have to do to bring Nostcha back as a human?,explicit,must build a shrine for Notscha on a green mountain cliff,,,,,,
27,local,10,action,,What did Notscha's mother do after Notscha appeared in her dream?,explicit,erected a temple for Notscha without Li Dsing's knowledge,,,,,,
28,summary,"10, 11",prediction,feeling,How will Notscha's father feel he finds out about Notscha's shrine?,explicit,angry,,,,,,
29,local,11,causal relationship,,Why was Notscha's father angry with Notscha?,implicit,He brought misfortune to his parents when he was alive.,Notscha deceived people when he was dead.,,,,,
30,local,11,action,,What did Notscha's father do to destroy the temple?,explicit,"drew forth his whip, beat Notscha's idolatrous likeness to pieces with it, had the temple burned down, and the worshipers mildly reproved",,,,,,
31,local,12,feeling,,How did Notscha feel when he found his temple destroyed?,implicit,sad,upset,,,,,
32,local,12,action,,How did Notscha's master turn him back into a human?,explicit,"made a body of lotus-plants, gave it the gift of life, and enclosed the soul of Notscha within i",,,,,,
33,local,12,action,,What did Notscha's master give Notscha?,explicit,a bag of panther-skin in which to keep his armlet and his silken cloth,,,,,,
34,summary,"11, 12, 13",causal relationship,,Why was Notscha determined to punish Li Dsing?,implicit,Li Dsing destroyed Notscha's temple.,Li Dsing burned down his temple.,,,,,
35,local,13,character,,Who was the disciple of the holy Pu Hain?,explicit,Mutscha,,,,,,
36,local,13,outcome resolution,,What happened after Mutscha came to his father's aid?,explicit,"A violent quarrel took place between the brothers; they began to fight, and Mutscha was overcome; while Notscha once more rushed in pursuit of Li Dsing.",,,,,,
37,local,14,action,,What did Wen Dschu do when Notscha turned his fiery lance upon him?,explicit,"stepped back a pace, shook the seven-petaled lotus from his sleeve, and threw it into the air",,,,,,
38,local,14,causal relationship,,Why couldn't Notscha move?,explicit,He was bound to a golden column with three thongs of gold.,,,,,,
39,local,15,causal relationship,,Why didn't Notscha's master save Notscha from getting beaten?,implicit,Notscha needed to be given a severe lesson.,,,,,,
40,local,15,character,,Who came to stop Notscha from pursuing his father again?,explicit,the old Buddha of the Radiance of the Light,,,,,,
41,local,16,action,,What did the Great One give to Notscha to heal his wound?,explicit,"three goblets of the wine of the gods to drink, and three fire-dates to eat",,,,,,
42,local,16,feeling,,How did Notscha feel when he grew another arm?,implicit,scared,horrified,,,,,
43,local,16,outcome resolution,,What happened to Notscha after he drank three goblets of the wine and ate three fire-dates?,explicit,He suddenly heard a crash at his left side and another arm grew out from it.,,,,,,
