question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the poor boy beg for when he went to the king?,explicit,to be taken into service as a shepherd,,,,,,
2,local,1,character,,What did everyone call the poor boy?,explicit,Sheep-Peter,,,,,,
3,local,1,action,,How did Sheep Peter amuse himself while herding his sheep?,explicit,with his crossbow,,,,,,
4,local,1,causal relationship,,Why did Sheep Peter agree to not shoot the crane?,explicit,She will help him whenever he is in trouble.,,,,,,
5,local,1,prediction,character,Who will come with Sheep Peter is in trouble?,explicit,Queen Crane,,,,,,
6,local,2,outcome resolution,action,What did the king have to do because a war broke out?,explicit,take the field,,,,,,
7,local,2,action,,What did Sheep-Peter ride into a swamp along the highway?,explicit,an old nag,the horse,,,,,
8,local,2,causal relationship,,Why did Sheep-Peter click with his tongue?,explicit,The horse died.,,,,,,
9,local,3,setting,,Where did Sheep-Peter go after the people had all passed by?,explicit,the oak in which the Queen Crane dwelt,,,,,,
10,local,3,causal relationship,,Why did the king want to hold Sheep-Peter back?,explicit,He thought that an angel had come to help him.,,,,,,
11,local,3,character,,Who helped Sheep-Peter defeat the enemy?,explicit,Queen Crane,,,,,,
12,local,4,outcome resolution,,"What happened because Sheep-Peter forgot to say, ""stay by me""?",explicit,He was shot in the leg.,,,,,,
13,local,4,action,,What did the king do after Sheep-Peter was shot in the leg?,explicit,"took out his handkerchief, and tied up his leg",,,,,,
14,summary,"3,4,5",action,,How many times did Sheep-Peter save the king?,implicit,three times,,,,,,
15,local,4,causal relationship,,Why did Sheep-Peter pretend to be sad when the soldiers laughed at him?,implicit,Sheep-Peter did not want them to know he was the one who saved the king.,He wanted to trick them.,,,,,
16,local,6,character,,Who had carried off the three princesses?,explicit,three meer-women,,,,,,
17,local,6,action,,What did the king proclaim?,explicit,whoever could rescue the three princesses should receive one of them for a wife,,,,,,
18,local,6,outcome resolution,,What happened because Sheep-Peter rode away quickly after saving the princess?,implicit,No one knew he was the one who saved her.,People thought a nobleman saved the princess.,,,,,
19,local,6,setting,,Where did Sheep-Peter lay down to sleep?,explicit,the sea-shore,,,,,,
20,local,7,action,,What did the second princess weave into Sheep-Peter's hair?,explicit,a string of pearls,,,,,,
21,local,7,causal relationship,,Why did the second princess tell the horse to wake Sheep-Peter?,explicit,He would not wake up at all.,,,,,,
22,local,9,feeling,,How did the king feel when he heard his youngest daughter wanted to marry Sheep-Peter?,explicit,very angry,,,,,,
23,local,9,causal relationship,,Why did the king feel very angry with his youngest daughter?,explicit,He did not believe for a moment that Sheep-Peter had delivered her.,,,,,,
24,local,9,causal relationship,,Why did the king give nothing to Sheep-Peter?,implicit,He did not like Sheep-Peter.,He did not known Sheep-Peter saved his daughter.,,,,,
25,local,10,action,,What did the king hope for?,explicit,"make a proper laughing-stock of himself, and drop far behind the others without any effort on their part.",,,,,,
26,local,10,prediction,feeling,How will the king feel when he finds out Sheep-Peter was the one who saved him and the princesses?,implicit,shocked,surprised,happy,,,,
27,local,12,action,,How did Sheep-Peter prove that he was the one who saved the king?,explicit,He drew out the king's handkerchief.,,,,,,
28,local,12,character,,Who came along and told how it all had happened?,explicit,the youngest princess,,,,,,
29,local,13,causal relationship,,Why did the king have to believe that Sheep-Peter saved the princesses?,explicit,Sheep-Peter took out the ribands of the other princesses.,,,,,,
30,local,13,outcome resolution,,What happened because Sheep-Peter proved what he did?,explicit,"He got the youngest princess, and with her half the kingdom, and after the king's death, all of it.",,,,,,
