question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was Per Gynt?,explicit,a marksman,,,,,,
2,local,1,action,,What did Per Gynt do in the mountains?,explicit,shot bear and elk,,,,,,
3,local,1,setting,,Where did Per Gynt live?,explicit,Kvam,,,,,,
4,local,1,action,,What dwelt in the forests?,explicit,all sorts of beasts,,,,,,
5,local,1,outcome resolution,,What happened when Per Gynt reached Hovringalm?,explicit,It was already so dark he could not see his hand before his eyes.,,,,,,
6,local,1,action,,What did Per Gynt intend to do in Hovringalm?,explicit,stay over-night,,,,,,
7,local,1,causal relationship,,What made Per Gynt feel uneasy?,explicit,The dogs began to bark so violently.,,,,,,
8,local,1,action,,How did Per Gynt not know what his foot had struck?,explicit,It was so dark he could not see his hand before his eyes.,He felt certain he had not left the path.,,,,,
9,local,2,causal relationship,,Why did Per Gynt ask who was in his hand?,explicit,He noticed that it moved.,,,,,,
10,local,2,character,,"What was the cold, and large, and slippery?",explicit,the crooked one,,,,,,
11,summary,"2,3",causal relationship,action,How did Per Gynt notice he was going in a circle?,implicit,He ran into the crooked one twice.,He came to the same place he was before.,,,,,
12,local,3,action,,What did Per Gynt do when he entered the cottage?,explicit,stumbled and felt his way along the walls,,,,,,
13,local,3,outcome resolution,,What happened because it was dark inside as it was outside?,explicit,He stumbled and felt his way along the walls.,,,,,,
14,local,3,action,,What did Per Gynt want to do in the cottage?,explicit,lay aside his firelock and his hunting bag,,,,,,
15,local,3,feeling,,How did Per Gynt feel when he ran into the crooked one again?,implicit,annoyed,frustrated,bothered,,,,
16,summary,"2,3",character,,How was this crooked one different from the previous crooked one?,implicit,It was bigger.,It was larger.,,,,,
17,local,3,outcome resolution,,What happened wherever Per Gynt took hold or set his foot?,explicit,He could feel the coils of the crooked one laid around him.,,,,,,
18,local,3,causal relationship,,Why was the cottage a poor place to be in?,explicit,This crooked one was outside and inside.,,,,,,
19,local,4,causal relationship,,Why did Per Gynt not shoot another time?,explicit,He knew better.,The bullet would have rebounded and hit him.,,,,,
20,local,4,character,,Who took hold of the great troll?,explicit,Per Gynt and his dogs,,,,,,
21,local,4,action,,What did Per Gynt and his dogs do after taking hold of the great troll?,explicit,dragged him out of the hut,,,,,,
22,local,5,action,,What did Per Gynt do in the morning?,explicit,hunted,,,,,,
23,local,5,character,,Who did Per Gynt see while hunting?,explicit,a girl driving sheep and goats across a mountain-top,,,,,,
24,local,5,outcome resolution,,What happened when Per Gynt reached the top of the mountain?,explicit,The girl had vanished as well as her flock and all he saw was a great pack of  bears.,,,,,,
25,local,5,feeling,,How did Per Gynt feel when he saw the girl disappear and a pack of bears?,implicit,surprised,confused,,,,,
26,local,5,character,,Who did Per Gynt meet on the way back?,explicit,a mountain fox,,,,,,
27,local,7,action,,What did the troll do after Per Gynt poured soup on his nose?,explicit,rushed off lamenting loudly,,,,,,
28,local,7,causal relationship,,What was the cause of the noise and tumult outside?,implicit,There was a wagon drawn by bears with a great troll loaded upon it.,,,,,,
29,local,7,causal relationship,,Why was Per Gynt sitting in the dark?,explicit,"A pail of water was poured down through the chimney, smothering the fire.",,,,,,
30,local,8,action,,What did Per Gynt see after he had covered some distance?,explicit,"a fire, as though the whole hut were ablaze",a whole pack of wolves,,,,,
31,local,8,character,,Who were frightening the dairy maids?,explicit,four strangers,four mountain trolls,,,,,
32,local,9,action,,What did Tron Valfjeldet call the wolves?,explicit,snakes,,,,,,
33,local,9,setting,,Where did many trolls congregate on Christmas eve?,explicit,a farmstead at Dovre,,,,,,
34,local,9,causal relationship,,Why did Per Gynt want to go to the farmstead at Dovre?,implicit,He wanted to attack the trolls.,He wanted to fight the trolls.,,,,,
35,local,10,causal relationship,,Why can the man not shelter Per Gynt?,explicit,The place is alive with trolls every Christmas Eve.,,,,,,
36,local,10,outcome resolution,,What happened after the trolls put their feet in the shoe?,explicit,"Per Gynt laced it, forced in a wedge, and then drew the lace so taut that every last one of them was caught and held in the shoe",,,,,,
37,local,11,action,,What did Per Gynt do after the trolls left?,explicit,feasted on the Christmas fare all of Christmas week,,,,,,
