question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,How did the old man appear?,explicit,very old and very desolate,,,,,,
2,local,1,setting,,Where was the old man sitting?,explicit,in his lodge by the side of a frozen stream,,,,,,
3,local,1,action,,What did the old man hear day after day?,explicit,"the sounds of the tempest, sweeping before it the new-fallen snow",,,,,,
4,local,1,character,,Who approached and entered the old man's dwelling?,explicit,a handsome young man,,,,,,
5,local,1,action,,What did the young man carry in his hand?,explicit,a bunch of flowers,,,,,,
6,local,1,action,prediction,What will the old man tell the young man?,explicit,"the old man's prowess and exploits, and what he could perform",,,,,,
7,local,1,feeling,,How did the old man feel when he saw the young man?,explicit,happy,,,,,,
8,local,2,action,,What did the old man draw from his sack?,explicit,a curiously-wrought antique pipe,,,,,,
9,local,2,outcome resolution,,What happened after the young man breathed?,explicit,flowers sprang up all over the plains,,,,,,
10,local,2,action,,What did the men do after the ceremony was attended to?,explicit,began to speak,,,,,,
11,local,2,outcome resolution,,What did the old man say happened to the ground when he walked?,explicit,The ground became as hard as flint.,,,,,,
12,local,3,action,,What did the young man do so that warm showers of soft rain fall upon the earth?,explicit,shook his ringlets,,,,,,
13,local,3,character,,What was the character of the old man?,explicit,"Peboan, the icy old Winter-Spirit",,,,,,
14,local,3,outcome resolution,,What happened after the sun increased?,explicit,"The old man grew less and less in stature, and presently he had melted completely away.",,,,,,
15,local,3,character,,What was the young visitor's name?,explicit,"Seegwun, the Spirit of Spring",,,,,,
16,local,3,action,,What did the young visitor place upon his brow?,explicit,the mis-kodeed,a small white flower with a pink border,,,,,
17,summary,"2,3",causal relationship,,Why did the tongue of the old man become silent?,explicit,The sun began to rise.,"He grew less and less in stature, and presently he had melted completely away.",,,,,
18,local,1,prediction,feeling,How will the old man feel sitting alone in the lodge?,implicit,isolated,lonely,sad,,,,
19,local,1,causal relationship,,Why was the old man happy when the young man entered his dwelling?,implicit,The old man was no longer alone.,The old man had someone to talk to.,The old man had a visitor.,,,,
20,summary,"1,2",action,,How did the men pass the night together?,implicit,They talked about nature.,They performed a ceremony.,They used a pipe and filled it with tobacco.,,,,
21,local,2,prediction,feeling,How will the men feel after performing the ceremony?,implicit,relaxed,peaceful,,,,,
22,local,3,causal relationship,,Why did the young man begin to cry?,implicit,His entertainer melted away.,The tongue of the old man became silent.,He was alone.,,,,
23,local,3,causal relationship,,Why was nothing remaining on the place of the old man's lodge-fire?,implicit,The old man melted.,The old man created those objects.,The objects disappeared with the old man.,,,,
24,local,3,causal relationship,,Why did the young man place the wreath upon his brow?,implicit,as his first trophy in the North,to honor the old man,to remember his time with the old man,,,,
