question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who married a prince?,explicit,Dectera,,,,,,
2,local,1,setting,,Where was the prince's patrimony?,explicit,along the shores of the Muirnict,,,,,,
3,local,1,setting,,Where was the capital of the prince's patrimony?,explicit,Dun Dalgan,,,,,,
4,local,1,character,,What was the name of Dectera's child?,explicit,Setanta,,,,,,
5,local,1,outcome resolution,,What happened as soon as Setanta was able to understand stories?,explicit,He evinced a passion for arms and the martial life.,,,,,,
6,local,1,feeling,,How did people feel when they learned Setanta had a passion for arms and the martial life?,explicit,surprised,,,,,,
7,local,1,character,,Whose achievements did Setanta think about?,explicit,the Red Branch,,,,,,
8,local,1,action,,What was never out of Setanta's mind?,explicit,"Emain Macha, the capital of the Clanna Rury",,,,,,
9,local,1,action,,What did Setanta long to be?,explicit,one of the four-footed beasts that he beheld wending their way to the wondrous city,,,,,,
10,local,1,feeling,,How did Setanta feel when he was told about the great school?,explicit,delighted,,,,,,
11,local,1,action,,What were the young nobles of Ulster taught?,explicit,martial exercises and the military art,,,,,,
12,local,1,character,,Who supervised the young nobles?,explicit,chosen knights,the High King himself,,,,,
13,local,1,character,,Who did Setanta resolve to accept as his instructor?,explicit,"Fergus Mac Roy, tanist of Ulster.",,,,,,
14,local,1,character,,What was the name of one of the sisters of Conchubar Mac Nessa?,explicit,Dectera,,,,,,
15,local,2,causal relationship,,Why did Setanta see his father little?,explicit,His father's mind had become impaired.,His father was confined in a secluded part of the Dun.,,,,,
16,local,2,setting,,Where was Setanta's father confined?,explicit,in a secluded part of the Dun,,,,,,
17,local,2,action,,What did Dectera do whenever Setanta talked about his desire to enter the military school?,explicit,laughed,,,,,,
18,local,2,causal relationship,,Why did Dectera laugh at Setanta?,explicit,He was not yet old enough to endure that rough life,,,,,,
19,local,2,feeling,,How did Dectera secretly feel about Setanta's wish to go to the military school?,explicit,alarmed,,,,,,
20,local,2,outcome resolution,,What happened after Dectera heard Setanta's desire?,explicit,She formed plans to detain him at home altogether.,,,,,,
21,local,2,action,,What did Setanta do on a favorable night?,explicit,Setanta stole away from his father's Dun.,,,,,,
22,local,2,setting,,Where did Setanta cross before morning?,explicit,the frontier,,,,,,
23,local,2,action,,What did Setanta do after crossing the frontier?,explicit,He then lay down to rest and sleep in a wood.,,,,,,
24,local,2,causal relationship,,Why did Setanta travel quickly?,explicit,lest he should be met by any of his father's people,,,,,,
25,local,2,action,,What did Setanta hang on his side?,explicit,a sword of lath,,,,,,
