question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was also known as the Holy Mother?,explicit,The Queen of Heaven,,,,,,
2,local,2,causal relationship,,Why did the Queen of Heaven took pity on the distress of her people during her lifetime on earth?,explicit,Every year people are lost at sea.,,,,,,
3,local,2,causal relationship,,Why did the Queen of Heaven now appeared frequently on the seas?,explicit,Her thoughts are uninterruptedly turned toward aiding the drowning in their distress.,,,,,,
4,local,3,causal relationship,,Why were there three paper talisman and a picture of the Queen of Heaven were kept on the ship?,implicit,The seamen asked for help when there were in danger.,The seamen needed help from the Queen of Heaven when they were in distress.,,,,,
5,local,4,action,,What did the seamen do when they lost their course?,explicit,pray devoutly to the Queen of Heaven,,,,,,
6,local,4,outcome resolution,,What happened after the seamen pray devoutly to the Queen of Heaven?,explicit,A red lantern appeared on the face of the waters.,,,,,,
7,local,4,prediction,outcome resolution,What will happen when the seamen follow the red lantern?,explicit,win safe out of all danger,,,,,,
8,local,4,action,,What did the Queen of Heaven do to make the wind depart and waves grow smooth?,explicit,"stood in the skies, divided the wind with her sword",,,,,,
9,local,5,causal relationship,,Why was a wooden wand kept before the Queen of Heaven's holy picture in the cabin?,implicit,It was used to make the fish-dragons disappear.,It was used to protect the ship.,,,,,
10,local,5,character,,"Who spouted up water against one another till the sun in the sky is obscured, and the seas were shrouded in profound darkness?",explicit,two giant fish,the fish-dragons,,,,,
11,local,5,action,,What did the Master of the Wand need to do so that the dragons do not draw the ship down into the depths?,explicit,burn incense before the wand in the cabin,"take the wand and swing it over the water three times, in a circle",,,,,
12,local,6,action,,How did the seamen know that there was great danger?,explicit,"When the ashes in the censer fly up into the air without any cause, and are scattered about.",,,,,,
13,local,6,setting,,Where did army go nearly two hundred years ago?,explicit,the island of Formosa,,,,,,
14,local,6,outcome resolution,,What happened when the Queen of Heaven appeared at the tip of the banner-staff?,explicit,"In another moment she had disappeared, but the invasion was successful.",,,,,,
15,local,7,action,,What was Dschou Ling ordered to do?,explicit,install a new king in the Liu-Kiu Islands,,,,,,
16,local,7,outcome resolution,,What happened when the fleet was sailing by south of Korea?,explicit,"a storm arose, and his ship was driven toward the Black Whirlpool.",,,,,,
17,local,7,action,,What did the seamen and travelers do when the ship was caught in the Black Whirlpool?,explicit,awaited their end with lamentations,,,,,,
18,local,7,feeling,,How did the seamen and travelers feel when the ship was caught in the Black Whirlpool?,implicit,scared,worried,terrified,,,,
19,local,7,feeling,,How did the seamen feel when red lanterns appeared on the surface of the water?,explicit,overjoyed,,,,,,
20,local,7,action,,What did the beautiful maiden with golden earrings do when she appeared?,explicit,waved her hand in the air and the winds became still and the waves grew even,,,,,,
21,local,8,feeling,,How did Dschou Ling feel when he heard that the Queen of Heaven saved the seamen?,implicit,grateful,happy,,,,,
22,local,7,causal relationship,,Why were the seamen overjoyed after red lanterns appeared?,explicit,The Queen of Heaven came to their aid.,,,,,,
23,local,8,action,,What did Dschou Ling do when he was told of this happening?,explicit,"begged that temples be erected in honor of the Queen of Heaven, and that she be included in the list of the gods",,,,,,
24,local,8,setting,,Where were the temples of the Queen of Heaven built?,explicit,in all sea-port towns,,,,,,
