question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who were all so clever and brave that the king began to be afraid that they would want to reign over the kingdom before he was dead?,explicit,the king's three sons,,,,his three sons,,
2,local,1,causal relationship,,Why was the king afraid that his sons would want to reign over the kingdom before he was dead?,explicit,They were all so clever and brave.,,,,They were all so clever and brave.,,
3,summary,"1,2",causal relationship,,"Why did the king want a pretty, lively, faithful little dog?",explicit,He thought the best way to live in peace would be to divert the minds of his sons with promises.,,,,He wanted to divert the minds of his sons by promises which he could always get out of when the time  came for keeping them.,,
3,local,2,action,,What did the princes need to do to succeed the throne?,explicit,The one who brought the king the most beautiful little dog shall succeed him.,,,,bring the king the most beautiful little dog,,
4,local,3,feeling,,How did the three sons feel when the king suddenly wanted a dog?,explicit,surprised,,,,greatly surprised,,
5,local,7,setting,,What place did the prince enter after a silver bell sounded and the door flew open?,explicit,a hall paved with lapis-lazuli,,,,"a room with a number of hands in the air, each holding a torch",,
6,local,10,character,,Who brought in cages full of rats and mice?,explicit,a large party of cats,,,,a large party of cats,,
7,local,14,action,,What was the White Cat riding on?,explicit,riding on a monkey,,,,a monkey,,
8,local,15,action,,What did the prince do after he drank from the crystal goblet?,explicit,forgot everything and only thought how happy he was to be with the White Cat,,,,"forgot everything, even the little dog that he was seeking for the King, and only thought how happy he was to be with the White Cat",,
9,local,38,causal relationship,,"Why did the king send the queen and their daughter in a great tower and safely guarded, and drove the little dwarfs out of his kingdom?",implicit,He wanted to protect his daughter.,He wanted to keep the fairies from taking away his daughter.,He did not want the fairies to take away his daughter.,,to keep the fairy from taking their daughter,,
10,local,15,prediction,action,How will the White Cat help the prince find a horse that will carry him for three days?,explicit,She will give the prince a good wooden horse that could take the him to his country in twelve hours.,,,,She will give him a horse that will take him back to his country in twelve hours.,,
11,local,19,action,,What did the princes do after seeing the wooden horse?,explicit,stared in amazement,,,,stared in amazement,,
12,local,35,action,,What did the ugly fairy do when the queen wanted to eat her fruit?,implicit,give them her little daughter,wanted her little daughter,,,asked for her little daughter in exchange,,
13,local,45,prediction,action,What will the majesty find in that crystal chair?,explicit,a little white cat,,,,a little white cat,,
14,local,36,action,,What did the old fairy do after the queen consented to give her little daughter away?,explicit,led her into the castle,,,,led her into the castle,,
15,local,40,action,,What did the White Cat do to regain her normal form?,explicit,win the love of a prince who resembled in every way  her unfortunate lover,,,,get her head cut off,,
16,local,48,prediction,action,How will the king and all thee courtiers react to the cat's response?,explicit,joy and astonishment,,,,joy,astonishment,
17,local,40,action,,What did the fairies do for the White Cat to believe that she was their child?,explicit,laid the White Cat under the enchantment as the fairies told her all of her history,,,,laid her under the enchantment,,
18,local,44,causal relationship,,Why did the princes make fun of the White Cat?,implicit,He did not bring back a princess.,He did not find a wife.,He failed to bring back a wife.,,Their brother did not find a wife.,,
19,local,48,action,,What did the characters do after the festivities ended?,explicit,Each king and queen departed to their own kingdom and lived happily ever after.,,,,lived happily ever after,,
