document_id,text
little-lasse,"There was once a little boy whose name was Lars, and because he was so little he was called Little Lasse; he was a brave little man, for he sailed round the world in a pea-shell boat."
little-lasse,"It was summer time, when the pea shells grew long and green in the garden."
little-lasse,"Little Lasse crept into the pea bed where the pea stalks rose high above his cap, and he picked seventeen large shells, the longest and straightest he could find."
little-lasse,"Little Lasse thought, perhaps, that no one saw him; but that was foolish, for God sees everywhere."
little-lasse,"Then the gardener came with his gun over his shoulder, and he heard something rustling in the pea bed."
little-lasse,"'I think that must be a sparrow,' he said."
little-lasse,' Ras! Ras!'
little-lasse,"but no sparrows flew out, for Little Lasse had no wings, only two small legs."
little-lasse,"'Wait! I will load my gun and shoot the sparrows,' said the gardener."
little-lasse,"Then Little Lasse was frightened, and crept out on to the path."
little-lasse,"'Forgive me, dear gardener!'"
little-lasse,he said.
little-lasse,'I wanted to get some fine boats.'
little-lasse,"' Well, I will this time,' said the gardener."
little-lasse,' But another time Little Lasse must ask leave to go and look for boats in the pea bed.'
little-lasse,"'I will,' answered Lasse; and he went off to the shore."
little-lasse,"Then he opened the shells with a pin, split them carefully in two, and broke small little bits of sticks for the rowers' seats."
little-lasse,Then he took the peas which were in the shells and put them in the boats for cargo.
little-lasse,"Some of the shells got broken, some remained whole, and when all were ready Lasse had twelve boats."
little-lasse,"But they should not be boats, they should be large warships."
little-lasse,"He had three liners, three frigates, three brigs and three schooners."
little-lasse,"The largest liner was called Hercules, and the smallest schooner The Flea."
little-lasse,"Little Lasse put all the twelve into the water, and they floated as splendidly and as proudly as any great ships over the waves of the ocean."
little-lasse,And now the ships must sail round the world.
little-lasse,The great island over there was Asia; that large stone Africa; the little island America; the small stones were Polynesia; and the shore from which the ships sailed out was Europe.
little-lasse,The whole fleet set off and sailed far away to other parts of the world.
little-lasse,"The ships of the line steered a straight course to Asia, the frigates sailed to Africa, the brigs to America, and the schooners to Polynesia."
little-lasse,"But Little Lasse remained in Europe, and threw small stones out into the great sea."
little-lasse,"Now, there was on the shore of Europe a real boat, father's own, a beautiful white-painted boat, and Little Lasse got into it."
little-lasse,"Father and mother had forbidden this, but Little Lasse forgot."
little-lasse,He thought he should very much like to travel to some other part of the world.
little-lasse,"'I shall row out a little way--only a very little way,' he thought."
little-lasse,The pea-shell boats had travelled so far that they only looked like little specks on the ocean.
little-lasse,"'I shall seize Hercules on the coast of Asia,' said Lasse, 'and then row home again to Europe.'"
little-lasse,"He shook the rope that held the boat, and, strange to say, the rope became loose."
little-lasse,"Ditsch, ratsch, a man is a man, and so Little Lasse manned the boat."
little-lasse,"Now he would row--and he could row, for he had rowed so often on the step sat home, when the steps pretended to be a boat and father's big stick an oar."
little-lasse,But when Little Lasse wanted to row there were no oars to be found in the boat.
