question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was the poor man?,explicit,"Iena, or the Wanderer",,,,,,
2,local,1,action,,What was the habit of Iena?,explicit,roaming about from place to place,,,,,,
3,local,1,action,,What did Iena often wish for?,explicit,a companion to share his solitude,,,,,,
4,local,1,causal relationship,,Why did Iena think no one would be his companion?,explicit,No one would think of joining their fortunes with those of a poor wanderer.,Iena had no shelter but such as his leather hunting-shirt provided.,"Iena had no other household in the world than the bundle which he carried in his hand, and in which his hunting-shirt was laid away.",,,,
5,local,1,outcome resolution,,What happened after Iena went out in quest of game?,explicit,Iena found a small but neat lodge built in the place where he had left his bundle.,,,,,,
6,local,1,character,,Who did Iena see sitting on the further side of the lodge?,explicit,a beautiful female,,,,,,
7,local,2,action,,What did Iena do during the day?,explicit,kill a deer,,,,,,
8,local,2,outcome resolution,,What happened after Iena left the game to Night-Hawk?,explicit,Iena took up his bundle and departed.,,,,,,
9,local,2,feeling,,How did Iena feel when he saw the woman?,explicit,astonished,,,,,,
10,local,2,outcome resolution,,What happened to the woman after she ran out to look at the deer?,explicit,stumbled and fell at the threshold,,,,,,
11,local,3,feeling,,How did Iena feel about the day's hunt?,explicit,weary,,,,,,
12,local,3,action,,What did Iena do when he entered the lodge?,explicit,sat by the fire,,,,,,
13,local,3,action,,What did Iena catch the woman doing?,explicit,greedily eating all the fat of the deer,,,,,,
14,local,4,action,,What did the woman do when Iena entered the lodge?,explicit,"rose cheerfully, welcomed him home","brought in the deer, cut it up as it should be, and hung up the meat to dry",,,,,
15,local,4,action,,What did Iena continue to do every day?,explicit,his practice of hunting,,,,,,
16,local,4,feeling,,How did Iena feel living with the woman?,explicit,happy,content,,,,,
17,local,1,feeling,prediction,How will Iena feel about being by himself?,implicit,sad,lonely,isolated,,,,
18,local,1,action,,What did the woman do while Iena went in quest of game?,implicit,created the lodge,used magic to build a lodge,,,,,
19,summary,"1,2",causal relationship,,Why did Iena believe he was blessed?,implicit,There was a lodge where his bundle was.,There was a beautiful woman.,He killed a deer.,,,,
20,summary,"1,2,3,4",prediction,action,What will happen when Iena suspends his bundle again?,implicit,A lodge will appear.,A beautiful woman will appear.,Iena will prosper in his hunt.,,,,
21,local,3,prediction,feeling,How will Iena feel about the woman eating the fat of the deer?,implicit,upset,betrayed,angry,,,,
22,local,3,causal relationship,,Why did Iena allow the woman to feast on the game he had brought?,implicit,She was hungry.,She was already eating the fat of the deer.,She accepted him into the lodge.,,,,
23,summary,"1,2,3,4",causal relationship,,Why did Iena say he was certainly blessed with the third woman?,implicit,She treated him well.,She prepared the deer for him.,She did not steal his kill.,,,,
24,local,4,action,prediction,What will Iena do to the woman?,implicit,marry her,make her his wife,,,,,
25,summary,"1,2,3,4",action,,How was the bundle magical?,implicit,It left a lodge and a beautiful woman.,It allowed Iena to hunt with good luck.,,,,,
