question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,"Who was called Salmon, and his Christian name was Matte?",explicit,a fisherman,,,explicit,A fisherman,,
2,local,1,setting,,Where did the fisherman live?,explicit,by the shore of the big sea,,,explicit,By the shore of the big sea,,
3,local,1,setting,,Where did Matte and Maie live during the winter?,explicit,in a little cottage by the shore,,,explicit,In a little cottage by the shore,,
4,local,1,setting,,Where did Matte and Maie live during the spring?,explicit,a red rock out in the sea,,,explicit,A red rock out in the sea,,
5,local,2,action,,What did Matte and Maie fish for in the spring?,explicit,salmon,,,explicit,Salmon,,
6,local,2,action,,What did Matte and Maie fish for in the summer?,explicit,herring,,,explicit,Herring,,
7,local,2,action,,What did Matte and Maie fish for in the winter?,explicit,cod,,,explicit,Cod,,
8,local,2,action,,What did Matte and Maie do on Saturdays?,explicit,"sailed to the nearest town, sold their fish, and went to church on Sunday",,,explicit,Sold their fish,,
9,local,2,character,,Who was Matte's and Maie's little yellow-brown dog?,explicit,Prince,,,explicit,Prince,,
10,local,2,causal relationship,,Why were Matte and Maie alone for weeks at a time?,explicit,"The rock laid far away from the land, and there were no green islets or human habitations for miles round.",,,implicit,They lived far from other people,,
11,local,2,character,,"Who were industrious, hard-working folk, happy and contented in their poor hut?",explicit,Matte and Maie,,,explicit,Matte and Maie,,
12,local,2,action,,What did Matte and Maie buy with their leftover salt?,explicit,"tobacco for the old man, and a pound or two of coffee for his wife",,,explicit,Tabacco for the old man and a pound or two of coffee,,
13,local,2,action,,What did Maie long for?,explicit,a cow,,,explicit,A cow,,
14,local,3,causal relationship,,Why didn't Matte want Maie to have a cow?,explicit,"She could not swim so far, and their boat was not large enough to bring her over here; and even if they had her, that gad nothing to feed her on.",,,implicit,They have no way to feed the cow,,
15,local,3,causal relationship,,Why didn't Matte agree with Maie after she said they had four alder bushes and sixteen tufts of grass to feed the cow?,implicit,It wasn't enough food for the cow.,They barely had enough food to feed their dog.,,explicit,It is not enough to feed the cow,,
16,local,3,feeling,,How did Maie feel after her husband did not let her buy a cow?,implicit,sad,disappointed,unhappy,implicit,Saddened,,
17,local,4,character,,Who appeared on a gaily painted boat?,explicit,three young men,,,explicit,Three young men,,
18,summary,"4, 5",causal relationship,,Why didn't Maie have a junket or a can of fresh milk?,implicit,She did not own a cow.,She did not have a cow.,,implicit,Because they have no cow,,
19,local,4,action,,What did the three young men ask for?,explicit,a junket,a can of fresh milk,,explicit,A can of fresh milk,,
20,local,5,action,,What did Maie cook for the young men?,explicit,good smoked herring,,,explicit,Smoked Herring,,
21,summary,"5, 6",causal relationship,,Why didn't Matte understand what the young men said?,explicit,He had never read Kalevala and knew nothing of the sea gods of old.,,,explicit,He had never read kalevala,,
22,local,6,character,,"Who lived in his dominion of Ahtola, and had a rock at the bottom of the sea, and possessed besides a treasury of good things?",explicit,Ahti,a mighty king,,explicit,A mighty King,,
23,local,6,action,,What did Ahti rule over?,explicit,all fish and animals of the deep,,,explicit,All fish and animals of the deep,,
24,local,6,causal relationship,,Why must one beware in dealing with Ahti?,explicit,He was very changeful and touchy.,,,explicit,He is very changeful and touchy,,
25,local,6,action,,What did Ahti do if he was offended?,explicit,"took back his gift, he stirred up the sea into a storm and dragged the sailors down into the depths",,,explicit,"He takes back his gift, her stirs up the sea into a storm and drags the sailors down into the depths",,
26,local,6,action,,How did the young men know what Ahti did in the sea?,implicit,They read it in a book.,They saw the pictures in the book.,,implicit,They read it in a book,,
27,local,6,causal relationship,,Why didn't Matte believe what the young men said?,implicit,The young men did not see Ahti with their own eyes.,The young men only read about Ahti in books.,,implicit,It doesn't sound real,He knew nothing of the sea gods of old,
28,local,7,action,,What did the young men give to Matte as a gift?,explicit,a shining silver coin and a special kind of tobacco,,,explicit,A shining silver coin,A special kind of tobacco,
29,local,7,feeling,,How did the young men feel after Matte and Maie fed them?,implicit,grateful,thankful,happy,implicit,Thankful,Grateful,
30,local,7,feeling,,How did Prince feel after the young men left?,implicit,sad,upset,disappointed,implicit,Woeful,Sad,
31,local,7,action,,What did Maie want to possess?,explicit,a fairy cow,,,explicit,A fairy cow,,
32,summary,"6, 7",causal relationship,,Why did Maie want to possess a fairy cow?,implicit,She heard about the fairy cow from the young men.,The young men talked about Ahti owning the finest cows.,,explicit,"To draw milk from it, aand yet have no trouble about the feeding",,
33,summary,"6, 7",feeling,,How did Maie feel after she found out about fairy cows?,implicit,excited,delighted,,implicit,Excited,Joyful,
34,summary,"3, 4, 7",causal relationship,,Why didn't Maie tell her husband she wanted a fairy cow?,implicit,Her husband already told her that they couldn't have a cow.,Her husband did not want a cow.,,implicit,She knew he would tell her they did not exist,She knew he would not let her have on,
35,local,8,action,,What was Maie pondering over all the time?,explicit,magic rhymes,,,explicit,Magic Rhymes,,
36,local,8,action,,What did Maie want to do to bring luck in fishing?,implicit,try magic rhymes,say magic rhymes,,implicit,Recite magic rhymes,,
37,local,8,causal relationship,,Why didn't Matte want to set the net on Saturday night?,explicit,He did not fish on Sunday.,,,explicit,He did not fish on Sunday,,
38,summary,"7, 8",causal relationship,,Why did Maie want her husband to set the herring-net on Saturday?,implicit,She wanted to try the magic rhymes.,She wanted a fairy cow.,,implicit,She wanted to recite the magic rhymes,,
39,local,9,action,,What did Maie suggest to Matte?,explicit,"set only one net close to the shore, and then they shall be able to finish up their half-filled cask",,,explicit,"Set only once net close to the shore, and then we shall be able to finish up our half-filled cask",,
40,local,10,action,,What did Maie do when they reached the deepest part of the water?,explicit,hummed the words of the magic rhyme,,,explicit,She began to hum the words of the magic rhyme,,
41,summary,"3, 10, 11",causal relationship,,Why did Maie lie to Matte after he asked what she was humming?,implicit,Her husband did not want her to get a cow.,Her husband already declined her request for a cow.,,implicit,So that he would not know her intentions,To hide her wish from Matte,
42,local,11,causal relationship,,Why did Matte believe Maie sang a stupid song?,implicit,She asked for cows.,He believed they should ask for fish.,,implicit,He heard Maie ask for cows and not fish,,
43,local,11,causal relationship,,Why couldn't Matte or Maie fall asleep?,explicit,"The one thought of how he had profaned Sunday, and the other of Ahti's cow.",,,explicit,"One tought of how he had profaned Sunday, and the other of Ahti's cow",,
44,local,12,causal relationship,,Why did Matte sit up at midnight?,implicit,He heard the weathercocks.,He heard a sound.,,implicit,He can hear the sounds of a storm,He knew a storm was coming,
45,local,12,causal relationship,,Why did Matte go outside in the middle of the night?,implicit,He needed to bring in the net.,He believed there was going to be a storm.,,implicit,To bring in the net,,
46,local,12,action,,How did Matte know there was going to be a storm?,implicit,He heard the weathercock.,The weathercock made a lot of noise.,,explicit,The weather-cock,,
47,local,13,causal relationship,,Why didn't Matte want to get the herring-net?,explicit,The storm was strong.,It was too dangerous.,,implicit,The storm was too strong,It was too dangerous,
48,summary,"13, 14",outcome resolution,,What happened after the storm went away?,implicit,A cow appeared.,There was a cow outside of their home.,,implicit,Matte and Maie saw a cow outside their home,,
49,local,14,feeling,,How did Maie feel after she saw the cow?,implicit,excited,happy,amazed,implicit,Excited,Beyond happy,
50,local,14,feeling,,How did Matte feel after he saw the cow?,implicit,confused,puzzled,,implicit,Surprised,Disbelief,
51,local,14,outcome resolution,,What happened after Matte left to find his net?,explicit,"He found it cast up on the shore, and so full of fish that not a mesh was visible.",,,implicit,He found his net full of fish,,
52,local,14,action,,What did Maie do after she saw the cow?,explicit,milked her,,,explicit,The old woman began to milk her,,
53,summary,"13, 15",outcome resolution,,What happened every day after the storm came?,explicit,"From that day the red rock overflowed with milk and junkets, and every net was filled with fish.",,,explicit,"The red rock overflowed with milk and junkets, and every net was filled with fish",,
54,local,15,action,,What did the cow do in the autumn?,explicit,went to sea,,,explicit,The cow wewnt to sea,,
55,local,16,causal relationship,,Why did Maie want a better house?,explicit,The old one was too small for themselves and the men.,,,explicit,The old one is too small for ourselves and the men,,
56,local,16,action,,What did Matte build?,explicit,"a large cottage, with a real lock to the door, and a store-house",,,explicit,He built a large cottage,,
57,local,16,action,,What did Matte and his men send to Russia and Sweden?,explicit,"tons of salmon, herring, and cod",,,explicit,"Tons of salmon, herring and cod",,
58,summary,"11, 16",causal relationship,,Why did Maie and Matte have a lot of fish every day?,implicit,Maie sang the magic rhyme.,The magic rhyme brought luck for fishing.,,implicit,It is because of the song Maie sang to the fairies,The magic rhyme brought them good luck in fishing and a cow,
59,summary,"16, 17",causal relationship,,Why did Maie row out to sea on Sunday night?,implicit,She needed to sing the magic rhyme.,She wanted more cows.,,implicit,To sing the magic rhyme and get three cows,,
60,local,17,outcome resolution,,What happened after Maie hummed the magic rhyme on Sunday night?,explicit,Three cows stood on the island,,,explicit,Three cows stood on the island,,
61,local,18,action,,What did Maie want Matte to build?,explicit,a two-storey house,,,explicit,A two-storey house,,
62,local,18,action,,How many cows did Maie want?,explicit,thirty cows,,,explicit,thirty cows,,
63,local,19,prediction,action,What will Matte suggest to make more space for their cows?,explicit,pump out the sea,,,explicit,Pump out the sea,,
64,local,19,action,,What did Matte want to use to pump out the sea?,explicit,the new steamer,,,explicit,New steamer,,
65,local,19,action,,What did Maie decide to do to make a big dam?,explicit,heap up sand and stones,,,implicit,Collect and pile up sand and stones,,
66,summary,"19, 20",prediction,outcome resolution,What will happen after everyone throws the stones into the sea?,implicit,It will anger Ahti.,It will hit people in the sea.,,implicit,They will anger Ahti,Ahti will take back his gifts and flood them,
67,local,20,feeling,,How did Ahti feel after he was hit by stones?,implicit,furious,angry,mad,implicit,Angry,,
68,summary,"10, 21",action,,What did Maie promise to Ahti for the cows she received?,explicit,the gold from the sun and the silver from the moon,,,explicit,Gold from the sun and silver from the moon,,
69,local,21,outcome resolution,,What happened after Ahti sent Maie like a sky-rocket on to her island?,implicit,She woke up from her dream.,She woke up from her sleep.,,implicit,She no longer had cows or her two-storey home,,
70,local,22,feeling,,How did Maie feel after she woke up from her dream?,implicit,confused,puzzled,,implicit,Very confused,Lost,
