question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who did the devil meet?,explicit,Kitta Grau,,,,,,
2,local,1,setting,,Where had the evil one been out on?,explicit,the farm where the newly wedded couple live,,,,,,
3,local,1,action,,What did the devil try to do at the farmstead?,explicit,sow dissension between the newly wedded couple,,,,,,
4,local,1,causal relationship,,Why was it impossible for the devil to sow dissension between the couple?,explicit,they think so much of each other,,,,,,
5,local,1,causal relationship,,Why did Kittau Grau say the devil talked like a real stupid?,implicit,Kittau Grau thought it would be easy to sow dissension between the couple.,,,,,,
6,local,1,action,,What did the evil one say he would give Kittau Grau if she was successful?,explicit,a splendid pair of shoes,,,,,,
7,local,1,causal relationship,,Why was the woman home alone?,explicit,Her husband had gone to the forest.,,,,,,
8,local,2,causal relationship,,Why did the woman think she had a splendid husband?,explicit,He grants her every wish before it is spoken.,,,,,,
9,local,2,character,,What did the husband still have a bit of in him?,explicit,a bit of deceit,,,,,,
10,local,2,outcome resolution,,What would happen if the woman cut off the pair of long hairs under her husband's chin according to Kitta?,explicit,The man would be altogether without malice.,,,,,,
11,local,2,action,,When did the woman plan to cut off her husband's chin hairs?,explicit,his noon-day nap,,,,,,
12,local,2,action,,What did Kitta warn the husband?,explicit,His wife has in mind to cut his throat,be on his guard,,,,,
13,local,3,causal relationship,,Why did the man fly up?,implicit,He thought his wife was trying to cut his throat.,He thought his wife was trying to kill him.,,,,,
14,summary,"2,3",causal relationship,,Why did the wife go up to her husband with his razor?,implicit,She wanted to cut off his chin hairs.,She wanted him to be free of malice.,,,,,
15,summary,"1,4",causal relationship,,Why was the evil one so afraid of Kitta Grau?,implicit,Kitta Grau managed to sow dissension between the couple.,Kitta Grau did what the devil couldn't.,,,,,
16,summary,"1,2,3,4",character,,Who was responsible for the lack of peace in the house?,explicit,Kitta Grau,,,,,,
17,local,5,character,,To whom would the merchant belong if he was prosperous?,explicit,the devil,,,,,,
18,local,6,action,,What did the merchant disguise Kitta Grau as?,explicit,a bird,,,,,,
19,summary,"6,7,8",causal relationship,,Why was the devil not able to fetch his merchant?,implicit,The merchant was unable to sell Kitta Grau.,The merchant did not sell everything.,,,,,
