question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What were the five women doing?,explicit,"standing in a field, mowing",,,,,,
2,local,1,action,,What did each of the five women want?,explicit,a child,,,,,,
3,local,1,feeling,,How did the women feel to not have children?,implicit,sad,upset,,,,,
4,local,1,outcome resolution,,What happened when the women first saw the goose-egg?,implicit,They argued who saw it first.,They all wanted it.,,,,,
5,local,1,outcome resolution,action,What did the women do because they could not agree who saw the goose-egg first?,explicit,agreed that it should belong to all give of them and that all of them should sit on it,,,,,,
6,local,1,causal relationship,,Why did the women decide to sit on the egg?,explicit,That's what a goose what do,,,,,,
7,local,1,causal relationship,,Why did one of the women grow angry?,explicit,The first woman did not move or do a thing.,The rest had to feed her and themselves as well.,,,,,
8,local,2,causal relationship,,Why did the woman think a human child would slip out of the egg?,explicit,Something was murmuring inside it without it ever stopping.,,,,,,
9,local,3,outcome resolution,action,What did the woman do because she knew there was a child in the egg?,explicit,punched a hole in the egg,,,,,,
10,local,3,action,character,What came out of the egg?,explicit,a child,,,,,,
11,local,3,character,,What did the child look like?,explicit,big head and a small body,,,,,,
12,local,3,causal relationship,,Why was the child named Murmur Goose-Egg?,implicit,The child came from a goose-egg.,The child murmured in the goose-egg.,,,,,
13,local,4,outcome resolution,,What happened because the child grew greedy?,explicit,He devoured everything they had.,The women did not want to keep him anymore.,,,,,
14,local,4,causal relationship,,Why did the women not want to keep the child any longer?,explicit,"When they booked a dish of mush or a potful of porridge that was for all six of them, the child swallowed it all by himself.",,,,,,
15,local,4,action,,What did Murmur Goose-Egg say when he heard the women no longer wanted him?,explicit,He would gladly go his own gait.,"If they had no need of him, then he had no need of them.",,,,,
16,local,4,causal relationship,,How was Murmur Goose-Egg able to pick up such large stones?,implicit,He was strong.,He was powerful.,,,,,
17,local,4,action,,What work was Murmur Goose-Egg given?,explicit,gather up the stones in the field,,,,,,
18,local,4,prediction,feeling,How will the workman feel when he hears how quickly Murmur Goose-Egg worked?,implicit,surprised,astonished,disbelief,,,,
19,local,4,action,,What did Murmur Goose-Egg do with the stones he gathered?,explicit,put them in his pocket,,,,,,
20,local,4,action,,What animal was Murmur Goose-Egg stronger than?,explicit,a number of horses,,,,,,
21,local,5,action,,What did the workman do when he saw Murmur Goose-Egg had finished his work?,explicit,told him to come in and eat,,,,,,
22,local,5,outcome resolution,,What happened after Murmur Goose-Egg ate up everything?,explicit,He was only half satisfied.,,,,,,
23,local,6,character,,What type of eater was Murmur Goose-Egg?,explicit,dangerous,a bottomless cask,,,,,
24,local,6,causal relationship,,Why did the peasant send Murmur Goose-Egg to the castle?,explicit,He had no more work for him.,,,,,,
25,local,6,causal relationship,,Why was the castle a good fit for Murmur Goose-Egg?,explicit,There was enough to eat and drink in the castle.,,,,,,
26,local,7,action,,What was Murmur Goose-Egg's first task?,explicit,chop fire-wood,,,,,,
27,local,7,action,,What did Murmur Goose-Egg do after he finished chopping fire-wood?,explicit,came and asked what he was to do now,,,,,,
28,summary,"7,8",causal relationship,,Why did the superintendent think it could not be possible for all the wood to be chopped?,implicit,There was a lot of wood.,He did not know how strong Murmur Goose-Egg was.,,,,,
29,summary,"7,8",action,,What did Murmur Goose-Egg do that was bad?,explicit,"He had chopped up all that there was, kindling wood and building wood, beams and boards.",,,,,,
30,local,9,setting,,Where did Murmur Goose-Egg go to to get an axe?,explicit,the smithy,,,,,,
31,local,9,action,,What type of axe did Murmur Goose-Egg ask for?,explicit,iron ax of five hundred-weights,,,,,,
32,local,9,feeling,,How did the king feel when he saw Murmur Goose Egg's destruction in the forest?,explicit,frightened,angry,,,,,
33,local,9,action,outcome resolution,What did the king do because Murmur was so strong and he was frightened?,explicit,handle him with care,,,,,,
34,local,10,action,,How much meal would be needed to give Murmur enough porridge?,explicit,twelve tons,,,,,,
35,local,10,outcome resolution,,What happened because Murmur did not go to work about it very gently?,explicit,The house nearly broke from its joints and he well-nigh tore down the entire castle.,,,,,,
36,local,10,causal relationship,,Why did murmur go out into the field?,explicit,to call the help,Dinner was ready.,,,,,
37,local,12,outcome resolution,,What happened when Murmur Goose-Egg nearly finished threshing?,explicit,The enemy broke into the land and war began.,,,,,,
38,local,12,causal relationship,,Why did the king tell Murmur Goose-Egg to gather people and go meet the foe?,explicit,He thought the enemy would probably kill him.,,,,,,
39,summary,"9,10,12",causal relationship,,Why did the king want to get rid of Murmur Goose-Egg?,implicit,Murmur Goose-Egg was destructive.,Murmur Goose-Egg ate too much.,Murmur Goose-Egg gave the king a lot of problems.,,,,
40,local,12,action,,How did the king plan to get rid of Murmur?,implicit,sent him to go battle the foe,have the foe kill him in battle,,,,,
