question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was the Dragon King of the Sea?,explicit,Rin Jin,,,explicit,Rin Jin,,
2,local,1,outcome resolution,,What happened because Rin Jin was the ruler of all sea creatures and kept the Jewel of the Ebbing Tide?,explicit,His power was immense.,,,explicit,His power was immense,,
3,local,1,action,,What did the Jewel of the Ebbing Tide do?,explicit,caused the sea to recede from the land,,,explicit,when thrown into the ocean caused the sea to reced from the land,,
4,local,1,action,,What did the Jewel of the Flowing Tide do?,explicit,made the waves to rise mountains high and to flow upon the shore like a tidal wave,,,explicit,made the waves to rise mountains high and to flow in upon the shore like a tidal wave,,
5,local,2,setting,,What was at the bottom of the sea?,explicit,The Palace of Rin Jin,,,explicit,the palace of Rin Jin,,
6,local,2,setting,,What was special about the Palace of Rin Jin?,explicit,was so beautiful that no one has ever seen anything like it even in dreams,,,explicit,"the walls were of coral, the rood of jadestone and chrysoprase, and the flors were the of the finest mother-of-pearl",,
7,local,2,causal relationship,,Why was Rin Jin not happy?,explicit,He reigned alone.,,,explicit,he reigned alone,,
8,local,2,causal relationship,,Why did Rin Jin not enjoy reigning alone?,implicit,He was lonely.,He wished for a companion.,He wanted a wife.,explicit,he thought that if he married he wound not only be happier but also more powerful,,
9,local,2,setting,action,What were the floors made of?,explicit,the finest mother-of-pearl,,,explicit,the finest mother-of-pearl,,
10,local,2,action,,What did Rin Jin think marring would do for him?,explicit,"not only be happier, but also more powerful",,,explicit,he thought that if he married he wound not only be happier but also more powerful,,
11,local,2,character,,Who did Rin Jin call to find a wife?,explicit,all his fish retainers,,,explicit,All his fish retainers,,
12,local,2,action,,What were the ambassadors to do?,explicit,go through the sea and seek of a young Dragon Princess who would be his bride,,,explicit,Go through the sea and seek a young Dragon Princess,,
13,local,3,character,,What did the lovely young dragon look like?,explicit,scales were of glittering green,eyes threw out glances of fire,dressed in gorgeous robes,explicit,"He scales were of glittering green like the wings of summer beetles, her eyes threw out glances of fire, and she was dressed in gorgeous robes",,
14,local,3,feeling,,How did the King feel about the young dragon?,explicit,love,,,explicit,The King fell in love with her at once,,
15,local,3,action,,How was the wedding ceremony celebrated?,explicit,with great splendor,,,explicit,the wedding ceremony was celebrated with great splendor,,
16,local,3,character,,Who came to congratulate the bride and bridegroom?,explicit,Every living thing in the sea,from the great whales down to the little shrimps,,explicit,every living thing in the sea,,
