question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the farmer do after washing the sheep and tying their legs together?,explicit,"laid them on the grass and clipped all the heavy, soft wool from their bodies",,,,"clipped all the heavy, soft wool",,
2,local,2,causal relationship,,Why did the sheep not like being cut?,explicit,The shears would sometimes pull their wool and hurt them.,They felt strange after having their wool cut off.,,,The shears would pull the wool and hurt them.,,
3,local,3,action,prediction,What will the the farmers do with the sheep's wool?,explicit,spin it into threads and make coats for the men and dresses for the women,,,,spin it into threads and make coats for the men and dresses for the women,,
4,local,4,character,,Who said they don't mind having their wool cut off?,explicit,Frisky,,,,Frisky,,
5,local,5,causal relationship,,Why did the ram stop speaking to the others?,explicit,Some of the sheep began to giggle and this made him so angry.,,,,He was angry.,,
6,local,5,feeling,,How did the Black Sheep feel about her wool keeping the farmer warm for the winter?,explicit,glad,,,,glad,,
7,local,6,causal relationship,,Why did the ram not answer the other sheep's question?,explicit,The ram was still angry.,,,,The ram was still angry.,,
8,local,6,character,,Who said 'good morning' to the Black Sheep?,explicit,the little boy,,,,the boy,,
9,local,6,causal relationship,,Why did the Black Sheep look funny?,explicit,They cut off his wool.,,,,They cut off his wool.,,
10,summary,"7,8,9,13,14",outcome resolution,,What happened when the little boy wished he had wool?,explicit,The Black Sheep gave him a bagful to make a new coat from.,,,,The Black Sheet began to grow wool.,,
11,local,9,action,,How did the Black Sheep try to grow the finest and heaviest fleece?,explicit,laid in the sunniest part of the pasture,drank from the clearest part of the brook,ate only the young and juicy shoots of grass and the tenderest of the sheep-sorrel,,"lay in the sunniest part of the pastures, and drank from the clearest part of the brook, and ate only the young and juicy shoots of grass and the tenderest of the sheep-sorrel.",,
12,local,10,action,,How did the little boy help the Black Sheep?,implicit,He brought the Black Sheep a handful of salt.,He fed the sheep some salt.,He begged his mother for some salt.,,ran to the house and begged his mother for a handful of salt,,
13,local,10,causal relationship,,Why did the ram try to grow as little wool as possible?,explicit,The farmer would cut it all off.,He was determined to give the farmer very little wool from his back.,,,The farmer would cut it all off.,,
14,local,11,action,,What did the Black Sheep think of the ram?,explicit,very ill-tempered and selfish,,,,very ill-tempered and selfish,,
15,local,11,action,,How many bags of wool did the Black Sheep make?,explicit,three,,,,three,,
16,local,14,feeling,,How did the Black Sheep feel when the little boy showed her the new clothes made from her wool?,explicit,proud,happy,,,proud,happy,
17,local,7,causal relationship,,Why did the little boy not have a coat?,explicit,His mamma was so poor.,,,,His mamma was so poor she could not buy him one.,,
18,summary,"8,9",causal relationship,,Why did the Black Sheep want to keep one bag of wool?,explicit,to give it to the little boy that lives in the lane,,,,The Black Sheep wanted to give it to the little boy that lives in the lane.,,
19,summary,"2,3,10",feeling,,How did the ram feel about the farmer taking his wool?,implicit,angry,upset,cross,,angry,,
20,summary,"1,2",causal relationship,,Why were none of the sheep in a very good temper that morning?,explicit,They felt very strange.,the shears would pulled the wool and hurt them,,,When they were sheared they felt very strange.,,
21,local,2,setting,,Where did the farmer carry their wool?,explicit,the house,,,,house,,
22,local,4,causal relationship,,Why did Frisky not mind having his wool cut off?,explicit,He sha'n't have to carry it around where he goes.,,,,It didn't have to carry it around wherever it went.,,
23,local,5,character,,How did the ram look without fur and because he was old and thin?,explicit,comical,,,,very comical,,
24,local,7,outcome resolution,,What happened because mamma is so poor?,implicit,She cannot buy the boy a new coat.,The boy does not have a coat.,She cannot afford a new coat.,,The boy needed a new coat very badly.,,
25,local,10,action,,What did the Black Sheep ask the little boy to bring?,explicit,salt,,,,a little salt,,
