question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,"Why did little Benjamin Bunny slide down the raod hopping, skipping, and jumping?",explicit,"to call upon his relations, who lived in the wood at the back of Mrs. McGregor's garden",,,,,,
2,local,2,action,,How did Old Mrs. Rabbit earn her living?,explicit,by knitting rabbit-wool mittens and muffetees,,,,,,
3,local,2,character,,What was Peter dressed in?,explicit,a red cotton pocket-handkerchief,,,,,,
4,local,3,causal relationship,,Why were Peter's clothes in Mr. McGregor's garden?,explicit,He had been chased about the garden and had dropped his shoes and coat.,,,,,,
5,local,4,causal relationship,,Why was Peter not hurt after falling own on his head?,explicit,The bed below was newly raked and quite soft. It had been sown with lettuces.,,,,,,
6,local,5,action,,What did Peter suggest as a present for his Aunt?,explicit,to fill the pocket-handkerchie with onions,,,,,,
7,local,7,action,,What did Little Benjamin and Peter do when they heard the noises?,implicit,They hid themselves and the onions underneath a large basket.,They hid under a large basket.,,,,,
8,local,7,action,,How long did the cat sit at the top of the basket?,explicit,for five hours,,,,,,
9,local,8,causal relationship,,Why was Mr. Benjamin Bunny prancing along the top of the wall of the upper terrace?,explicit,He was looking for his son.,,,,,,
10,local,9,action,,What did old Mr. Bunny do when he had driven the cat into the green-house?,implicit,He locked the door and whipped his son Benjamin.,"Then he took out his newphew Peter. Then he took out the handkerchief of onions, and marched out of the garden.",,,,,
11,local,10,causal relationship,,Why did Peter's mother forgive him?,explicit,because she was so glad to see that he had found his shoes and coat,,,,,,
12,local,10,action,,What did old Mrs. Rabbit do with the onions?,explicit,"Old Mrs. Rabbit strung up the onions and hung them rom the kitchen ceiling, with the rabbit-tobacco.",,,,,,
