question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did the peasant boy dream?,explicit,"that he would get a princess, from far, far away, and tat she was as white as milk, and as red as blood, and so rich that her riches had no end",,,,,,
2,local,1,causal relationship,,Why did the peasant sell all he had and go forth to look for the princess?,explicit,She was so beautiful and winning that he could not go on living without her.,,,,,,
3,local,1,feeling,,How did the whole congregation feel about the dead man?,implicit,disgust,dislike,hatred,,,,
4,local,1,action,outcome resolution,What did the people do because the man was a great evil-doer?,explicit,split at it,,,,,,
5,local,2,feeling,,How did the youth feel about the people's treatment of the corpse?,implicit,dislike,disapproval,,,,,
6,local,2,outcome resolution,,What happened because money would be needed to bury the corpse?,implicit,The corpse could not be properly buried.,The man could not rest in peace.,He could not be granted a Christian burial.,,,,
7,local,3,causal relationship,,Why did the pastor agree to bury the corpse?,explicit,"The youth returned with two men, and asked him in their presence whether he refused the dead man Christian burial.",,,,,,
8,local,3,causal relationship,,"Why would no one want to pay all that money to bury the corpse, according to the pastor?",implicit,The man was an arrant sinner.,The man was not a good person.,,,,,
9,local,4,outcome resolution,,What happened after the youth had paid for the wake?,explicit,He had but a few shillings left in his pocket.,,,,,,
10,local,4,action,,What did the man do after he came up behind the youth?,explicit,asked him whether he did not find it tiresome to wander along all alone,,,,,,
11,local,5,causal relationship,,Why did the youth not find it tiresome to wander alone?,explicit,He always had something to think about.,,,,,,
12,local,5,action,,What did the man offer to be because the youth did not want a servant?,explicit,his comrade,,,,,,
13,local,5,prediction,feeling,How will the youth feel about having a comrade?,implicit,happy,content,satisfied,,,,
14,summary,"5,6",causal relationship,,Why was the youth glad to have the man as a comrade?,implicit,The youth would have company.,The youth did not have to pay the man.,The man traveled at his own expense.,,,,
15,local,6,character,,Who met the youth and his comrade inside the hill?,explicit,a witch,,,,,,
16,local,6,prediction,outcome resolution,What will happen if the youth or comrade sit in the chair?,implicit,They will be tricked.,They will get stuck on the chair.,,,,,
17,local,7,outcome resolution,,What happened because the witch sat in the chair?,explicit,She remained seated.,,,,,,
18,local,7,action,,What did the comrade want in exchange for releasing the witch from the chair?,explicit,a sword that hung above the door,Three-Sisters Sword,,,,,
19,local,7,causal relationship,,Why did the witch not want to give the Three-Sisters Sword?,implicit,It was rare.,It was valuable.,It was important to her.,,,,
20,summary,"7,8",prediction,action,What will the comrade do when the witch offered them the chair to sit in?,implicit,tell the witch to sit in the chair,trick the witch into sitting in the chair,,,,,
21,local,9,action,,What was the comrade searching for in all the closets and drawers?,explicit,a ball of golden twine,Three-Sisters Ball,,,,,
22,local,9,feeling,,How did the witch feel when the comrade asked for the Three-Sisters Ball?,implicit,upset,unwilling,reluctant,,,,
23,local,9,causal relationship,,Why did the old witch agree to give up the hat?,explicit,She heard that she would have to sit there until the Day of Judgement if she did not give up the hat.,,,,,,
24,local,10,action,,How did the comrade and the youth reach the other side of the river?,implicit,used the golden twine to build a bridge,flung the ball of golden twine with such force that it bounded back several times,a bridge made from the golden twine,,,,
25,local,10,outcome resolution,,What would happen if the youth did not take the golden twine away quickly?,explicit,The three witches wpuld cross and tear them to pieces.,,,,,,
26,local,10,feeling,,How did the witches feel as they rushed up to the river after the youth and the comrade?,implicit,angry,upset,furious,,,,
27,local,11,character,,Who lives in the castle?,explicit,the princess of whom the youth dreamed,,,,,,
28,local,11,action,,How did the king and the princess treat the youth?,implicit,kindly,politely,well,,,,
29,local,11,action,,What was the first test given to the youth?,explicit,take the shears and keep them and give them back to the princess to-morrow at noon,,,,,,
30,local,12,action,,What did the princess do while she and the youth were laughing and joking?,explicit,secretly robbed him of the shears without his noticing,,,,,,
31,local,12,causal relationship,,Why did the youth not notice the princess stealing the shears?,implicit,He was not paying attention.,He was distracted by the laughing and joking.,He did not think the task was serious.,,,,
32,local,12,feeling,,How did the youth feel when he realized he lost the shears?,explicit,unhappy,,,,,,
33,local,12,prediction,action,What will the comrade do because the shears had gone missing?,implicit,help the youth get them back,get the shears back,,,,,
34,local,13,character,,What was special about the enormous goat?,explicit,fly through the air more swiftly than he could walk on level ground,,,,,,
35,local,13,causal relationship,,Why did the princess not see the comrade?,explicit,"The comrade put on the Three-Sisters Hat, which made him invisible.",,,,,,
36,local,13,setting,,Where did the princess tell the goat to take her?,explicit,to her dearest who waits for her in the hill,,,,,,
37,local,14,causal relationship,,Why did the princess not want to be with the new suitor?,implicit,She was in love with someone else.,She wanted none but the troll.,,,,,
38,local,14,prediction,outcome resolution,What will happen because the comrade saw where the troll had placed the shears?,implicit,He will take them back.,He will steal the shears.,,,,,
39,local,14,causal relationship,,Why did the princess give the shears to the troll?,implicit,so the suitor would not find them again,so the suitor wouldn't have them,so she would not have to marry the youth,,,,
40,local,14,feeling,,How did the princess and the troll feel about the plan to hide the shears?,implicit,excited,satisfied,satisfied,,,,
41,summary,"14,15",causal relationship,,Why was the princess haughty and snappish towards the youth?,implicit,She thought he did not have the shears.,She thought he failed the test.,,,,,
42,local,15,action,,What did the comrade do after the princess set out for home?,explicit,swung himself up in back again,,,,,,
43,local,15,prediction,feeling,How will the princess feel when the youth shows he has the shears?,implicit,surprised,shocked,frightened,,,,
44,local,16,action,,What was the second task given to the youth?,explicit,keep the princess' ball of twine for her and have it back by to-morrow noon,,,,,,
45,local,16,setting,,When was the princess able to steal the ball of gold twine?,explicit,while they ere in the midst of their merry play,,,,,,
46,local,17,character,,Who told the comrade when the princess rode to her dearest?,explicit,the goat,,,,,,
47,local,17,action,,What did the youth discover after he thrust his hand into the pocket?,explicit,There was no ball in it.,,,,,,
48,summary,"16,18",prediction,action,What will the princess give the troll?,explicit,the ball of gold twine,,,,,,
49,local,19,causal relationship,,Why did the troll think it was impossible for the youth to have the shears?,explicit,He had locked them up in a chest with three locks and thrust the key into his hollow tooth.,,,,,,
50,local,20,outcome resolution,,What happened after the princess threw the ball of gold twine into the flames?,explicit,"The comrade leaped forward and caught it, without being seen.",,,,,,
51,local,20,action,,What did the comrade do after retrieving the ball of twine and returning home?,implicit,gave the twine back to the youth,returned the ball of twine to the youth,,,,,
52,summary,"14,21",causal relationship,,Why did the princess give the youth a difficult test?,implicit,She did not want to marry him.,She did not want him to pass the test.,,,,,
53,local,21,action,,What did the comrade have the smith do?,explicit,weld an additional twenty-four pounds of iron on his sword,,,,,,
54,local,23,action,,What did the princess think was the reason for her thrashing?,explicit,the weather,,,,,,
55,summary,"22,23",action,,What was the real reason why the princess had been thrashed?,explicit,"The comrade kept giving the princess a cuff here, and a cuff there, until she had received a terrible drubbing.",,,,,,
56,local,23,feeling,,How did the princess feel about her thrashing?,implicit,upset,annoyed,bothered,,,,
57,local,24,causal relationship,,Why did the troll and the princess feel the youth would fail?,implicit,It would be hard to bring the head of the troll.,The youth will not be capable of bringing the head of the troll.,,,,,
58,local,25,outcome resolution,,What happened because the princess did not want to fly home alone?,explicit,The troll must accompany her.,,,,,,
59,local,25,action,,What did the comrade do once the door closed behind the princess?,explicit,hewed off the troll's head and went up with it to the youth's room,,,,,,
60,local,26,causal relationship,,Why was the princess merry as a lark?,implicit,She thought the youth would fail.,She did not think the youth would have the head of the troll.,,,,,
61,local,26,outcome resolution,,What happened because the youth had what the princess was thinking of?,explicit,She had to take the youth as she had promised.,The wedding was celebrated.,,,,,
62,local,27,action,,What did the comrade tell the youth to do on his wedding-night?,explicit,close his eyes and pretend to sleep,,,,,,
63,local,27,character,,What did the princess look like after her troll-skin disappeared?,explicit,She was lovelier than she had ever been before.,,,,,,
64,local,28,outcome resolution,,What happened because the comrade had brought all the valuables the troll had left to the castle?,explicit,The castle court-yard was so full they could scarcely get through.,,,,,,
65,local,28,causal relationship,,Why could the goats not fly?,explicit,They were loaded so heavily with gold and silver that they had to walk on the ground and were not strong enough to rise into the air.,,,,,,
66,local,28,feeling,,How did the youth feel when the comrade wanted to part?,implicit,reluctant,unwilling,unhappy,,,,
67,local,29,action,,What was promised to the comrade?,explicit,half of all that the youth may gain in the course of the next five years,,,,,,
68,local,30,action,,What did the youth and princess do the whole winter?,explicit,"went back and forth with the goats and his father's twelve horses, bringing all the gold and silver home",,,,,,
69,local,32,causal relationship,,Why did the comrade aid the youth?,explicit,"The youth had sacrificed all he had in order that he might have peace, and a burial in consecrated ground.",,,,,,
70,local,32,feeling,,How did the comrade feel towards the youth?,explicit,grateful,appreciation,happy,,,,
