question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the man live?,explicit,in a little cottage by the sea-shore,,,,,,
2,local,1,action,,How did the man make his living?,explicit,catching seals and selling their fur,,,,,,
3,local,1,action,,How did the man earn a good deal of money by catching seals?,explicit,It was not difficult to creep up behind them and kill them.,,,,,,
4,local,1,causal relationship,,Why was it not difficult to creep up behind the seals?,explicit,"These creatures used to come out of the sea in large numbers, and lie on the rocks near his house basking in the sunshine.",,,,,,
5,local,1,action,character,What did the country people call larger seals?,explicit,Roane,,,,,,
6,local,1,action,,What did the country people believe the larger seals were?,explicit,Mermen and Merwomen,,,,,,
7,local,2,causal relationship,,Why did the man want to catch the larger seals?,explicit,Their skins were so big that he got an extra price for them.,,,,,,
8,local,1,causal relationship,,Why did the Mermen and Merwomen assume a strange disguise?,explicit,to breathe the air,,,,,,
9,local,2,outcome resolution,,What happened after the man hurt the seal?,explicit,"The creature slipped off the rock into the sea, and disappeared under the water, carrying the knife along with it.",,,,,,
10,local,2,feeling,,How did the man feel after he lost his knife and the seal got away?,explicit,annoyed,,,,,,
11,local,2,action,,What did the man do after the seal escaped?,explicit,went home to dinner in a very downcast frame of mind,,,,,,
12,local,2,character,,Who was so tall and so strange-looking and who rode on such a gigantic horse?,explicit,a horseman,,,,,,
13,local,3,action,,What did the stranger do when he met the seal catcher?,explicit,asked him his trade,,,,,,
14,local,3,action,,What did the stranger do after he found out the man was a seal catcher?,explicit,ordered a great number of seal skins,,,,,,
15,local,3,feeling,,How did the seal catcher feel after the stranger made a large order?,explicit,delighted,,,,,,
16,local,3,causal relationship,,Why did the seal catcher feel delighted that the stranger made a large order?,explicit,an order meant a large sum of money to him.,,,,,,
17,local,3,feeling,,How did the seal catcher feel after the stranger wanted his order completed by that evening?,implicit,disappointed,sad,,,,,
18,local,3,causal relationship,,Why couldn't the seal catcher complete the order by that evening?,explicit,The seals would not come back to the rocks again until tomorrow morning.,,,,,,
19,local,3,action,,What did the stranger do after the seal catcher said he could not complete the order?,explicit,took him to a place where there were any number of seals,,,,,,
20,local,4,action,,What did the seal catcher do when the stranger offered to take him to a place with seals?,explicit,"agreed to this, and climbed up behind the rider",,,,,,
21,local,5,feeling,,How did the seal catcher feel when he did not see any seals?,implicit,surprised,astonished,,,,,
22,summary,"5, 6",prediction,feeling,How will the seal catcher feel after he believes will is about to befall on him?,explicit,frightened,,,,,,
23,summary,"5, 6",prediction,action,What will the stranger do so that the seal catcher will find seals?,implicit,push him into the sea,make him fall into the sea,,,,,
24,summary,"6, 7",outcome resolution,,What happened after the seal catcher was pushed into the sea?,explicit,"Instead of being choked by the water, he could breathe quite easily. He and his companion, who was still close at his side, seemed to be sinking as quickly down through the sea as they had flown through the air.",,,,,,
25,local,7,setting,,Where did the seal catcher and the stranger enter?,explicit,a huge hall,,,,,,
26,local,7,outcome resolution,,What happened after the seal catcher turned to his companion?,explicit,He had  assumed the form of a seal.,,,,,,
27,local,7,action,,What did he see when he caught sight of himself in the large mirror?,explicit,"saw that he also no longer bore the likeness of a man, but was transformed into a nice, hairy, brown seal",,,,,,
28,local,8,causal relationship,,Why were the seals sad?,implicit,A seal was injured.,The stranger's father was about to die.,,,,,
29,local,9,action,,What did the stranger give to the seal catcher?,explicit,his hunting-knife,,,,,,
30,local,9,feeling,,How did the seal catcher feel after he saw his hunting knife?,implicit,horrified,surprised,,,,,
31,local,9,action,,What did the seal catcher do after he saw the knife?,explicit,fell upon his face and begged for mercy,,,,,,
32,local,9,causal relationship,,Why did the seal catcher beg for mercy?,implicit,He believed that the seals were angry at him for harming his comrade.,He believed the seals wanted to take their revenge.,,,,,
33,local,9,outcome resolution,,What happened after the seal catcher begged for mercy?,explicit,"They crowded round him, rubbing their soft noses against his fur to show their sympathy, and implored him not to put himself about.",,,,,,
34,summary,"9, 10",prediction,action,What will the seals ask the seal catcher to do?,implicit,They will ask him for his help.,They will ask him to heal a seal.,,,,,
35,local,10,setting,,Where did the stranger lead the seal catcher?,explicit,in a smaller room,,,,,,
36,local,10,character,,"Who was lying on a bed of pale pink sea-weed, with a gaping wound in his side?",implicit,the guide's father,the stranger's father,,,,,
37,local,10,causal relationship,,Why did the stranger bring the seal catcher to his father?,implicit,The stranger wanted the seal catcher to heal his father.,The seal catcher needed to save the stanger's father.,,,,,
38,local,11,action,,What did the seal catcher do when the stranger asked him to heal his father?,explicit,"went over to the bed, and, stooping over the wounded Merman, washed and dressed the hurt as well as he could.",,,,,,
39,local,11,outcome resolution,,What happened when the seal catcher came to heal the stranger's father?,implicit,The old seal was better.,The old seal's wound closed.,,,,,
40,local,11,feeling,,How did the seals feel after the old seal was healed?,implicit,happy,glad,joyful,,,,
41,local,11,action,,What did the seals do after the old seal was healed?,explicit,"laughed, and they talked, and they embraced each other in their own strange way, crowding round their comrade. They rubbed their noses against his",,,,,,
42,local,11,causal relationship,,Why did the seals rub their noses again the old seal's nose?,implicit,They wanted to show him how delighted they were at his recovery.,They wanted to show how happy they were.,,,,,
43,local,11,feeling,,How did the seal catcher feel while he thought about his life as a seal?,implicit,worried,concerned,,,,,
44,summary,"11, 12",prediction,action,What will the stranger do after the seal catcher heals his father?,implicit,release him,take him back home,,,,,
45,local,12,action,,What did the seal catcher need to do before he could leave?,explicit,take a solemn oath never to wound a seal again,,,,,,
46,local,12,feeling,,How did the seal catcher feel after the stranger told him that he could leave?,explicit,overjoyed,,,,,,
47,local,13,causal relationship,,Why was there a sigh of relief after the words were spoken?,explicit,He was the most noted seal catcher in the North.,,,,,,
48,local,13,action,,What did the seal catcher do after he took the oath?,explicit,"bade the strange company farewell, and, accompanied by his guide",,,,,,
49,local,14,outcome resolution,,What happened after the stranger and the seal catcher left the water?,explicit,Their strange disguise dropped from them. They were now as they had been before.,,,,,,
50,local,15,action,,What did the stranger give to the seal catcher before he left?,explicit,a huge bag of gold,,,,,,
51,local,15,causal relationship,,Why did the stranger give the seal catcher gold?,implicit,The stranger took away his job.,The stranger wanted him to live a comfortable life.,,,,,
52,local,15,action,,What did the seal catcher do after the stranger vanished?,explicit,"carried the bag into his cottage, and turned the gold out on the table",,,,,,
