question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Which daughter was made to do all the work around the house?,explicit,the pretty one,,,,,,
2,local,1,causal relationship,,Why did she dip the spindle into the well?,implicit,to wash it,because it was bloody,to wash the blood off,,,,
3,local,1,feeling,,How did the step-mother feel when the girl told her about the spindle falling into the well?,implicit,angry,raging,,,,,
4,local,1,action,,What did the step-mother tell the girl to do after the spindle fell in?,explicit,go and fetch it out again,,,,,,
5,local,2,setting,,"When the girl came to herself, where was she?",explicit,in a beautiful meadow,,,,,,
6,local,2,action,,What did the bread ask her to do?,implicit,take it out of the oven,take  it out because it was already baked,,,,,
7,local,2,prediction,,What would the girl do next?,implicit,shake the tree,shake the apples out of the tree,,,,,
8,local,3,character,,Who was the woman in the house?,explicit,Mother Hulda,,,,,,
9,local,3,feeling,,How did the girl feel when she saw the old woman's teeth?,explicit,terrified,,,,,,
10,local,4,causal relationship,,Why did the girl want to go home?,implicit,because she missed it,because she was sad staying with Mother Hulda,,,,,
11,local,5,outcome resolution,,What fell when the girl walked through the door?,explicit,a shower of gold,,,,,,
12,local,5,action,,What did Mother Hulda return to the girl?,explicit,her spindle,,,,,,
13,summary,"6,7",action,,What did the ugly daughter do when the bread and apple tree asked for her help?,implicit,she kept walking,she didn't stop to help them,she kept going toward Mother Hulda's house,,,,
14,local,6,setting,,Where did the ugly daughter find herself when she jumped down the well?,explicit,in the beautiful meadow,,,,,,
15,summary,"6,7",causal relationship,,Why didn't the ugly daughter shake the apple tree?,implicit,she didn't want the apples to fall on her head,she worried one of them would fall on her head,the apples could fall on her head,,,,
16,summary,"7,8",causal relationship,,Why didn't Mother Hulda give the ugly daughter gold?,implicit,because she didn't help,because she was lazy,because she was not industrious,,,,
17,local,8,action,,What did the cock call the lazy girl?,explicit,dirty girl,,,,,,
