question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,feeling,What kind of parent was Mrs. Tabitha Twitchit?,implicit,an anxious one,anxious,,,,,
2,local,2,setting,action,What kind of things often disappeared at night?,explicit,cheese and bacon,,,,,,
3,local,2,causal relationship,,Why were Moppet and Mittens able to push open the cupboard?,explicit,The  door was not locked.,,,,,,
4,local,3,action,,Who knocked at the front door?,explicit,Mrs. Ribby,,,,,,
5,local,5,action,,Where in the house did Ribby and Tabitha search?,implicit,Ribby's umbrella,cupboards,clothes chest,,,,
6,local,5,outcome resolution,,What happened when Tabitha tried to jump upon the old father rat?,explicit,The old father rat showed his yellow teeth and whisked down the hold.,,,,,,
7,local,6,action,,Who stole the dough?,explicit,old woman rat,,,,,,
8,local,7,action,,Where was Mitthens hiding in?,explicit,an empty jar,,,,,,
9,local,7,character,,How did Mittens descrive the old man rat who stole a pat of butter and the rolling-pin?,explicit,"a dreadful, normous, bug rat",,,,,,
10,local,8,causal relationship,,Why did Tom Kitten hide?,explicit,He did not want to be shut up in a cupboard.,,,,,,
11,local,9,setting,,What was the chimney like?,explicit,a very old-fashioned one,It was built in the days when people burnt logs of wood upon the hearth.,,,,,
12,local,10,setting,,What was laid in the chimney?,explicit,mutton bones,,,,,,
13,local,11,action,,Where did Tom Kitten land after falling?,explicit,"a very small stuffy fusty room, with boards, and rafters, and cobwebs, and lath and plaster",,,,,,
14,local,12,action,,What three things are required to make a kittle dumplying roly-poly pudding?,explicit,"dough, a pat of butter, rolling-pin",,,,,,
15,local,12,causal relationship,,Why did Samuel Whiskers go to the dairy?,explicit,to get the butter,,,,,,
16,local,13,action,,What did Anna Maria do at the kitchen?,explicit,"She borrowed a small saucer, and scoope up the dough with her paws.",,,,,,
17,local,13,causal relationship,,Why was Tom Kitten mewing for help?,explicit,"His mouth was full of soot and cob-webts, and he was tied up in such very tight knots, he could not make anybody hear him.",,,,,,
18,local,14,action,,What did the rats want to make out of Tom Kitten?,explicit,a dumpling,,,,,,
19,local,15,action,,What is hidden in the chimney?,explicit,half a smoked ham,,,,,,
20,local,16,causal relationship,,What did John Joiner regret?,explicit,"He regretted that he had not time to stay to dinner because he had just finished making a wheel-barrow for Miss Potter, and she had ordered two hen-coops.",,,,,,
21,local,17,action,,What did Farmer Potatoes' barn?,explicit,"They eat up the chicken food, and steal the oats and bran, and make holes in the meal bags.",,,,,,
22,local,17,causal relationship,,Why do Moppet and Mittens hang up the rats' tails at the barn door?,explicit,to show how many they have caught,,,,,,
