question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,2,character,,Who was a master swordsman standing midway between those of the first and of the second order?,explicit,Old Dragonbeard,,,explicit,Old Dragonbeard,,
2,local,2,character,,Who was a sword hero?,explicit,Molo,,,explicit,Molo,,
3,local,1,causal relationship,,Why was death an everyday matter to the swordsmen of the lowest sort?,explicit,They hired themselves out to those who wished to do away with their enemies.,,,explicit,They hired themselves out to those who wished to do away with their enemies,,
4,local,2,character,,"Who was young, handsome, and gifted?",explicit,Tsui,,,explicit,Tsui,,
5,local,2,action,,What did the girls do when Tsui came into the prince's palace?,explicit,"piled rosy peaches into a golden bowl, poured sugar over them and presented them to him",,,explicit,"piled rosy peaches into a golden bowl, oured sugar over them and presented them to him",,
6,local,2,setting,,Where did Tsui go when he went to carry out his father's instructions?,explicit,the prince's palace,,,explicit,The prince's palace,,
7,local,2,action,,What did Rose-Red do when she met Tsui?,explicit,smiled at him and made signs with her fingers,,,explicit,smiled at him and made signs with her fingers,,
8,local,3,feeling,,How did Tsui feel after meeting Rose-Red?,implicit,confused,puzzled,,implicit,Sad,,
9,local,3,action,,What did Tsui do after Molo asked what was troubling him?,explicit,"told him what had occurred, and also mentioned the signs the girl had made to him in secret",,,explicit,told him what had occurred,,
10,local,4,causal relationship,,Why did Tsui grow sad again?,implicit,He thought that it would not be possible to go into the prince's palace to meet Rose-Red.,It would be difficult to enter the prince's palace.,,explicit,the prince's palace is shut off as thought by an ocean,,
11,local,5,action,,What did Molo need to do to help Tsui meet the slave girl?,implicit,kill the wild dog on guard at the girl's court,,,implicit,carry Tsui there,Kill a guard dog,
12,summary,"5, 6",prediction,action,What will Tsui and Molo do after the wild dog is killed?,implicit,meet Rose Red,enter the palace,,implicit,go into the prince's palace,save Rose-Red,
13,local,6,causal relationship,,Why did Rose-Red believe that Tsui was intelligent?,explicit,He understood her sign language.,,,implicit,she thinks he understood her sign language,,
14,summary,"6, 7, 8",prediction,action,What will Rose-Red do when she finds out that Molo understands her sign language?,explicit,ask him to save her in her distress,,,implicit,ask him for help,offer to serve Tsui,
15,summary,"8, 9",prediction,action,How will Molo save Rose-Red?,explicit,"take his master and Rose-Red upon his back, and fly away with them over the steep walls",,,explicit,"He took his master and Rose-Red upon his back, and flew away with them over the steep walls.",,
16,local,9,action,,What did the prince do when he found out his slave was gone and his dog was killed?,explicit,gave strict orders that the matter should not be mentioned,ordered that investigations would be made in secret,,explicit,"He gave stricht orders that the matter should not be mentioned, and that investigations should be made in secret",,
17,local,10,action,,How did the prince find out where Rose-Red was?,explicit,"One of the prince's servants saw her, and informed the prince.",,,explicit,"one of the prince's servants saw her, and informed his master",,
18,local,10,causal relationship,,Why did Tsui tell the prince the whole story exactly as it had happened?,explicit,He could not conceal the matter.,,,explicit,he could not conceal the matter,,
19,local,10,causal relationship,,Why did the prince let the whole matter rest?,explicit,She was now Tsui's wife.,,,explicit,she is now Tsui's wife,,
20,summary,"10, 11",prediction,action,What will Molo do when the prince wants to capture him?,explicit,draw his dagger and fly up the high wall,,,implicit,he will run away,,
21,local,11,character,,How did Molo look when he flew up the high wall?,explicit,like a hawk,,,explicit,like a hawk,,
22,local,11,action,,What did Molo do after he escaped?,explicit,sold medicine,,,explicit,he was selling medicine,,
