question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,"Where did Caro, Bravo, and Putte live?",explicit,"Caro lived in the dog house, Bravo in the stable, Putte with the stableman.",,,,,,
2,local,1,setting,,Where did Kuckeliku live?,explicit,in the hen house,,,,,,
3,local,2,character,,How old was Walter?,explicit,six years old,,,,,,
4,local,2,action,,What couldn't Walter do?,explicit,read,,,,,,
5,local,2,character,action,How was Walter brave?,explicit,hunted wolves,,,,,,
6,local,2,character,,Who did Walter wrestle with?,explicit,Klas Bogenstrom or Frithiof Waderfelt,,,,,,
7,local,2,causal relationship,,Why was Walter pleased?,explicit,heard that there were a great many wolves in the wood,,,,,,
8,local,3,action,,How did Walter prepare for a real wolf hunt?,explicit,"took with him his drum, and his tin sabre",,,,,,
9,local,3,action,,What did Walter arm himself with for the wolf hunt?,explicit,"his pop-gun, his bow, and his air-pistol",,,,,,
10,local,3,causal relationship,,Why did Walter have a red cock's feather to put in his cap?,explicit,to make himself look fierce,,,,,,
11,local,3,causal relationship,,Why was Walter's tin sabre a little broken?,explicit,He had with incredible courage fought his way through a whole unfriendly army of gooseberry bushes.,,,,,,
12,local,3,causal relationship,,Why did Walter's drum have holes in one end?,explicit,He had climbed up on it to reach a cluster of rowan berries.,,,,,,
13,local,4,causal relationship,,Why was it a good thing that Jonas was going with corn to the mill?,explicit,Walter got a seat on the load.,,,,,,
14,local,4,setting,,Where did Walter and Jonas go?,explicit,the wood,,,,,,
15,local,4,action,,What did Walter do after they came into the wood?,explicit,looked cautiously around him to see perchance there was a wolf in the bushes,,,,,,
16,local,4,causal relationship,,Why did Walter start beating his drum?,implicit,Jonas said wolves were scared of a drum.,Jonas told him wolves were afraid of a drum.,,,,,
17,local,4,action,,What did Walter ask Jonas when they came to the mill?,explicit,if there had been any wolves in the neighbourhood lately,,,,,,
18,local,5,action,,What did the wolves eat last night?,explicit,their fattest ram,,,,,,
19,local,5,causal relationship,,Why did Walter ask if there were many wolves?,implicit,He did not know if he should take Jonas with him.,He needed to know if he needed Jonas with him.,,,,,
