question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What was also called All Hallows' Eve?,explicit,the Eve of Samhain,,,,,,
2,local,1,character,,Who were the chiefs and mighty men with?,explicit,"the King of Ireland, Conn, the Hundred-Fighter",,,,,,
3,local,1,setting,,Where did the king sit at supper?,explicit,in his palace at Tara,,,,,,
4,local,1,character,,Who was the king's only son?,explicit,Art the Solitary,,,,,,
5,local,1,causal relationship,,Why was Art the Solitary called so?,explicit,He had no brothers.,,,,,,
6,local,1,character,,Who kept Finn out of his rights?,explicit,the sons of Morna,,,,,,
7,local,1,character,,Who was captain of all the Fians?,explicit,Gaul mac Morna,,,,,,
8,local,1,causal relationship,,"What caused the vessels of gold, silver, and bronze to shine?",explicit,a thousand wax candles,,,,,,
9,local,1,feeling,,How did the warriors feel?,explicit,sad,,,,,,
10,local,1,action,,What hung over Conn's head?,explicit,a canopy of bright bronze,,,,,,
11,local,2,action,,What did the men hear?,explicit,a low sound like thunder,,,,,,
12,local,2,causal relationship,,Why was every face pale?,explicit,"They distinctly heard a footfall like the slow, deliberate tread of a giant.",,,,,,
13,local,2,character,,Who was coming before his time?,explicit,the man who is to conquer Midna,,,,,,
14,local,2,outcome resolution,,What happened after they heard voices?,explicit,A strange figure entered the chamber.,,,,,,
15,local,2,character,,Who was the stranger?,explicit,Finn,,,,,,
16,local,3,action,,What did the attendant do to the youth?,explicit,took his weapons,,,,,,
17,local,4,causal relationship,,What was the cause of shame?,explicit,"This annual building of Tara, only to be annually consumed.",,,,,,
18,local,4,setting,,Where did the enchanter live?,explicit,in the haunted mountains of lieve Guillon in the north,,,,,,
19,local,4,character,,Who was the enchanter?,explicit,"Allen, son of Midna",,,,,,
20,local,4,action,,What did Allen do every year?,explicit,burn Tara,,,,,,
21,local,4,action,,How did Allen burn Tara?,explicit,"He standeth over against the city and shoots balls of fire out of his mouth against it, till it is consumed.",,,,,,
22,local,4,action,,What could Finn do if a person was at the point of death?,explicit,restore him to life and health,,,,,,
23,local,4,action,,How could Finn restore people at the point of death?,explicit,There were marvellous powers of life-giving in his two hands,,,,,,
24,local,5,action,,What did the son of Midna play on his instruments?,explicit,fairy music,,,,,,
25,local,5,outcome resolution,,What happened to the soldiers after they heard the fairy music?,explicit,All subsided upon the grass in deep slumber.,,,,,,
26,local,5,feeling,,How did the king feel being unable to defend Tara?,explicit,shame,,,,,,
27,local,5,character,,Who have been sent out of Tara?,explicit,all the women and children,,,,,,
28,summary,"5,6",action,prediction,What will be the reward if Finn defeats Allen and saves Tara?,explicit,"Art and Gaul mac Morna and the Chief of the Fians.""",,,,,,
29,local,6,outcome resolution,,What did Finn do after washing his face?,explicit,took from the bag that was at his girdle the instruments of divination and magic,,,,,,
30,local,6,character,,Who was the original owner of the girdle and instruments of divination and magic?,explicit,his father,,,,,,
