document_id,text
the-little-spirit-or-boy-man,"In a little lodge at a beautiful spot on a lake shore, alone with his sister, lived a boy remarkable for the smallness of his stature."
the-little-spirit-or-boy-man,"Many large rocks were scattered around their habitation, and it had a very wild and out-of-the-way look."
the-little-spirit-or-boy-man,The boy grew no larger as he advanced in years.
the-little-spirit-or-boy-man,"Yet, small as he was, he had a big spirit of his own, and loved dearly to play the master in the lodge."
the-little-spirit-or-boy-man,One day in winter he told his sister to make him a ball to play with.
the-little-spirit-or-boy-man,He meant to have some sport along the shore on the clear ice.
the-little-spirit-or-boy-man,"When she handed him the ball, his sister cautioned him not to go too far."
the-little-spirit-or-boy-man,"He laughed at her, and ran off in high glee, throwing his ball before him and running after it at full speed."
the-little-spirit-or-boy-man,He went as fast as his ball.
the-little-spirit-or-boy-man,At last his ball flew to a great distance.
the-little-spirit-or-boy-man,He followed as fast as he could.
the-little-spirit-or-boy-man,"After he had run forward for some time, he saw what seemed four dark spots upon the ice, straight before him."
the-little-spirit-or-boy-man,"When he came up to the shore he was surprised to see four large, tall men, lying on the ice, spearing fish."
the-little-spirit-or-boy-man,"They were four brothers, who looked exactly alike."
the-little-spirit-or-boy-man,"As the little boy-man approached them, the nearest looked up."
the-little-spirit-or-boy-man,In his turn he was surprised to see such a tiny being.
the-little-spirit-or-boy-man,"Turning to his brothers, he said: ""Tia! look! see what a little fellow is here."""
the-little-spirit-or-boy-man,The three others then looked up too.
the-little-spirit-or-boy-man,"Seeing these four faces, as if they had been one, the little spirit or boy-man said to himself: ""Four in one! What a time they must have in choosing their hunting-shirts!"""
the-little-spirit-or-boy-man,"After they had all stared for a moment at the boy, they covered their heads, intent in searching for fish."
the-little-spirit-or-boy-man,"The boy thought to himself: ""These four-faces fancy that I am to be put off without notice because I am so little. They are so broad and long. They shall find out. I may find a way to teach them that I am not to be treated so lightly."""
the-little-spirit-or-boy-man,"After they were covered up, the boy-man, looking sharply about, saw that among them they had caught one large trout, which was lying just by their side."
the-little-spirit-or-boy-man,"Stealing along, he slyly seized it."
the-little-spirit-or-boy-man,"Placing his fingers in the gills, and tossing his ball before him, he ran off at full speed."
the-little-spirit-or-boy-man,They heard the pattering of his little steps upon the ice.
the-little-spirit-or-boy-man,"When the four looked up all together, they saw their fine trout sliding away, as if of itself, at a great rate, the boy being so small that he could not be distinguished from the fish."
the-little-spirit-or-boy-man,"""See!"""
the-little-spirit-or-boy-man,"they cried out, ""our fish is running away on the dry land!"""
the-little-spirit-or-boy-man,"When they stood up they could just see, over the fish's head, that it was the boy-man who was carrying it off."
the-little-spirit-or-boy-man,"The little spirit reached the lodge, and having left the trout at the door, he told his sister to go out and bring in the fish he had brought home."
the-little-spirit-or-boy-man,"She exclaimed, ""Where could you have got it? I hope you have not stolen it."""
the-little-spirit-or-boy-man,"""Oh,"" he replied, ""I found it on the ice. It was caught in our lake. Have we no right to a little lake of our own? I shall claim all the fish that come out of its waters."""
the-little-spirit-or-boy-man,"""How,"" the sister asked again, ""could you have got it there?"""
the-little-spirit-or-boy-man,"""No matter,"" said the boy; ""go and cook it."""
the-little-spirit-or-boy-man,It was as much as the girl could do to drag the great trout within doors.
the-little-spirit-or-boy-man,"She cooked it, and its flavor was so delicious that she asked no more questions as to how he had come by it."
the-little-spirit-or-boy-man,The next morning the little spirit or boy-man set off as he had the day before.
the-little-spirit-or-boy-man,He made all sorts of sport with his ball as he frolicked along.
the-little-spirit-or-boy-man,"High over his head he would toss it, straight up into the air; then far before him."
the-little-spirit-or-boy-man,"And again, in mere merriment of spirit, he would send it bounding back, as if he had plenty of speed and enough to spare in running back after it."
the-little-spirit-or-boy-man,"The ball leaped and bounded about, and glided through the air as if it were a live thing, and enjoyed the sport as much as the boy-man himself."
the-little-spirit-or-boy-man,"When he came within hail of the four large men, who were fishing there every day, he cast his ball with such force that it rolled into the ice-hole about which they were busy."
the-little-spirit-or-boy-man,"The boy, standing on the shore of the lake, called out: ""Four-in-one, pray hand me my ball."""
the-little-spirit-or-boy-man,"""No, indeed,"" they answered, setting up a grim laugh which curdled their four dark faces all at once, ""we shall not."""
the-little-spirit-or-boy-man,With their fishing-spears they thrust the ball under the ice.
the-little-spirit-or-boy-man,"""Good!"" said the boy-man, ""we shall see."""
the-little-spirit-or-boy-man,Saying which he rushed upon the four brothers and thrust them at one push into the water.
the-little-spirit-or-boy-man,"His ball bounded back to the surface, and, picking it up, he ran off, tossing it before him in his own sportive way."
the-little-spirit-or-boy-man,"Outstripping it in speed he soon reached home, and remained within till the next morning."
the-little-spirit-or-boy-man,"The four brothers, rising up from the water at the same time, dripping and angry, roared out in one voice a terrible threat of vengeance, which they promised to execute the next day."
the-little-spirit-or-boy-man,"They knew the boy's speed, and that they could by no means overtake him."
the-little-spirit-or-boy-man,"By times in the morning, the four brothers were stirring in their lodge, and getting ready to look after their revenge."
the-little-spirit-or-boy-man,"Their old mother, who lived with them, begged them not to go."
the-little-spirit-or-boy-man,"""Better,"" said she, ""now that your clothes are dry, to think no more of the ducking than to go and all four of you get your heads broken, as you surely will. That boy is a monedo or he could not perform such feats as he does."""
the-little-spirit-or-boy-man,But her sons paid no heed to this wise advice.
the-little-spirit-or-boy-man,"Raising a great war-cry, which frightened the birds overhead nearly out of their feathers, they started for the boy's lodge among the rocks."
the-little-spirit-or-boy-man,"The little spirit or boy-man heard them roaring forth their threats as they approached, but he did not appear to be disquieted in the least."
the-little-spirit-or-boy-man,His sister as yet had heard nothing.
the-little-spirit-or-boy-man,"After a while she thought she could distinguish the noise of snow-shoes on the snow, at a distance, but rapidly advancing."
