document_id,text
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"ONCE upon a time there was a peasant who had a wheat-field, which was trampled down every Saturday night."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"Now the peasant had three sons, and he told each one of them to spend a Saturday night in the field, and to watch and see who trampled it down."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,The oldest was to make the first trial.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"So he lay down by the upper ridge of the field, and after he had lain there a while he fell asleep."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"The following morning the whole field had been trampled down, and the young fellow was unable to tell how it had happened."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,Now the second son was to make the attempt; but he had the same experience.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"After he had lain a while he fell asleep, and in the morning he was unable to tell how the field had come to be trampled down."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,Now it was the turn of John by the Ashes.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"He did not lie down by the upper ridge of the field; but lower down, and stayed awake."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"After he had lain there a while, three doves came flying along."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"They settled in the field, and that very moment shook off all their feathers, and turned into the most beautiful maidens one might wish to see."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"They danced with each other over the whole field; and while they did so, the young fellow gathered up all their feathers."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"Toward morning they wanted to put on their feathers again, but could not find them anywhere."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"Then they were frightened, and wept and searched and searched and wept."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"Finally, they discovered the young fellow, and begged him to give them back their feathers."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""But why do you dance in our wheat-field?"" said the young fellow."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""Alas, it is not our fault,"" said the maidens."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""The troll who has enchanted us sends us here every Saturday night to trample the field. But now give us our feathers, for morning is near."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,And they begged for them in the sweetest way.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""I do not know about that,"" said the young fellow, ""you have trampled down the field so very badly; perhaps if I might choose and have one of you?"""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""That would please us,"" returned the maidens, ""but it would not be possible; for three trolls guard us, one with three, one with six and one with nine heads, and they kill all who come to the mountain."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"But the young fellow said that one of them pleased him so very much that he would make the attempt, in spite of what they had told him."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"So he chose the middle one, for she seemed the most beautiful to him, and she gave him a ring and put it on his finger."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"And then the maidens at once put on their garments of dove feathers, and flew back across forest and hill."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"When the young fellow returned home, he told what he had seen."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""And now I must set out and try my luck,"" said he."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""I do not know whether I will return, but I must make the venture."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""O John, John by the Ashes!"" said his brothers, and laughed at him."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""Well, it makes no difference, even though I am worthless,"" said John by the Ashes."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""I must try my luck."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,So the young fellow set out to wander to the place where the maidens lived.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"They had told him it was farther south than south, and farther north than north, in the great hill of gold."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"After he had gone a while, he met two poor lads who were quarreling with each other about a pair of old shoes and a bamboo cane, which their mother had left them."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"The young fellow said it was not worth quarreling about such things, and that he had better shoes and better canes at home."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""You cannot say that,"" returned the brothers, ""for whoever has these shoes on can cover a thousand miles in a single step, and whatever is touched with this cane must die at once."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,The young fellow went on to ask whether they would sell the things.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,They said that they ought to get a great deal for them.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""But what you say of them is not true at all,"" the young fellow replied."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""Yes, indeed, it is absolutely true,"" they answered."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""Just let me see whether the boots will fit me,"" said the young fellow."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,So they let him try them on.
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"But no sooner did the young fellow have the boots on his feet, and the cane in his hand, than he took a step and off he was, a thousand miles away."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"A little later he met two young fellows who were quarreling over an old fiddle, which had been left them."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""Now is that worth while doing?"" said the young fellow."
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""I have a brand-new fiddle at home."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""But I doubt if it has such a tone as ours,"" said one of the youths, ""for if some one is dead, and you play this fiddle, he will come to life again."""
farther-south-than-south-and-farther-north-than-north-and-in-great-hill-of-gold,"""That really is a good deal,"" said the young fellow."
