question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who had two sons?,explicit,a rich old man,,,,,,
2,local,1,character,,"Who lived with the old man, and helped him to look after his property?",explicit,the elder,,,,,,
3,local,1,action,,What did the young man's father do at the end of the week?,explicit,"counted up the money they had made, and rubbed his hands with delight",,,,,,
4,local,1,causal relationship,,Why was the young man's father delighted?,explicit,He saw how big the pile of gold in the strong iron chest was becoming.,,,,,,
5,local,1,causal relationship,,Why did the young man's father want to buy a bigger chest?,implicit,The chest was going to be full soon.,The chest would not fit all of their money soon.,,,,,
6,local,1,setting,,Where did the old man go to one day?,explicit,to the city,,,,,,
7,local,1,character,,Who came up to the old man for a gossip?,explicit,the landlady,,,,,,
8,summary,"1,2",feeling,,How did the old man feel after the landlady asked about his daughter-in-law?,implicit,confused,puzzled,,,,,
9,summary,"1,2",causal relationship,,Why was the old man confused after the landlady asked about his daughter-in-law?,implicit,He did not have a daughter-in-law.,He did not know anyone who got married.,,,,,
10,local,2,feeling,,How did the landlady feel after the old man denied the rumors?,implicit,alarmed,embarrassed,,,,,
11,local,3,character,,Who was the prettiest girl in the whole country side?,explicit,Miguel's daughter,,,,,,
12,local,3,action,,What did the old man's handsome son do every week?,explicit,buying or selling,,,,,,
13,local,3,action,,What did the son and Miguel's daughter do one fine morning?,explicit,"went to the little church on top of the hill, and were married",,,,,,
14,local,4,feeling,,How did the old man feel after he found out his son deceived him?,explicit,angry,mad,furious,,,,
15,local,5,causal relationship,,Why didn't the son tell his father about his wife?,implicit,She was poor.,She was not rich.,,,,,
16,local,4,setting,,Where did the son go after his father kicked him out?,explicit,in a cave on the side of his hill,,,,,,
17,local,4,feeling,,How did the son feel after his father kicked him out?,implicit,sad,disappointed,upset,,,,
18,summary,"1,2",action,causal relationship,How did the old man find out about his son's wife?,implicit,heard from the landlady,asked the landlady to explain more,,,,,
19,local,5,causal relationship,,Why did the son always put off telling his father about his wife?,explicit,"hoping always for a better opportunity, and now this was the end",,,,,,
20,local,5,action,,What did the old man do as soon as the sun rose?,explicit,sent a messenger into the great city with orders to bring back the younger brother,,,,,,
21,local,5,causal relationship,,Why did the old man bring back the younger brother?,explicit,"informed him that he was now his only heir, and would inherit all his lands and money, and that he was to come and live at home, and to help manage the property",,,,,,
22,local,5,causal relationship,,Why was the younger brother very pleased at the thought of becoming such a rich man?,explicit,The brothers had never cared much for each other.,,,,,,
23,local,5,causal relationship,,Why would the younger brother rather have stayed where he was?,explicit,"He soon got tired of the country, and longed for a town life.",,,,,,
24,local,5,prediction,feeling,How will the younger brother feel after he finds out that he is the heir?,explicit,very pleased,,,,,,
