question_id,local-or-sum,cor_section,ex-or-im1,attribute1,attribute2,question,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,explicit,setting,,Where did Waupee live?,in a remote part of the forest where animals abounded,,,,,,
2,local,1,explicit,causal relationship,,Why did Waupee return from the chase with a large spoil?,He was one of the most skillful and lucky hunters of his tribe.,,,,,,
3,local,2,explicit,action,,What did Waupee come across after walking for some time without a path?,a ring,,,,,,
4,local,2,explicit,causal relationship,,Why was it strange to find a rind worn among the grass and flowers?,There was no path which led to this flowery circle.,no sign of people in the area,no footsteps,,,,
5,local,2,explicit,character,,Who appeared out of the basket?,twelve sisters,,,,,,
6,summary,"2,3",explicit,outcome resolution,,What happened after the sisters discovered Waupee?,"The sisters leaped back into the basket, and were drawn up into the sky.",,,,,,
7,local,3,explicit,character,,Who was the White Hawk most pleased with?,the youngest,,,,,,
8,local,3,explicit,causal relationship,,Why was looking at the sky painful to White Hawk now?,It had withdrawn from his sight the only being he had ever loved.,,,,,,
9,local,4,explicit,feeling,,How did Waupee feel when the casted off his disguise?,sorrowful,,,,,,
10,local,4,explicit,action,,What did Waupee do to deceive the sisters?,"assumed the form of an opossum, and sat among the grass as if he were there engaged in chewing the cud",,,,,,
11,local,4,explicit,action,,What did the sisters do when Waupee crept slowly towards the ring?,"caught sight of him they were startled, and sprang into their car",,,,,,
12,local,5,explicit,causal relationship,,Why did Waupee turn into a mouse?,was so pleased with their tidy little forms,"They were by no means formidable to look at, and would not be at all likely to create alarm.",,,,,
13,local,5,explicit,action,,How did Waupee keep his attention to the sisters?,"kept one eye up toward the sky, and one ear wide open in the same direction",,,,,,
14,local,6,explicit,causal relationship,,Why was the younger sister suspicious of the stump?,That stump was not there before.,,,,,,
15,local,6,explicit,action,,What did Waupee do just as the younger sister raised a silver stick?,"The form of the White Hawk arose, and he clasped his prize in his arms.",,,,,,
16,local,7,explicit,character,,Who was Waupee's wife?,the daughter of one of the stars,,,,,,
17,local,7,explicit,action,,What did White Hawk's wife do while he was engaged in the chase?,constructed a wicker basket,collected food and trinkets,,,,,
18,local,8,explicit,outcome resolution,,What happened after Waupee's wife commenced her magical song?,The basket rose.,,,,,,
19,local,8,explicit,causal relationship,,Why did Waupee instantly run to the prairie?,heard a voice which he well knew,,,,,,
20,local,8,implicit,feeling,prediction,How will Waupee feel when the basket vanished in the sky?,miserable,sad,unhappy,,,,
21,local,8,explicit,causal relationship,,Why did Waupee miss his son more than his wife?,The boy had both the mother's beauty and the father's strength.,,,,,,
22,local,9,explicit,action,,What did the grandfather tell his daughter to ask Waupee to bring?,a specimen of each kind of bird and animal he kills in the chase,,,,,,
23,local,9,explicit,action,,What did Waupee preserve from each animal and bird?,"a foot, a wing, or a tail of each",,,,,,
24,local,9,explicit,setting,,Where was Waupee's favorite spot?,the hill-top,the old lodge,the stream,,,,
25,local,10,explicit,outcome resolution,,What happened to those that selected tails or claws?,"changed into animals, and ran off",,,,,,
26,local,10,explicit,action,,"What did Waupee, his wife, and his son become?",white hawks,,,,,,
27,local,9,implicit,causal relationship,,Why was the magic circle of  Waupee's favorite spots?,was where he met his wife,was where he flew to heaven,was a beautiful place,,,,
28,local,3,implicit,causal relationship,,Why did the twelve sisters leap back into the basket?,White Hawk scared them.,They were afraid of getting hurt.,They wanted to go back to the skies.,,,,
29,summary,"2,3,4",implicit,prediction,feeling,How will White Hawk feel when the twelve sisters draw up into the sky?,sad,lonely,unloved,,,,
30,local,5,implicit,prediction,,What will happen if the sisters catch Waupee a third time?,The sisters will ascend to the sky.,The sisters will never return to earth.,The sisters will punish White Hawk.,,,,
31,local,5,implicit,causal relationship,,Why did Waupee keep his sharp little eyes busy with the other mice?,to pretend to be a real mouse,to not scare the sisters,to appear non-threatening,,,,
32,local,6,implicit,prediction,feeling,How will the younger sister feel when White Hawk clasps her?,scared,terrified,horrified,,,,
33,local,7,implicit,causal relationship,,Why did the wife not want to tell White Hawk she missed her father?,did not want to make White Hawk upset,wanted to sneak away,wanted to stay with her husband and son,,,,
34,local,9,implicit,causal relationship,,Why did the wife's father want his son-in-law to bring samples of his hunt?,to prove his skills,to provide food for a feast,to have a token of the earth,,,,
