question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What type of person was the woman's son?,explicit,lazy and slow,,,,,,
2,local,1,outcome resolution,,What happened because the son was so lazy and slow?,explicit,There was not a single blessed useful thing he would do.,,,,,,
3,local,1,feeling,,How did the woman feel about her son singing and dancing?,implicit,unhappy,discontent,upset,,,,
4,local,1,outcome resolution,,What happened to the son's clothes when he skipped and danced?,implicit,ripped,dirtied,fell apart,,,,
5,local,1,causal relationship,,Why did the son want to marry the daughter of the mother in the corner?,explicit,"He would live happily ever after, and could sing and dance, and would not have to plague himself with work.",,,,,,
6,local,2,causal relationship,,Why did the mother dress the youth as well as she could?,explicit,He would make a good showing when he came to the mother in the corner.,,,,,,
7,summary,"1,2",causal relationship,,Why did the mother think the youth's idea was not a bad idea?,implicit,She could not afford to care for him anymore.,She wanted him to do something with his life.,She could not stand his laziness anymore.,,,,
8,local,2,action,,What did the youth do as he made his way to the mother in the corner?,explicit,sang and danced,,,,,,
9,local,2,outcome resolution,,What happened when the youth set foot on the clump of grass?,explicit,"He went down and down until he was standing in a dark, ugly hole.",,,,,,
10,local,2,action,,What was the rat doing when the youth saw her?,explicit,wiggling and waggling around and had a bunch of keys hanging from her tail,,,,,,
11,local,3,action,,What did the rat think the youth was doing there?,explicit,to win her,,,,,,
12,local,3,causal relationship,,Why did the rat ask the youth to be patient?,explicit,She was to receive a larger dower and was not yet ready for the wedding.,,,,,,
13,local,3,action,,What did the rat tell the youth to do while he waited?,explicit,sit down and help himself,,,,,,
14,local,3,prediction,feeling,How will the youth feel about the food provided by the rat?,implicit,unsure,dislike,hesitant,,,,
15,summary,"3,4",causal relationship,,Why did the youth have no great appetite for the food?,implicit,It was rat food.,The food was gross.,The food was not for humans.,,,,
16,local,4,causal relationship,,Why did the rat give the youth the linen thread?,implicit,so he could go home,so he could return home and come back again later,,,,,
17,local,4,feeling,,How did the youth feel when the rat allowed him to go above?,implicit,excited,happy,relieved,,,,
18,local,4,action,,What did the rat tell the youth to repeat?,explicit,Short before and long behind',,,,,,
19,local,4,causal relationship,,Why was the youth in no hurry to go down the hole again?,implicit,He did not like being down there.,He did not want to be in the hole.,,,,,
20,local,5,feeling,,How did the mother feel when she saw the linen?,implicit,disbelief,surprised,shocked,,,,
21,local,5,causal relationship,,Why was the mother so pleased with the linen?,implicit,She could use it to make clothes.,She could sell it for money.,,,,,
22,local,5,outcome resolution,,What happened after the woman had not a bite to eat in the house?,explicit,She told her son that it was the highest time of him to take service.,,,,,,
23,local,5,causal relationship,,Why were the mother and son able to live in joy and comfort?,implicit,They had plenty of clothes to wear.,They earned money from selling the linen.,,,,,
24,summary,"1,5",prediction,action,What will the youth want to do instead of taking service?,explicit,go to the mother in the corner,,,,,,
25,local,6,causal relationship,,Why did the mother think it would be a good idea for the youth to go to the mother in the corner?,explicit,The youth was handsomely dressed and made a good showing.,,,,,,
26,local,6,action,,What was sun doing when the youth stepped out?,explicit,shining bright and warm,,,,,,
27,local,6,action,,What did the youth come to as he was hopping and skipping along?,explicit,the log across the swamp,,,,,,
28,local,6,action,,What did the youth need to do to not dirty his shoes?,explicit,jump over a puddle to a clump of grass,,,,,,
29,local,7,setting,,When would all be ready according to the rat?,explicit,by the time the youth came again,,,,,,
30,local,7,causal relationship,,Why did the youth not want to eat the food?,explicit,It looked like food that had been eaten.,He had no appetite.,,,,,
31,local,7,action,,What did the rat give the youth to return home?,explicit,woolen thread,,,,,,
32,summary,"4,5,7",prediction,action,What will the youth find when he returns home?,implicit,piles of wool,lots of woolen goods,yards of wool,,,,
33,summary,"5,8",prediction,action,What will the youth and his mother do with the wool?,implicit,make clothes,sell it,,,,,
