question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,"Who had a douce, quiet body?",explicit,an old man,,,,,,
2,local,1,character,,Who was lightsome and flighty?,explicit,the old woman,,,,,,
3,local,1,causal relationship,,Why was her husband afraid that she was a witch?,explicit,She had a curious habit of disappearing in the gloaming and staying out all night.,,,,,,
4,local,1,action,,How did the wife look when she returned in the morning?,explicit,"She looked quite white and tired, as if she had been travelling far, or working hard.",,,,,,
5,local,2,action,,What did the husband do to find out where his wife went?,explicit,watched her carefully,,,,,,
6,local,1,feeling,,How did the neighbors feel about the wife possibly being a witch?,implicit,scared,afraid,,,,,
7,local,2,causal relationship,,Why did the husband fail to find out where she went?,explicit,"She always slipped out of the door when he was not looking, and before he could reach it to follow her, she had vanished utterly.",,,,,,
8,local,2,action,,What did the husband do when he could not stand the uncertainty any longer?,explicit,asked her to tell him straight out whether she were a Witch or no,,,,,,
9,local,2,feeling,,How did the husband feel while he asked his wife if she was a witch?,implicit,scared,afraid,,,,,
10,local,2,action,,What did the wife do after the husband asked if she was a witch?,explicit,answered that she was,,,,,,
11,local,2,action,,What would the wife do if the husband promised not to let anyone know?,explicit,The next time that she went on one of her midnight expeditions she would tell him all about it.,,,,,,
12,local,3,causal relationship,,Why did the husband make the promise to his wife?,explicit,It seemed to him just as well that he should know all about his wife's cantrips.,,,,,,
13,local,3,outcome resolution,,What happened on the first night of the new moon?,explicit,His wife vanished. Nor did she return till daybreak next morning.,,,,,,
14,local,3,causal relationship,,Why didn't the husband have to wait long before he heard of his wife's stories?,explicit,The very next week the moon was new.,,,,,,
15,local,4,action,,What did his wife and her four companions do on their trip?,explicit,met at the old Kirk on the moor and had mounted branches of the green bay tree and stalks of hemlock,,,,,,
16,local,4,action,,What did his wife and her four companions hunt?,explicit,"the foxes, and the weasels, and the owls",,,,,,
17,local,5,character,,Who had a tiny set of bagpipes under his arm and piped such wonderful music?,explicit,"a wee, wee man",,,,,,
18,local,5,causal relationship,,Why were the Witches tired?,explicit,All the Witches danced until they were so weary.,,,,,,
19,local,6,action,,What did the wife do at the next new moon?,explicit,go off again for the night,,,,,,
20,local,6,action,,What did the husband want his wife to do instead of dancing all night?,implicit,stay at home,be comfortable at home,,,,,
21,local,6,action,,What did the wife and her friends use for boats?,explicit,cockle-shells,,,,,,
22,local,6,setting,,Where did the wife and her friends go to after getting on the boat?,explicit,Norway,,,,,,
23,local,6,action,,What did the wife and her friends do after they took the cockle-shells for boats?,explicit,sailed away over the stormy sea till they reached Norway,,,,,,
24,local,6,setting,,Where did the wife and her friends go to after riding invisible horses?,explicit,the land of the Lapps,,,,,,
25,local,7,causal relationship,,Why did the wife and her friends go to the land of the Lapps?,implicit,There was a festival.,They wanted to go to the festival.,,,,,
26,local,7,feeling,,How did the wife and her friends feel with the knowledge they acquired?,explicit,delighted,,,,,,
27,summary,"8, 9",causal relationship,,Why did the husband show a little more interest in her doings after her next adventure?,implicit,They drank rare wine.,The husband loved wine.,,,,,
28,local,9,feeling,,How did the husband feel after his wife told him about her next adventure?,implicit,excited,delighted,,,,,
29,summary,"8, 9",action,,What did the husband want to learn from his wife?,implicit,the magic words to take him to the Bishop's Palace,,,,,,
30,local,8,action,,How did the witches land at the Bishop's Palace of Carlisle?,explicit,pronounced the magic words which they had learned from the Elves of Lappland,,,,,,
31,local,10,causal relationship,,Why didn't the wife allow her husband to know the magic words?,explicit,It would turn the whole world upside down.,,,,,,
32,local,10,causal relationship,,Why would the whole world turn upside down if everyone knew the magic words?,explicit,"Everybody would be leaving their own lawful work, and flying about the world after other folk's business and other folk's dainties.",,,,,,
33,local,10,action,,What did the husband do after his wife did not want to tell him the magic words?,explicit,tried to persuade her with all the soft words he could think of,,,,,,
34,local,11,outcome resolution,,What happened after his wife did not allow him to know her secret?,implicit,He followed his wife and her friends.,He repeated the magic words they said.,,,,,
35,local,11,outcome resolution,,What happened after the husband repeated the magic words?,explicit,"Up the chimney he went, and flew through the air after his wife and her companions, as if he had been a Warlock born.",,,,,,
36,local,11,causal relationship,,Why did the husband follow his wife every night?,explicit,He hoped his and her friends would meet there.,,,,,,
