question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What was the young man thinking about?,explicit,his mother and how poor they were,,,explicit,Of his mother and how poor they were,,
2,local,1,character,,Who was the fisherman that drowned at sea?,explicit,his father,,,explicit,His father,,
3,local,1,action,,What did the man want to buy from the young man?,explicit,horse,,,explicit,His horse,,
4,local,1,action,,What did the young man want in return for selling his horse?,explicit,"his gun, his dog, and his falcon",,,explicit,"The gun, and the dog and the falcon",,
5,local,2,feeling,,How did the young man's mother feel after he sold the horse?,explicit,very angry,,,explicit,Very angry,,
6,local,2,causal relationship,,Why was the young man's mother angry at her son?,implicit,He sold her property.,He sold her horse without telling her.,,explicit,He sold her property,,
7,local,2,setting,,Where did the young man go after he left his home?,explicit,a farm-house,,,explicit,A farm-house,,
8,local,2,action,,What did the young man do after his mother got angry at him?,explicit,"rose softly, and left the house carrying the gun with him",,,explicit,Went off to his bed,,
9,local,2,action,,What did the farmer and his wife do after the young man knocked on their door?,explicit,"begged him to come in, and share their breakfast",,,explicit,Begged him to come in and shared their breakfast,,
10,local,3,causal relationship,,Why was the farmer glad to see the young man carrying a gun?,implicit,He needed help catching a deer.,He needed to shoot the deer that was eating his corn.,,explicit,A deer gomes very evening to eat his corn and he cannot catch it,,
11,local,3,causal relationship,,Why couldn't the young man shoot the deer?,implicit,He saw a woman with black hair standing in his way.,He was worried about accidentally hurting the woman.,,explicit,"Instead of a deer, a woman with long black hair was standing there",,
12,local,3,outcome resolution,,What happened after the young man saw a woman with long black hair standing there?,explicit,"His gun almost dropped from his hand in surprise, but as he looked, there was the deer eating the corn again.",,,explicit,His gun almost dropped from his hand in surprise,,
13,local,4,setting,,Where did the young man chase the deer to?,explicit,a cottage,,,explicit,A cottage,,
14,local,4,action,,What did the deer do after it was chased to the cottage?,explicit,"sprang on the roof, and lay down where none could see her",,,explicit,Sprang on the rood and lay dwon where none could see her,,
15,local,4,character,,What was the fisher's son's name?,explicit,Ian,,,explicit,Ian,,
16,local,4,feeling,,How did the robbers feel after they realized someone had been eating their dinner?,implicit,angry,mad,frustrated,implicit,Angry,Surprised,Upset
17,local,4,character,,Who did Ian see after he looked into the room?,explicit,"four and twenty of them, all big, cross-looking men",,,explicit,Big cross-looking men,,
18,local,5,character,,Who knew where Ian was hiding?,explicit,the leader,,,explicit,The leader,,
19,local,5,action,,What did the men do after the leader told them where Ian was hiding?,explicit,"killed the fisher's son and left him, and then went to bed",,,explicit,Killed the fisher's son,,
20,local,5,outcome resolution,,"What happened after the deer shook her head over Ian, and wax fell from her ear?",implicit,He was alive again.,He was not dead anymore.,,explicit,Ian jumped up as well as ever,,
21,local,6,action,,What did the deer tell Ian to do after he was alive again?,explicit,eat as he did before,,,explicit,Trust me and eat as you did before,,
22,local,6,causal relationship,,Why were the robbers very tired and crosser than they had been yesterday?,explicit,Their luck had turned and they had brought back scarcely anything,,,explicit,Their luck had turned and they had brought back scarcely anything,,
23,local,6,causal relationship,,Why did the leader punish the four men who were told to kill Ian last night?,implicit,He found out Ian was still alive.,Ian ate their food again.,He believed his men pretended to kill him.,implicit,He thinks they did not kill Ian since he is still alive,,
24,summary,"5, 7",causal relationship,,Why did the deer drop wax from her ear?,implicit,used to revive the dead man,used to heal the dead man,,implicit,The ear wax can revive the dead,,
25,local,7,causal relationship,,Why didn't Ian mind what befell on him?,explicit,sure was he that the deer would take care of him,,,explicit,So sure was he that the deer would take care of him,,
26,local,7,causal relationship,,Why were the robbers put to death?,implicit,Ian was still alive.,They failed to kill Ian.,,explicit,In the evening that which had happned before happened again,,
27,local,7,action,,What did the robbers do after there was no food left for them to eat?,explicit,began to quarrel,,,explicit,From quarrelling they went on to fighting,Fought so hard that by and bye they were all stretched dead on the floor,
28,local,7,setting,,Where did the deer lead Ian to?,explicit,a little white cottage,,,explicit,A little white cottage where dwelt an old woman and her son,,
29,local,8,setting,,Where did Ian need to meet the deer?,explicit,in the church,,,explicit,The Church,,
