question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why could the tenant farmer only feed his children poorly?,implicit,He was poor.,He had no money.,,,,,
2,local,1,character,,How were the children clothed?,explicit,in the scantiest way,,,,,,
3,local,1,character,,What did all the children look like?,explicit,handsome,,,,,,
4,local,1,character,,Who was the most beautiful?,explicit,the youngest daughter,,,,,,
5,local,2,causal relationship,,Why was it pitch dark?,explicit,A terrible storm raged outside.,,,,,,
6,local,2,outcome resolution,,What happened because of the terrible storm?,explicit,"It was pitch dark, and it rained and stormed so that the house shook in every joint.",,,,,,
7,local,2,action,,What did the family do during the storm?,explicit,sat around the hearth,busy with some work or other,,,,,
8,local,2,character,,Who knocked on the window-pane?,explicit,a great white bear,,,,,,
9,local,3,action,,What did the bear want from the man?,explicit,His youngest daughter,,,,,,
10,local,3,action,,What did the bear offer in return for the man's daughter?,explicit,make him just as rich as now he was poor,,,,,,
11,local,4,action,,What did the man do before agreeing with the bear?,explicit,speak to his daughter about it,,,,,,
12,local,4,feeling,,How did the man feel about becoming rich?,explicit,excited,pleased,happy,,,,
13,local,4,action,,What did the parents do because the daughter did not want to marry the bear?,explicit,"worked upon their daughter, and talked at length about all the riches they would gain, and how well she herself would fair",,,,,,
14,local,4,causal relationship,,Why did the daughter change her mind?,implicit,Her parents convinced her.,Her parents told her they would be rich.,,,,,
15,local,4,causal relationship,,Why did the parents try to convince their daughter to marry the bear?,implicit,They wanted to be rich.,They were promised money.,,,,,
16,local,5,setting,,Where did the bear take the girl?,explicit,a great rock,a great castle,,,,,
17,local,5,setting,,What did the castle have?,explicit,brilliantly lighted rooms,a great hall,a table completely covered with the most splendid dishes,,,,
18,local,5,action,,How could the maiden get anything she wanted?,explicit,She need only ring the bell and she should have it all at once.,,,,,,
19,local,5,action,,What did the maiden do because she felt like lying down?,explicit,rang her bell,,,,,,
20,local,6,action,,What did the maiden see when she put out the light?,explicit,a man come in and cast himself down in a corner,,,,,,
21,local,6,causal relationship,,Why did the maiden never see the bear?,explicit,He never came until she had put out the light and before dawn brightened he had disappeared again.,,,,,,
22,local,6,outcome resolution,,What happened because the maiden did not have a soul to keep her company the live-long day?,explicit,The maiden grew sad and silent.,,,,,,
23,local,6,action,,What must the maiden not do?,explicit,speak to her mother alone,,,,,,
24,local,6,action,,What did the maiden request from the bear?,explicit,She wanted so very much to see her parents and sisters again.,,,,,,
25,local,6,outcome resolution,,What would happen if the maiden spoke to her mother alone?,explicit,She would make her and the bear both unhappy.,,,,,,
26,local,7,action,,How did the maiden get back to her parents' home?,explicit,She seated herself on the bear's back.,,,,,,
27,summary,"1,7",action,,What had changed for her family since the maiden left home?,implicit,Her family was now rich.,Her family lived in a large house.,,,,,
28,local,8,feeling,,How did the parents feel about what their daughter had done for them?,implicit,grateful,excited,,,,,
29,local,8,causal relationship,,Why were both the parents and maiden doing well?,implicit,They both had money.,They both lived splendidly.,They both had everything they wanted.,,,,
30,local,9,action,,What did the bear foretell?,explicit,The mother wanted to talk to her daughter alone.,,,,,,
31,local,9,outcome resolution,,What happened because the maiden spoke to her mother alone?,explicit,She had to tell just how things were.,,,,,,
32,local,10,action,,What did the mother give the daughter?,explicit,a candle-end,,,,,,
33,local,10,action,,How did the daughter plan on seeing the bear at night?,explicit,lighting the light and looking at him,,,,,,
34,local,10,action,,What did the white bear do in the evening?,explicit,came to fetch her,,,,,,
35,local,11,action,,What did the maiden see when she lit the candle?,explicit,the handsomest prince one might wish to see,,,,,,
36,local,11,outcome resolution,,What happened because she let three hot drops of tallow fall on the bear?,explicit,He awoke.,,,,,,
37,local,11,feeling,,How did the maiden feel when she saw the handsome prince?,implicit,excited,happy,in love,,,,
38,local,12,character,,Who cast the spell on the bear?,explicit,his step-mother,,,,,,
39,local,12,setting,,Where did the step-mother live?,explicit,east of the sun and west of the moon,,,,,,
40,local,12,action,,What must the prince do now because of the maiden?,implicit,marry a princess with a nose three yards long,,,,,,
41,local,12,causal relationship,,Why would the maiden not find the road to the castle?,explicit,There is no road that leads there.,,,,,,
42,local,13,outcome resolution,,What happened when the maiden awoke?,explicit,The prince as well as the castle had disappeared.,"She lay in a green opening in the midst of a thick, dark wood.",,,,,
43,summary,"11,12,13",outcome resolution,,What happened because the maiden looked at the prince and he awoke?,implicit,He must return to his step-mother's castle.,He must marry a princess with a nose three yards long,The prince as well as the castle disappeared.,,,,
44,local,13,action,,What did the maiden do after she awoke alongside her poor belongings?,explicit,rubbed the sleep out of her eyes and had cried her fill,"set out and wandered many, many days",,,,,
45,local,13,character,,Who sat before the hill?,explicit,an old woman,,,,,,
46,local,13,action,,What did the maiden do when she saw the old woman?,explicit,asked the woman whether she did not know which road led to the prince,,,,,,
47,local,14,action,,What did the old woman loan the maiden?,explicit,her horse,,,,,,
48,local,14,character,,Who might be able to tell the maiden where the castle was?,explicit,the woman's neighbor,,,,,,
49,summary,"13,14,15",character,action,How many old women did the maiden encounter?,implicit,three,,,,,,
50,local,15,character,,What was different about the third old woman compared to the first two?,implicit,She had a golden spindle.,She gave the maiden her golden spindle.,,,,,
51,summary,"13,14,15",action,,What did the old women all not know?,implicit,the road to the castle that lays east of the sun and west of the moon,,,,,,
52,local,15,character,,Who might blow the maiden to the castle?,explicit,East Wind,,,,,,
53,local,16,causal relationship,,Why did the East Wind not know where the road was?,explicit,He had never blown so far.,,,,,,
54,local,16,character,,Who was stronger than the East Wind?,explicit,the West Wind,,,,,,
55,summary,"16,17,18,19,20",character,,What was different about the North Wind compared to his brothers?,explicit,The North Wind was wild and unmannerly.,He knew very well where the castle lie.,,,,,
56,local,19,outcome resolution,,What happened because the North Wind cried as soon as he caught sight of them?,explicit,A cold shiver ran down their backs.,,,,,,
57,local,19,action,,What did the North Wind do when they were still a good way off?,explicit,blew a cold blast at them,,,,,,
58,local,20,causal relationship,,How did the North Wind know where the castle lay?,explicit,He blew an aspen leaf there just once.,,,,,,
59,local,20,outcome resolution,,What happened to the North Wind after he blew the aspen leaf?,explicit,He was so weary he could not blow at all for many a long day.,,,,,,
60,summary,"12,20",causal relationship,,Why was the maiden not afraid?,implicit,She wanted to save her prince.,She was brave.,,,,,
61,local,20,action,,What did the maiden need to do because there is a whole day before them tomorrow?,explicit,stay there over night,,,,,,
62,summary,"20,21",causal relationship,,Why did the North Wind blow himself up and make himself large and thick?,implicit,The journey was long.,He needed to go very far.,,,,,
63,local,21,outcome resolution,,What happened everywhere beneath them as they rushed through the air?,explicit,"raged such a storm that forests were pulled out by the roots, and houses torn down.",,,,,,
64,local,21,causal relationship,,What made ships founder by the hundreds?,explicit,They rushed across the sea.,,,,,,
65,local,21,action,,What happened to the North Wind gradually?,explicit,grew weary,became weaker and weaker,sank lower and lower,,,,
66,local,21,outcome resolution,,What happened because the North Wind flew so low?,explicit,The waves washed his ankles.,,,,,,
67,local,21,causal relationship,,Why did the North Wind get weaker and weaker?,implicit,He was flying for a long time.,The was flying very fast.,,,,,
68,local,22,action,,What did the North Wind need before he could set out for home again?,explicit,rest many a long day,,,,,,
69,local,22,setting,,Where did the North Wind set the maiden?,explicit,"on the strand, beneath the windows of the castle that lay east of the sun and west of the moon",,,,,,
70,local,22,character,,Who was the first person to show themselves?,explicit,"the monster with the nose, whom the prince was to marry",,,,,,
71,local,23,action,,What did the maiden want in exchange for the apple?,explicit,to speak to-night to the prince who lived there,,,,,,
72,local,24,action,,What was the prince doing when the maiden went to see him?,explicit,sleeping soundly,,,,,,
73,local,24,feeling,,How did the maiden feel when she could not wake the prince?,implicit,sad,upset,,,,,
74,local,24,action,,What did the princess with the long nose do the next morning?,explicit,came and drove her out,,,,,,
75,local,25,causal relationship,,Why had the prince been asleep when the princess came in?,implicit,The princess had been tricking him.,The princess had been putting sleep-powered in his night-cap.,,,,,
76,local,25,causal relationship,,Why did the princess sneak the sleeping-powder into the prince's cup?,implicit,She did not want to maiden to speak with him.,She did not want the prince to leave with the maiden.,,,,,
77,local,25,action,,What did the prince do when he found out about the weeping and wailing woman?,explicit,pretended to drink the night-cap,poured it out behind his back,,,,,
78,local,25,action,,What did the maiden do when she came in and the prince was awake?,explicit,told him just how she had found the castle,,,,,,
79,local,26,causal relationship,,Why was the maiden there in the nick of time?,explicit,Tomorrow the prince was to marry the princess.,,,,,,
80,local,26,character,,Who was the only person that can save the prince?,explicit,the maiden,,,,,,
81,local,26,action,,What did the prince plan to ask the princess to do?,explicit,that she wash the three drops of tallow from my shirt,,,,,,
82,local,28,outcome resolution,,What happened when the princess washed and rubbed the spots?,explicit,the larger grew the spots,,,,,,
83,local,28,action,,What could all troll-women not do?,implicit,wash out the spots,clean the shirt of the spots,,,,,
84,local,30,outcome resolution,,What happened because the troll-women grew angry?,explicit,She burst into two,,,,,,
