question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,How many children did the King and Queen have?,explicit,twelve,,,explicit,twelve,,
2,local,1,causal relationship,,Why must all of her twelve brothers die if their thirteenth child is a girl?,explicit,she may be very rich and the kingdom hers alone,,,explicit,so that she may be very rich and the kingdom hers alone,,
3,local,1,feeling,,How did the Queen feel about the fate of her sons?,explicit,sad,,,explicit,upset,unhappy,
4,local,2,action,,What did the Queen tell her son to do with his eleven brothers?,explicit,"go into the wood, and let one of them always sit on the highest tree they can find, keeping watch on the tower of the castle",,,explicit,go to the wood and watch for a flag,,
5,local,3,feeling,,How did the brothers feel when they heard about the red flag?,explicit,very angry,,,explicit,angry,furious,
6,local,4,causal relationship,,Why was Benjamin told to stay home and keep the house for his brothers?,explicit,He was the youngest and weakest.,,,explicit,he was the youngest and weakest,,
7,local,4,action,,What were the rest of the brothers going to do while Benjamin kept the house?,explicit,go out and fetch food,,,explicit,fetch food,,
8,local,4,outcome resolution,,What happened when the brothers brought their spoils home?,explicit,Benjamin soon learnt to make them into dainty dishes.,,,explicit,Benjamin made them into dainty dishes,,
9,local,5,character,,What did their little sister have on her forehead?,explicit,a gold star,,,explicit,a gold star,,
10,local,5,prediction,action,What will the girl do when she finds out about her twelve brothers?,explicit,go and seek her brothers,,,explicit,find them,,
11,local,6,setting,,Where did the girl come to in the evening after walking all day long?,explicit,the little enchanted house,,,explicit,the little enchanted house,,
12,local,7,feeling,,How did Benjamin and his sister feel after finding each other?,explicit,joyful,,,explicit,happy,joyful,
13,local,11,action,,What did the sister must do in order to free her brothers?,explicit,be dumb and not laugh for seven years,,,explicit,be dumb and not laugh for seven years,,
14,summary,"10,11",feeling,,How did the sister feel when her brothers changed into ravens?,implicit,sad,upset,afraid,implicit,unhappy,upset,
15,local,10,outcome resolution,,What happened after the girl plucked the twelve lilies?,explicit,"Her brothers turned into twelve ravens, who flew croaking over the wood.",,,explicit,the brothers turned into ravens,,
16,local,12,action,,What did the girl do when the King asked her to be his wife?,explicit,"gave no answer, but nodded slightly with her head",,,explicit,gave no answer,nodded slightly with her head,
17,local,13,feeling,,How did the King's mother feel about the girl?,implicit,dislike,hatred,anger,implicit,suspicious,,
18,local,2,action,,How did the youngest boy comfort his mother?,implicit,He said they would manage to escape.,He told her they would survive.,,explicit,he told her he and his brothers would escape,,
19,local,13,outcome resolution,,What happened because the King's mother harped so long on the subject of the girl?,explicit,The King condemned his son's beautiful wife to death.,,,explicit,the princess was condemned to death,,
