question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did Lisa and Aina see?,explicit,a worm,,,,,,
2,local,1,feeling,,How did the big sister feel after her siblings complained about a worm?,implicit,annoyed,frustrated,,,,,
3,local,1,causal relationship,,Why did the siblings make a fuss over a worm?,implicit,It was on their raspberry.,They saw a worm on the raspberry they cleaned.,,,,,
4,local,1,action,,How did the siblings find the worm?,explicit,It crept out from that very large one.,,,,,,
5,summary,"1,2",outcome resolution,,What would happen if someone ate the very large raspberry?,explicit,"Then they would have eaten the worm, too.",,,,,,
6,local,2,action,,What were the siblings deciding to do?,implicit,how to deal with the worm,how to remove the worm,,,,,
7,local,2,action,,What did the big sister want to do with the worm?,explicit,blow it away,,,,,,
8,local,3,action,,What did Lisa do with the worm?,explicit,"took a raspberry leaf, swept the worm carefully on to the leaf and carried it out into the yard",,,,,,
9,local,3,causal relationship,,Why did Aina carry the worm out into the wood?,explicit,Aina noticed that a sparrow sitting on the fence was just ready to pounce on the poor little worm.,,,,,,
10,local,4,action,,What did the siblings eat for dinner?,explicit,raspberries and cream,,,,,,
11,local,4,causal relationship,,Why did the siblings need to get two baskets full of berries?,explicit,They had eaten up the raspberries and they had non left to make preserve for the winter.,,,,,,
12,local,4,action,,What did the big sister plan to do with the baskets of berries?,explicit,"clean them this evening, and to-morrow they could cook them in the big preserving pan, and then they should have raspberry jam to eat on their bread",,,,,,
13,local,4,outcome resolution,,What happened after Otto did not listen to his big sister?,explicit,"Otto's plate was like a snowdrift in winter, with just a little red under the snow.",,,,,,
14,local,5,setting,,Where did the siblings go to pick raspberries?,explicit,the wood,,,,,,
15,local,5,action,,What did Lisa and Aina take to hold the raspberries?,explicit,the yellow basket and the green one,,,,,,
16,local,6,causal relationship,,Why did Lisa and Aina wander on and on?,explicit,"There were plenty of bilberries and elder berries, but no raspberries.",,,,,,
17,local,6,setting,,Where did Lisa and Aina find raspberries?,explicit,a large raspberry wood,,,,,,
18,local,6,action,,How were Lisa and Aina able to pick a lot of raspberries?,implicit,They found a raspberry wood.,There was a raspberry wood.,,,,,
19,local,6,feeling,,How did Lisa and Aina feel climbing over the fallen trees?,implicit,tired,weary,,,,,
20,local,7,causal relationship,,Why didn't Aina and Lisa go home immediately?,implicit,Lisa wanted to pick more raspberries.,Lisa wanted to stay longer to pick raspberries.,,,,,
21,local,7,action,,What did Aina and Lisa use to gather more raspberries?,explicit,their pinafores,,,,,,
22,local,7,outcome resolution,,What happened after Aina and Lisa decided to go home?,implicit,They got lost.,They could not find their way home.,,,,,
23,summary,"7,8",prediction,feeling,How will Aina and Lisa feel after they realize they lost their way home?,explicit,anxious,,,,,,
24,local,7,causal relationship,,Why did Aina and Lisa lose their way home?,explicit,"They had never been so far in the great wood before, they could not find any road nor path.",,,,,,
25,local,8,action,,What did the girls hope to see after they got lost?,explicit,"that the wood would soon end, and that they would see the smoke from the chimneys of their home",,,,,,
26,local,8,setting,,Where did the girls wander to after they got lost?,explicit,a great plain overgrown with bushes,,,,,,
27,local,8,feeling,,How did the girls feel after they could not find their way home?,implicit,sad,upset,afraid,,,,
28,local,9,outcome resolution,,What happened after Aina wished to eat sandwiches?,explicit,"She felt something in her hand, and when she looked down, she saw a large sandwich of bread and chicken.",,,,,,
29,summary,"9,10",prediction,outcome resolution,What will happen after Lisa wishes for a glass of milk?,explicit,She will feel a large glass of milk between her fingers.,,,,,,
30,local,9,feeling,,How did Aina feel after a sandwich appeared in her hand?,implicit,surprised,astonished,amazed,,,,
31,local,10,causal relationship,,Why did the girls eat and drink with a good appetite?,explicit,The girls were very hungry.,,,,,,
32,local,10,action,,What did Aina wish for after she ate and drank?,explicit,a nice soft bed,,,,,,
33,local,11,character,,Who did Aina believe lived among these raspberry bushes?,explicit,some good fairy,,,,,,
34,local,10,causal relationship,,Why didn't the girls think about how their wishes came true?,implicit,They were too tired.,They were too sleepy.,,,,,
35,local,11,action,,What did Aina want for breakfast?,explicit,a hot cup of coffee and a nice piece of white bread,,,,,,
36,local,11,causal relationship,,Why did Lisa think she was still dreaming?,implicit,They woke up in the middle of the forest.,Their wishes came true.,,,,,
37,local,12,action,,What did Aina see beside her after she finished speaking?,explicit,"a little silver tray with a gilt coffee-pot, two cups of rare porcelain, a sugar basin of fine crystal, silver sugar tongs, and some good fresh white bread",,,,,,
38,local,12,outcome resolution,,What happened after Lisa wished to meet the person who gave them all the food they needed?,implicit,Someone appeared.,Someone talked from the bushes.,,,,,
39,summary,"12,13",prediction,feeling,How will the girls feel after they hear a voice from the bushes?,explicit,surprised,,,,,,
40,local,13,character,,"Who was in a white coat and a red cap, limping out from among the bushes?",explicit,a little kind-looking old man,,,,,,
41,local,13,causal relationship,,Why was the little kind-looking old man limping?,explicit,He was lame in his left foot.,,,,,,
42,local,13,causal relationship,,Why couldn't the old man laugh properly?,explicit,His mouth was crooked.,,,,,,
43,local,14,character,,"Who reigned over all this kingdom of raspberry bushes, and lived here for more than a thousand years?",explicit,the raspberry king,,,,,,
44,local,14,character,,"Who ruled over the woods, and the sea, and the sky?",explicit,the great spirit,,,,,,
45,local,14,action,,What did the great spirit do to the raspberry king?,explicit,"one day every hundred years he should change into a little raspberry worm, and live in that weak and helpless form from sunrise to sunset",,,,,,
46,local,14,causal relationship,,Why wasn't the raspberry king trampled to death when he was a worm?,implicit,The siblings saved him.,The siblings did not hurt him.,,,,,
47,local,14,causal relationship,,Why did the raspberry king have a limp and a crooked mouth?,explicit,"He was swept away from your table I twisted one of my feet, and his mouth became crooked with terror.",,,,,,
48,local,16,causal relationship,,Why did the raspberry king forgive Otto?,implicit,The girls begged him.,The girls told the king to not hurt their brother.,,,,,
49,local,16,action,,How were the girls able to get home?,implicit,They followed the bird.,They went home by running after the bird.,,,,,
50,local,17,feeling,,How did the other siblings feel after Aina and Lisa got home?,implicit,relieved,happy,glad,,,,
51,local,17,causal relationship,,Why wasn't the big sister able to sleep?,explicit,She thought the wolves had eaten them up.,,,,,,
52,local,17,action,,What did the raspberry king give Aina and Lisa?,explicit,"a pair of most beautiful bracelets of precious stones, dark red",,,,,,
53,local,17,action,,What did the raspberry king give Otto?,explicit,"a diamond breast pin in the shape of a raspberry worm: on it was inscribed 'Otto, never destroy the helpless!'",,,,,,
54,summary,"17,18",prediction,feeling,How will Otto feel after he receives his gift?,explicit,ashamed,,,,,,
55,local,18,causal relationship,,Why did Otto feel ashamed?,implicit,He knew that it was about hurting the worm.,He realized he was wrong for wanting to hurt the worm.,,,,,
51,local,18,action,,What did the big sister find when she went to set the table for dinner?,explicit,eleven big baskets of most beautiful raspberries,,,,,,
52,local,18,character,,Who gave the big sister the big baskets of raspberries?,implicit,the old man,the raspberry king,,,,,
