question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,2,causal relationship,,Why did the Tin-soldier believe that the Dancer only had one leg?,explicit,The Dancer was lifting up one leg so high in the air that the Tin-soldier couldn't find the other leg anywhere.,,,,She was lifting up one leg so high in the air.,,
2,local,2,character,,"Who was cut out of paper, but had on a dress of the finest muslin?",explicit,the Dancer,the little lady,,,a little lady,,
3,summary,"2,3",causal relationship,,Why did the Tin-soldier want to marry the Dancer?,explicit,"The Tin-soldier thought that she, too, had only one leg.",,,,"He thought that she, too, had only one leg.",,
4,local,3,setting,,Where did the Dancer live?,explicit,the castle,,,,a castle,,
5,local,5,causal relationship,,Why did the Tin-soldier land on his head with his leg in the air?,explicit,"The window flew open and out fell the little Tin-soldier, head over heels, from the third-story window.",,,,His gun was wedged between two paving stones.,,
6,local,5,action,,What did the nursery-maid and little boy do when the Tin-soldier fell?,explicit,came down at once to look for him,,,,came down at once to look for him,,
7,local,5,causal relationship,,Why did the Tin-soldier believe it was not fitting for him to cry out?,explicit,He had on his uniform.,,,,He had on his uniform.,,
8,local,6,action,,What did the two little boys do when they found the Tin-soldier?,explicit,"made a little boat out of newspaper, put the Tin-soldier in it, and made him sail up and down the gutter",,,,"ran along beside him, clapping their hands",,
9,local,7,setting,,Where did the great water-rat live?,explicit,the tunnel,,,,the tunnel,,
10,local,7,action,,What did the great water-rat do when he saw the Tin-soldier?,explicit,asked for the Tin-soldier's passport,,,,asked if he had a passport,,
11,local,9,feeling,,How did the Tin-soldier feel when the boat began sinking?,implicit,scared,worried,upset,,sad,,
12,local,10,setting,,Where was the Tin-soldier after the boat sank?,explicit,inside the fish,,,,inside a great fish,,
13,local,11,causal relationship,,Why was the Tin-soldier nearly going to shed tin-tears?,explicit,The Dancer was still standing on one leg with the other high in the air.,,,,The Dancer was still standing on one leg with the other high in the air.,,
14,local,11,action,,What did the little boy do to the Tin-soldier?,explicit,took up the Tin-soldier and threw him into the stove,,,,threw him into the stove,,
15,summary,"11, 12",prediction,outcome resolution,What will happen to the Tin-soldier after the little boy throws him into the stove?,explicit,melt,,,,He will melt.,,
16,local,5,feeling,,How did the little boy feel when he could not find the Tin-soldier?,implicit,sad,upset,disappointed,,sad,,
17,local,3,action,,What did the toys do when the people of the house went to bed?,explicit,"began to play at visiting, dancing, and fighting",,,,"played at visiting, dancing, and fighting",,
18,local,12,causal relationship,,Why was the Tin-soldier in the shape of a heart?,implicit,He loved the dancer.,He was in love.,,,He loved the dancer.,,
19,local,11,causal relationship,,Why didn't the Tin-soldier want to cry?,explicit,It would not have been fitting for a soldier.,,,,It would not have been fitting for a soldier.,,
