question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived in the province of Shinshin?,explicit,a traveling monkey-man,,,,,,
2,local,1,action,,How did the man earn his living?,explicit,taking round a monkey and showing off the animal's tricks,,,,,,
3,local,1,causal relationship,,Why was the man in a bead temper?,implicit,The monkey was too old and forgot his tricks.,The monkey did not dance properly.,,,,,
4,local,1,feeling,,How did the wife feel at her husband's request?,explicit,bewildered,,,,,,
5,local,2,causal relationship,,Why did the woman plead her husband to spare the monkey?,explicit,The woman felt very sorry for the poor little animal.,,,,,,
6,local,2,action,,How did the monkey know he was about to be killed?,explicit,The monkey was in the next room and overheard every word of the conversation.,,,,,,
7,local,2,feeling,,How did the monkey feel to hear the man's plan?,implicit,sad,betrayed,upset,,,,
8,local,2,action,,How did the monkey plan to stay alive?,implicit,talk to the wise wild boar,ask the wise wild boar for advice,,,,,
9,local,2,causal relationship,,Why did the monkey think going to the wild boar would help him?,explicit,He had often heard of tell of his wisdom.,,,,,,
10,summary,"2,3",causal relationship,,Why did the monkey hurry to see the boar?,implicit,The man was going to kill him soon.,He needed to make a plan quickly.,,,,,
11,local,3,action,,What did the monkey do as soon as he saw the boar?,explicit,began his tale of woe at once,,,,,,
12,local,4,action,,How did the boar plan to help the monkey?,explicit,seize the child and run off with it,,,,,,
13,local,4,action,,What did the baby do every morning?,explicit,lie by the door,,,,,,
14,local,5,causal relationship,,Why did the monkey not sleep much that night?,explicit,thinking of the morrow,His life depended on whether the boar's plan succeeded or not.,,,,,
15,local,5,setting,,Where did the mother place the child in the morning?,explicit,near the porch,,,,,,
16,local,5,action,,What did the wife see when she ran out from the kitchen?,explicit,the boar disappearing through the gate with her child in its clutch,,,,,,
17,local,5,feeling,,How did the wife feel when she saw her child disappear?,implicit,scared,angry,upset,,,,
18,local,5,action,,What was the woman's husband doing when the child was stolen?,explicit,sleeping soundly,,,,,,
19,local,6,feeling,,How did the husband feel when his wife was making noise?,implicit,angry,annoyed,upset,,,,
20,local,6,character,,Who ran after the thief?,explicit,the monkey,,,,,,
21,local,6,feeling,,How did they feel towards the monkey when he brought back their baby?,explicit,gratitude,admiration,,,,,
22,summary,"6,7",outcome resolution,,What happened because the monkey saved the baby?,explicit,The monkey was petted and lived the rest of his days in peace.,nor did his master ever strike him again,,,,,
