question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,setting,,Where did the man live?,explicit,the little back room,,,,,,
2,local,1,character,,Who was the youngest son?,explicit,Esben,,,,,,
3,local,1,causal relationship,,Why did the three sons not work?,explicit,They thought themselves too good for anything like work.,,,,,,
4,local,1,action,,What did Peter do when he heard the king wanted a shepherd?,explicit,"told his father he would apply for the position, as it would suit him",,,,,,
5,local,1,causal relationship,,Why did the man think Peter might not be suited for the shepherd job?,implicit,Peter was a sleepy-head.,Peter was not quick and spry.,,,,,
6,local,2,action,,What did Peter do when he heard the woman ask for help?,explicit,laughed,,,,,,
7,local,2,causal relationship,,How did the woman get stuck in the tree?,explicit,She wanted to split up some fire-wood and caught her nose in there.,,,,,,
8,local,2,action,,How long had the woman been standing there?,explicit,more than a hundred years,,,,,,
9,local,2,feeling,,How did the woman feel to be stuck in the tree?,implicit,upset,hungry,annoyed,,,,
10,local,3,causal relationship,,Why was the place not bad?,explicit,"There was good food, and good wages, and the chance of winning the princess besides.",,,,,,
11,local,3,outcome resolution,,What happened when Peter and the hares reached the forest?,explicit,The hares ran away from him across the hills.,,,,,,
12,local,3,causal relationship,,Why did Peter have three red strips cut from his back?,explicit,More than a single one of the king's hares were lost.,,,,,,
13,local,3,feeling,,How did Peter feel running after the hares?,implicit,tired,worried,,,,,
14,local,4,feeling,,How did Paul's father feel about him going to the castle?,implicit,skeptical,doubtful,,,,,
15,local,4,causal relationship,,Why did Paul laugh at the old woman?,explicit,He found it very amusing.,,,,,,
16,local,4,action,,What did the hares do when Paul watched them?,explicit,ran away across the hills,,,,,,
17,local,5,causal relationship,,Why did the youngest think herding the king's hares would be just the work for him?,explicit,"to loaf about in the forest and field, look for strawberry patches, herd a flock of hares, and lie down and sleep in the sun between times",,,,,,
18,local,5,action,,How did Esben's father think he would fare as a herdsman?,explicit,no worse than his brothers,He would fare no better.,,,,,
19,local,5,action,,What would one have to be in order to escape with a whole back?,explicit,"more than quick and nimble, and swifter than a bird",,,,,,
20,local,5,causal relationship,,Why was there nothing Esben's father could do to change his mind?,implicit,Esben was set on going to court and serving the king.,Esben was stubborn.,Esben would not take service with any lesser master.,,,,
21,local,6,causal relationship,,Why did Esben free the old woman?,implicit,She said she was hungry.,She offered to do something in return for him.,,,,,
22,local,6,outcome resolution,,What happened after Esben wandered a while?,explicit,He began to feel a proper hunger.,,,,,,
23,local,6,action,,How did Esben free the old woman?,explicit,hewed the tree-trunk apart,,,,,,
24,local,7,action,,What did the old woman give Esben?,explicit,"a whistle which had the power that if he blew into one end, whatever he wished scattered was scattered to all the winds, and when he blew into the other, all came together again",,,,,,
25,local,7,outcome resolution,,What would happen if the whistle passed from Esben's possession?,explicit,It would return as soon as he wished it back.,,,,,,
26,local,7,feeling,,How did Esben feel about the whistle?,explicit,delighted,happy,satisfied,,,,
27,local,8,character,,Who might Esben possibly win if he managed to herd the king's hares?,explicit,the princess,,,,,,
28,local,8,action,,How did the hares act in the enclosure compared to how they were in the forest?,implicit,They were obedient in the enclosure.,They all took to their heels and ran away in the forest.,,,,,
29,summary,"7,8",prediction,action,How will Esben get the hares to return?,explicit,the whistle,,,,,,
30,local,9,outcome resolution,,What happened when Esben first blew the whistle?,explicit,The hares scattered the more quickly to all the ends of the earth.,,,,,,
31,local,9,causal relationship,,"What made the hares return back again, standing in rank and file?",explicit,Esben blew into the other end of the whistle.,,,,,,
32,local,9,causal relationship,,Why did Esben lay down and fall asleep?,implicit,He wasn't worried about watching the hares.,The hares had returned.,,,,,
33,local,9,setting,,Where did Esben take the hares in the evening?,explicit,to the castle,,,,,,
34,local,10,feeling,,"How did the king, queen, and princess feel when they saw Esben return with the hares?",implicit,surprised,curious,impressed,,,,
35,local,10,action,,What did the king do when Esben returned?,explicit,"reckoned and added them up, and counted with his fingers, and then added them up again",,,,,,
36,local,10,character,,Who was sent to Esben the next day?,explicit,the chamber-maid,,,,,,
37,local,10,causal relationship,,Why was the chamber-maid sent out to Esben?,explicit,to find out how he managed to herd the king's hares,,,,,,
38,local,11,action,,What did the chamber-maid offer Esben in exchange for the whistle?,explicit,a hundred dollars,,,,,,
39,local,11,causal relationship,,Why did the chamber-maid want to buy the whistle?,implicit,She was impressed by it.,She wanted to own it.,,,,,
40,summary,"7,11",causal relationship,,Why did Esben agree to sell the whistle to the chamber-maid?,explicit,"If the whistle passed from his possession, it would return as soon as he wished it back.",,,,,,
41,local,12,causal relationship,,What made the whistle disappear?,explicit,Esben had wished it back again.,,,,,,
42,local,12,action,,What did the princess want for two hundred dollars?,explicit,the whistle and to know what she had to do in order to fetch it safely home with her,,,,,,
43,local,13,causal relationship,,Why did the princess agree to kiss Esben?,explicit,"They were in the middle of the forest, where no one could see or hear them.",,,,,,
44,local,13,feeling,,How did the princess feel when the whistle disappeared?,implicit,disappointed,sad,confused,,,,
45,local,13,causal relationship,,Why did the queen set out the following day?,explicit,She felt quite sure that she would succeed in coaxing the whistle away from Esben.,,,,,,
46,local,14,outcome resolution,,What happened when the queen only offered fifty dollars?,explicit,She had to raise her bid until she reached three hundred.,,,,,,
47,local,14,action,,What did the queen do to try and keep the whistle?,explicit,tied it fast and hid it well,,,,,,
48,local,15,outcome resolution,,What happened after the king followed Esben and found him?,explicit,They soon became good friends.,,,,,,
49,local,15,action,,What did the king offer in exchange for the whistle?,explicit,a thousand dollars,,,,,,
50,local,17,causal relationship,,Why did the king feel angry and furious?,explicit,He had made a fool of them all,had swindled the king's self out of the whistle into the bargain,,,,,
51,local,17,outcome resolution,,What happened because the king felt angry?,explicit,He wanted to do away with Esben.,,,,,,
52,summary,"14,17",causal relationship,,Why did the queen feel the same way as the king?,implicit,She had also been made a fool.,She felt tricked by Esben.,,,,,
53,local,18,action,,What did Esben need to do if he wanted his life to be spared?,explicit,fill the big brewing-cauldron till it ran over,,,,,,
54,local,18,action,,How did Esben fill up the cauldron?,explicit,made up plenty of stories,,,,,,
55,local,19,outcome resolution,,What happened because Esben filled up the cauldron?,explicit,Esben received the princess and half the kingdom.,,,,,,
