question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,How did the narrator describe the princess's beauty?,explicit,pretty as a picture,,,,,,
2,local,1,character,,What was the one blemish about the one who was a king in his own country?,explicit,a mole on his chin,,,,,,
3,local,2,action,,What did he dress himself up in?,explicit,rags and tatters,,,,,,
4,local,2,action,,What did he take out of his pocket?,explicit,a golden ball,,,,,,
5,local,3,character,,Who did the princess go out with?,explicit,her women,,,,,,
6,local,4,causal relationship,,Why did the gooseherd tie the kerchief around his arm?,explicit,so that everybody might see,,,,,,
7,local,4,action,,What did the gooseherd take out of his pocket?,explicit,a looking-glass and a golden comb,,,,,,
8,local,5,outcome resolution,,What happened when she and her maids went up the hill?,explicit,"She paid him his price, and brought home the silver looking-glass and the golden comb.",,,,,,
9,local,6,causal relationship,,Why did she have to come up the hillside to give him the kisses?,explicit,He could not leave his geese,,,,,,
10,local,6,feeling,,How did the princess feel about giving the gooseherd twenty five kisses?,implicit,annoyed,in a stew,angry,,,,
11,local,7,action,,What did the princess and her maidens do?,implicit,marched to pay the gooseherd his price,marched up the hill to the gooseherd,,,,,
12,summary,"7,8",causal relationship,,Why did the king march up the hill?,implicit,to find out why the gooseherd was wearing his daughter's items,to look into why the gooseherd was wearing the princess's kerchief and necklace,,,,,
13,local,8,feeling,,What did the king feel when he saw the whole business,explicit,in a rage,,,,,,
14,local,9,setting,,Where did the princess and the gooseherd stop walking?,explicit,"a poor, mean little hut",,,,,,
15,summary,"9,10",causal relationship,,Why did the princess go to the great town?,implicit,to sell eggs,to stand in the corner of the market with her eggs,,,,,
16,local,10,feeling,,How did the princess feel about going home to her husband?,explicit,afraid,,,,,,
17,local,10,causal relationship,,Why did the princess feel afraid to go home to her husband?,explicit,because of the hard words he would be sure to fling at her,,,,,,
18,local,12,setting,,Where did the princess go after the gooseherd spoke to her?,explicit,the castle kitchen,,,,,,
19,local,13,character,,Who stood just outside?,explicit,two tall soldiers,,,,,,
20,local,14,action,,What did the person who stood nearby snatch away from the princess?,explicit,her apron,,,,,,
21,local,15,action,,What did the king use to wipe away the princess's tears?,explicit,his own pocket-handkerchief,,,,,,
