question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What kind of hair did the wife have?,explicit,golden hair,,,explicit,golden hair,,
2,local,1,causal relationship,,Why couldn't one find anyone like the king's wife?,explicit,She was so beautiful.,,,explicit,she was too beautiful,no one had golden hair,
3,local,1,outcome resolution,,What happened when the king's wife fell ill?,explicit,She felt that she must soon die.,,,explicit,she felt she must soon die,,
4,local,1,character,,Who did the king's wife send for when she felt that she would soon die?,explicit,the king,,,explicit,the king,,
5,local,1,causal relationship,,Why did the councillors say the king had to marry again?,explicit,so that they may have a queen,,,explicit,so that we may have a queen,,
6,local,1,causal relationship,,Why were the messengers sent far and wide?,explicit,to seek for a bride equal to the late Queen in beauty,,,explicit,to seek for a bride equal to the late Queen in beauty,,
7,local,2,character,,How did the king's daughter look?,explicit,just as beautiful as her dead mother,had just such golden hair,,explicit,just as beautiful as her dead mother,had just such golden hair,she was exactly like her mother
8,local,2,causal relationship,,Why did the king want his daughter to be the queen?,explicit,She was exactly like her dead mother.,,,explicit,exactly like her dead mother,,
9,local,2,outcome resolution,prediction,What will happen when the king dies?,explicit,His daughter's husband shall be king.,,,explicit,her husband shall be kind,,
10,local,2,feeling,,How did the king's daughter feel when she heard his decision?,explicit,not at all pleased,,,explicit,she was not pleased at all,,
11,summary,"2,3",action,,What did the king's daughter say she must have?,explicit,three dresses,cloak made of a thousand different kinds of skin,,explicit,I must have three dresses,I want a cloak made of a thousand different kinds of skin,
12,local,3,action,,What did the cloak have to made of?,explicit,every animal,,,explicit,every animal in your kingdom must give a bit of his skin to it,,
13,local,3,action,,What did the king command the huntsmen to do?,explicit,catch one of every kind of beast in the kingdom,get a bit of its skin to make the cloak of a thousand pieces of fur,,explicit,catch one of every kind of beast in the kingdom,get a bit of its skin to make the cloak,
14,local,3,character,,Who did the king command to weave the three dresses?,explicit,the most skilled maidens,,,explicit,the most skilled maidens in his kingdom,,
15,local,3,outcome resolution,,What happened after all was ready?,explicit,"The King commanded the cloak to be brought to him, and he spread it out before the Princess.",,,explicit,the King commanded the cloak be brought to him,he spread it out before the Princess,"said, 'Tomorrow shall be your wedding-day.'"
16,local,3,action,,What was the princess determined to do?,explicit,flee away,,,explicit,she determined to flee away,,
17,local,3,action,,What did the princess do while everyone was sleeping?,explicit,She got up and took three things from her treasures.,,,explicit,she got up and took three things from her treasures,,
18,local,3,action,,What did the princess put in a nut-shell?,explicit,"the sun, moon, and star dresses",,,explicit,"she put the sun, moon, and star dresses",,
19,local,3,character,,Who did the princess commend herself to?,explicit,God,,,explicit,to God,,
20,local,3,setting,,Where did the princess travel till?,explicit,a large forest,,,explicit,till she came to a large forest,,
21,local,3,setting,,Where did the princess fall asleep?,explicit,inside a hollow tree,,,explicit,inside a hollow tree,,
22,local,3,action,,What did the princess do after she condemned herself to God?,explicit,went out and travelled the whole night,,,explicit,went out and travelled the whole night,,
23,local,4,character,,Who did the wood belong to?,explicit,the king,,,explicit,the King,,
24,local,4,action,,What did the king do in the wood?,explicit,hunt,,,explicit,hunting in it,,
25,local,4,action,,What did the dogs do when they came to the tree?,explicit,sniffed,"ran round and round it, barking",,explicit,"they sniffed, and ran round and round, barking",,
26,local,4,action,,What did the huntsmen say lived in the tree?,explicit,a wonderful animal that they didn't know,,,explicit,a wonderful animal that we don't know,,
27,local,4,action,,What did the king tell the huntsmen to do to the beast?,explicit,catch it alive,fasten it to the cart,,explicit,see if you can catch it alive,,
28,local,4,outcome resolution,,What happened after the huntsmen seized the maiden?,explicit,She awoke.,,,explicit,"she awoke and was frightened, and cried out to them",,
29,local,4,feeling,,How did the princess feel when she awoke?,explicit,frightened,,,explicit,frightened,,
30,local,4,action,,What did the huntsmen say the creature could do?,explicit,work in the kitchen,sweep the ashes together,,explicit,you can work in the kitchen,,
31,local,4,setting,,Where did the creature and the huntsmen go?,explicit,back to the palace,,,explicit,to the palace,,
32,local,4,setting,,Where would the Many-furred Creature sleep?,explicit,a tiny room under the stairs,,,explicit,"a tiny room under the stairs, where no daylight came",,
33,local,4,action,,What did the Many-furred Creature do in the kitchen?,explicit,"carried wood and water, poked the fire, washed vegetables, plucked fowls, swept up the ashes, and did all the dirty work",,,explicit,"she carried wood and water, poked the fire, washed vegetables, plucked fowls, sweupt up the ashes and did all the diry work",did all the dirty work,
34,local,5,prediction,action,What will the princess do in half-an-hour?,explicit,be back here to sweep up the ashes,,,explicit,sweep up the ahses,,
35,local,5,action,,What did the princess do in her little room?,explicit,"drew off her fur cloak, and washed off the soot from her face and hands",,,explicit,washed off the soot from her face and hands,,
36,local,5,causal relationship,,Why did everybody step out of the princess' way?,explicit,"Nobody knew her, and they thought she must be a King's daughter.",,,explicit,they thought she must be a King's daughter,,
37,local,5,action,,What did the king do after he came towards the princess?,explicit,"gave her his hand, and danced with her",,,explicit,gave her his hand and danced with her,,
