question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who lived on a homestead called Vaderas?,explicit,two peasants,,,,,,
2,local,2,action,,What did the two women agree?,explicit,They would ride to Christmas night mass.,Whichever one of them woke up at the right time was to call the other.,,,,,
3,local,2,causal relationship,,Why did the women need to wake each other up?,explicit,"In those days, there was no such thing as a watch.",,,,,,
4,local,2,action,,What did the woman do because there was no time to eat?,explicit,took a piece of bread from the table along with her,,,,,,
5,local,2,causal relationship,,Why did the woman get up hurriedly and dress herself?,explicit,She might be able to ride with the other woman.,,,,,,
6,local,3,setting,,What was across the stream?,explicit,a bridge,Earth Bridge,,,,,
7,local,3,character,,Who stood on the bridge?,explicit,two witch trolls,,,,,,
8,local,4,causal relationship,,Why could the witch troll not tear the woman's head from her shoulders?,explicit,She had a bit of bread in the form of a cross in her pocket.,,,,,,
9,local,4,outcome resolution,,What happened because the woman had been unable to catch up with her neighbor?,explicit,She reached the church at Hanger alone.,,,,,,
10,local,5,causal relationship,,Why did the woman not see that all the people were headless?,implicit,She was in a hurry.,She was not paying attention.,,,,,
11,local,5,feeling,,How did the woman feel when she realized things were not as they should be?,implicit,surprised,shocked,scared,,,,
12,local,5,action,,What did the woman do when she realized things were not as they should be?,explicit,ran out hastily.,,,,,,
13,local,6,character,,What was the woman wearing?,explicit,"a broad mantle of unbleached wool, woven at home, and white in color",,,,,,
14,local,8,causal relationship,,Why did the man and his wife fall grievously ill?,explicit,They had disturbed the dead.,,,,,,
15,local,8,action,,What was found lying at every place?,explicit,some of the earth from the graves of those who shortly before had been worshiping,,,,,,
