question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What kind of tree did the king have?,explicit,pear,,,,,,
2,local,1,causal relationship,,Why did the king count the pears every day?,explicit,to see that none were missing,,,,,,
3,local,1,character,,Who did the king ask to watch his tree?,explicit,the eldest prince,,,,,,
4,local,1,setting,,Where did the prince sit?,explicit,beside the tree,,,,,,
5,local,2,outcome resolution,,What happened in the middle of the night?,implicit,The prince heard the prettiest music he'd ever heard.,The prince fell asleep to pretty music.,,,,,
6,local,2,action,,What did the second son set out to do the next night?,explicit,watch the pear tree,,,,,,
7,local,2,outcome resolution,,What happened when the morning came?,explicit,another pear was gone,,,,,,
8,local,3,causal relationship,,Why did the youngest son stuff his ears with wax?,implicit,so he wouldn't hear the music and fall asleep,so he would be deaf to the music and would stay awake,,,,,
9,local,3,character,,Who was picking at one of the pears?,explicit,the prettiest girl,,,,,,
10,local,4,character,,Who lived on the glass hill?,explicit,the witch with three eyes,,,,,,
11,local,4,action,,What did the prince see above him?,explicit,grey sky,,,,,,
12,local,5,character,,Who did the prince ask the witch for?,explicit,the one who draws the water and builds the fire,,,,,,
13,local,6,action,,What did the witch ask the prince to do?,implicit,clean her stables,clean the stables between the rise and set of the sun,,,,,
14,summary,"6,7",causal relationship,,Why did the prince lay his head in the swan maiden's lap?,implicit,he was tired,she told him to,nothing was to be gained by cleaning the stables,,,,
15,local,7,setting,,What did the stable look like when the prince woke up?,explicit,clean as a plate,,,,,,
16,local,8,action,,What did the witch ask the prince to thatch the roof with?,explicit,bird feathers,,,,,,
17,local,8,causal relationship,,Why did the prince bring his gun to the fields?,implicit,to shoot birds and collect their feathers,to shoot birds and use their feathers to thatch the roof,,,,,
18,local,9,action,,What did the swan maiden use to comb the prince's hair?,explicit,a golden comb,,,,,,
19,local,10,causal relationship,,Why didn't the prince have trouble finding the tree?,explicit,"it was more than a hundred feet high, and as smooth as glass from root to tip",,,,,,
20,summary,"10,11",causal relationship,,Why did the prince climb the swan maiden's hair?,implicit,to get to the top of the fir-tree,to reach the nest at the top of the fir-tree,,,,,
21,local,11,action,,What did the prince say when the witch asked for the eggs?,explicit,"The crow's eggs are none of yours, for they belong to him who gathered them.",,,,,,
22,local,12,character,,Who tapped at thee door?,explicit,the Swan Maiden,,,,,,
23,local,12,action,,What does the witch sharpen on the stone door-step?,explicit,the bread-knife,,,,,,
24,local,13,action,,What did the prince and the swan maiden use to make a figure?,explicit,honey and barley-meal,,,,,,
25,local,14,outcome resolution,,What happened when the prince broke open one of the crow's eggs?,implicit,there was a beautiful palace inside,a little palace was inside and it grew until it covered as much ground as seven large barns,,,,,
26,local,15,character,,Who looked out of his bedroom window?,explicit,the King,,,,,,
27,local,15,causal relationship,,Why did the king and all his people ride over?,explicit,to see what it meant,,,,,,
28,local,15,character,,Who stood at the door of the castle?,explicit,the prince,,,,,,
29,local,16,causal relationship,,Why did the prince give up his father's kingdom?,explicit,He had enough and more than enough of his own.,,,,,,
