question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was gracious and debonair?,explicit,Thomas Learmont,,,,,,
2,local,1,action,,What did Thomas Learmont love to do?,explicit,"study nature, and to watch the habits of the beasts and birds that made their abode in the fields and woods round about his home",,,,,,
3,local,1,action,,What did Thomas do one sunny May morning?,explicit,"left his Tower of Ercildoune, and went wandering into the woods that lay about the Huntly Burn",,,,,,
4,local,2,feeling,,How did Thomas feel after seeing the beautiful woods?,explicit,so happy,,,,,,
5,local,2,action,,What did Thomas do to watch the living things around him?,explicit,threw himself down at the root of a tree,,,,,,
6,local,3,action,,What did Thomas hear while he was lying there?,explicit,trampling of a horse's hooves,,,,,,
7,summary,"3, 5",character,,Who was the most beautiful lady that Thomas had ever seen?,explicit,The Queen of Fairy-Land,,,,,,
8,local,4,action,,What did the lady carry?,explicit,a hunting-horn and a sheaf of arrows,,,,,,
9,local,4,causal relationship,,Why did the lady shake her head?,explicit,She was not the Blessed Virgin.,She knew Thomas's thoughts.,,,,,
10,local,5,outcome resolution,,What happened after a spell was casted over Thomas?,explicit,"It made him forget prudence, and caution, and common-sense itself.",,,,,,
11,local,5,causal relationship,,Why did Thomas beg the Queen of Fairies for a kiss?,explicit,He was so entranced with the Lady's beauty.,,,,,,
12,local,5,causal relationship,,Why did the Queen of Fairies want Thomas to ask her for a kiss?,explicit,She knew that if she once kissed him she had him in her power.,,,,,,
13,local,6,outcome resolution,,What happened after they kissed?,explicit,An awful change came over her.,,,,,,
14,local,6,feeling,,How did Thomas feel after he saw the Queen of Fairies change into an old lady?,implicit,terrified,surprised,astonished,,,,
15,local,6,action,,What did Thomas need to do after he kissed the Queen of Fairies?,explicit,become her servant and go with her to Fairy-Land,,,,,,
16,local,6,prediction,action,What will Thomas do after he heard the Queen of Fairies' demands?,explicit,fall on his knees and beg for mercy,,,,,,
17,local,6,feeling,,How did Thomas feel after he heard the Queen of Fairies' demands?,implicit,scared,afraid,terrified,,,,
18,summary,"5, 6",causal relationship,,Why did Thomas have to serve the Queen of the Fairies?,implicit,He asked for a kiss.,He begged for a kiss.,,,,,
19,local,7,prediction,outcome resolution,What will happen after Thomas mounts behind the Queen of Fairies?,explicit,"They will leave land of the living behind, and cpme to the edge of a great desert.",,,,,,
20,summary,"6, 7",causal relationship,,Why did Thomas listen to the Queen of Fairies and mounted behind her?,implicit,He needed to pay for the price of kissing her.,He needed to be her servant.,,,,,
21,summary,"8, 10",causal relationship,,Why did the Queen of Fairies stop at the desert?,implicit,They were at their destination.,She was going to show him Fairy-land.,,,,,
22,local,8,action,,What did the Queen of Fairies order Thomas to do after they stopped at the desert?,explicit,bend down and lay his head on her knee,,,,,,
23,local,8,action,,What did the Queen of Fairies plan to show Thomas?,explicit,hidden things,,,,,,
24,local,8,outcome resolution,,What happened after Thomas looked once more over the desert?,explicit,Everything seemed changed.,,,,,,
25,local,8,action,,What did Thomas see after he looked once more over the desert?,explicit,three roads,,,,,,
26,local,9,action,,What did the Queen of Fairies explain to Thomas after he saw the three roads?,explicit,where these three roads lead to,,,,,,
27,local,9,causal relationship,,Why did folks regret choosing the first road?,explicit,It leads to a bad end.,,,,,,
28,local,10,causal relationship,,Why didn't folks ask where the narrow road led to?,implicit,The road had thorns and briars.,The road was hard to pass through.,,,,,
29,local,10,causal relationship,,Why would folks set out along the narrow road if they asked where it led to?,implicit,The road led to a glorious city.,The road led to the City of the Great King.,,,,,
30,local,10,action,,What road did Thomas and the Queen of Fairies need to take?,explicit,the third road,the bonnie road,,,,,
