document_id,text
the-steadfast-tin-soldier,"There were once upon a time five-and twenty tin-soldiers-all brothers, as they were made out of the same old tin spoon."
the-steadfast-tin-soldier,"Their uniform was red and blue, and they shouldered their guns and looked straight in front of them."
the-steadfast-tin-soldier,"The first words that they heard in this world, when the lid of the box in which they lay was taken off, were: 'Hurrah, tin-soldiers!'"
the-steadfast-tin-soldier,"This was exclaimed by a little boy, clapping his hands; they had been given to him because it was his birthday, and now he began setting them out on the table."
the-steadfast-tin-soldier,"Each soldier was exactly like the other in shape, except just one, who had been made last when the tin had run short; but there he stood as firmly on his one leg as the others did on two, and he is the one that became famous."
the-steadfast-tin-soldier,"There were many other playthings on the table on which they were being set out, but the nicest of all was a pretty little castle made of cardboard, with windows through which you could see into the rooms."
the-steadfast-tin-soldier,In front of the castle stood some little trees surrounding a tiny mirror which looked like a lake.
the-steadfast-tin-soldier,Wax swans were floating about and reflecting themselves in it.
the-steadfast-tin-soldier,"That was all very pretty; but the most beautiful thing was a little lady, who stood in the open doorway."
the-steadfast-tin-soldier,"She was cut out of paper, but she had on a dress of the finest muslin, with a scarf of narrow blue ribbon round her shoulders, fastened in the middle with a glittering rose made of gold paper, which was as large as her head."
the-steadfast-tin-soldier,"The little lady was stretching out both her arms, for she was a Dancer, and was lifting up one leg so high in the air that the Tin-soldier couldn't find it anywhere, and thought that she, too, had only one leg."
the-steadfast-tin-soldier,'That's the wife for me!'
the-steadfast-tin-soldier,"he thought; 'but she is so grand, and lives in a castle, whilst I have only a box with four-and-twenty others. This is no place for her! But I must make her acquaintance.'"
the-steadfast-tin-soldier,"Then he stretched himself out behind a snuff-box that lay on the table; from thence he could watch the dainty little lady, who continued to stand on one leg without losing her balance."
the-steadfast-tin-soldier,"When the night came all the other tin-soldiers went into their box, and the people of the house went to bed."
the-steadfast-tin-soldier,"Then the toys began to play at visiting, dancing, and fighting."
the-steadfast-tin-soldier,"The tin-soldiers rattled in their box, for they wanted to be out too, but they could not raise the lid."
the-steadfast-tin-soldier,"The nut-crackers played at leap-frog, and the slate-pencil ran about the slate; there was such a noise that the canary woke up and began to talk to them, in poetry too!"
the-steadfast-tin-soldier,The only two who did not stir from their places were the Tin-soldier and the little Dancer.
the-steadfast-tin-soldier,"She remained on tip-toe, with both arms outstretched; he stood steadfastly on his one leg, never moving his eyes from her face."
the-steadfast-tin-soldier,"The clock struck twelve, and crack!"
the-steadfast-tin-soldier,"off flew the lid of the snuff-box; but there was no snuff inside, only a little black imp-that was the beauty of it."
the-steadfast-tin-soldier,"' Hullo, Tin-soldier!' said the imp."
the-steadfast-tin-soldier,' Don't look at things that aren't intended for the likes of you!'
the-steadfast-tin-soldier,"But the Tin-soldier took no notice, and seemed not to hear."
the-steadfast-tin-soldier,"' Very well, wait till to-morrow!'"
the-steadfast-tin-soldier,said the imp.
the-steadfast-tin-soldier,"When it was morning, and the children had got up, the Tin-soldier was put in the window; and whether it was the wind or the little black imp, I don't know, but all at once the window flew open and out fell the little Tin-soldier, head over heels, from the third-storey window!"
the-steadfast-tin-soldier,"That was a terrible fall, I can tell you!"
the-steadfast-tin-soldier,"He landed on his head with his leg in the air, his gun being wedged between two paving-stones."
the-steadfast-tin-soldier,"The nursery-maid and the little boy came down at once to look for him, but, though they were so near him that they almost trod on him, they did not notice him."
the-steadfast-tin-soldier,If the Tin-soldier had only called out 'Here I am!'
the-steadfast-tin-soldier,"they must have found him; but he did not think it fitting for him to cry out, because he had on his uniform."
the-steadfast-tin-soldier,"Soon it began to drizzle; then the drops came faster, and there was a regular down-pour."
the-steadfast-tin-soldier,"When it was over, two little street boys came along."
the-steadfast-tin-soldier,'Just look!'
the-steadfast-tin-soldier,cried one.
the-steadfast-tin-soldier,'Here is a Tin-soldier! He shall sail up and down in a boat!'
